path,line,qualname,name,name_reference_count,claim_type,confidence,caveat
algorithm/common/src/EvEye/callback/S3Checkpoint.py,21,S3Checkpoint.on_train_epoch_end,on_train_epoch_end,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeCenter/MemmapDavisEyeCenterDataset.py,82,DataAugmentation.process_frames_and_labels,process_frames_and_labels,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeCenter/MemmapDavisEyeCenterDataset.py,91,DataAugmentation.show_transforms,show_transforms,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeCenter/losses.py,47,MacsEstimationHook.macs_per_layer,macs_per_layer,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeCenter/losses.py,51,MacsEstimationHook.macs_per_layer_with_sparsity,macs_per_layer_with_sparsity,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeCenter/losses.py,55,MacsEstimationHook.params_per_layer,params_per_layer,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeCenter/losses.py,84,regression_loss,regression_loss,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeCenter/losses.py,99,tracking_loss,tracking_loss,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeEllipse/DavisEyeEllipseDataset.py,85,DavisEyeEllipseDataset.get_event_transforms,get_event_transforms,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeEllipse/DavisEyeEllipseDataset.py,148,DavisEyeEllipseDataset.get_edge,get_edge,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeEllipse/utils.py,19,get_input_size,get_input_size,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeEllipse/utils.py,30,get_dir,get_dir,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeEllipse/utils.py,43,get_affine_transform,get_affine_transform,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisEyeEllipse/utils.py,83,gaussian2D,gaussian2D,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/DavisWithMask/DavisWithMaskDataset.py,50,DavisWithMaskDataset.get_transform,get_transform,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/dataset/dataset_factory.py,43,worker_init_fn,worker_init_fn,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/model/CitiBike/ConvLSTM.py,37,ConvLSTMCell.init_hidden,init_hidden,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/model/CitiBike/ConvLSTM.py,82,ConvLSTM.lr_scheduler_step,lr_scheduler_step,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/model/CitiBike/ConvLSTM.py,99,ConvLSTM.training_step,training_step,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/model/CitiBike/ConvLSTM.py,106,ConvLSTM.validation_step,validation_step,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/model/DavisEyeCenter/TennSt.py,384,TennSt.lr_scheduler_step,lr_scheduler_step,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/model/DavisEyeCenter/TennSt.py,401,TennSt.training_step,training_step,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/model/DavisEyeCenter/TennSt.py,421,TennSt.validation_step,validation_step,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Backbone/MobileNetV3Backbone.py,55,conv_3x3_bn,conv_3x3_bn,1,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Backbone/MobileNetV3Backbone.py,61,conv_1x1_bn,conv_1x1_bn,0,inference,low,"dynamic imports, external callers, and attribute aliases are not resolved"
