path,zone,language,kind,name,line
algorithm/analysis/report/FACET/operations/check_goal_completion_after_guard_2026-06-26.sh,analysis,Shell,function,timestamp,14
algorithm/analysis/report/FACET/operations/run_epnet_fpn_dw_checkpoint_evaluation_2026-06-26.sh,analysis,Shell,function,find_best_or_latest_ckpt,20
algorithm/analysis/report/FACET/operations/run_epnet_fpn_dw_checkpoint_evaluation_2026-06-26.sh,analysis,Shell,function,artifact_valid,54
algorithm/analysis/report/FACET/operations/run_epnet_fpn_dw_checkpoint_evaluation_2026-06-26.sh,analysis,Shell,function,training_complete,63
algorithm/analysis/report/FACET/operations/run_epnet_fpn_dw_full_unet_gpu0_after_baseline_2026-06-26.sh,analysis,Shell,function,timestamp,21
algorithm/analysis/report/FACET/operations/run_epnet_fpn_dw_full_unet_gpu0_after_baseline_2026-06-26.sh,analysis,Shell,function,training_complete,25
algorithm/analysis/report/FACET/operations/run_epnet_fpn_dw_full_unet_gpu0_after_baseline_2026-06-26.sh,analysis,Shell,function,gpu0_busy,33
algorithm/analysis/report/FACET/operations/run_epnet_fpn_dw_full_unet_gpu0_after_baseline_2026-06-26.sh,analysis,Shell,function,latest_checkpoint,105
algorithm/analysis/report/FACET/operations/run_epnet_full_unet_gpu0_when_ready_2026-06-26.sh,analysis,Shell,function,latest_checkpoint,65
algorithm/analysis/report/FACET/operations/run_full_checkpoint_evaluation_2026-06-26.sh,analysis,Shell,function,find_best_or_latest_ckpt,21
algorithm/analysis/report/FACET/operations/run_full_checkpoint_evaluation_2026-06-26.sh,analysis,Shell,function,artifact_valid,55
algorithm/analysis/report/FACET/operations/run_full_checkpoint_evaluation_2026-06-26.sh,analysis,Shell,function,training_complete,64
algorithm/analysis/report/FACET/operations/run_guarded_missing_gate_summary_2026-06-26.sh,analysis,Shell,function,timestamp,14
algorithm/analysis/report/FACET/operations/run_hbtxr_batch_probe_gpu0_when_free_2026-06-26.sh,analysis,Shell,function,timestamp,20
algorithm/analysis/report/FACET/operations/run_hbtxr_batch_probe_gpu0_when_free_2026-06-26.sh,analysis,Shell,function,gpu0_has_compute_app,24
algorithm/analysis/report/FACET/operations/run_hbtxr_batch_probe_gpu1_now_2026-06-26.sh,analysis,Shell,function,timestamp,18
algorithm/analysis/report/FACET/operations/run_hbtxr_effbs32_checkpoint_evaluation_2026-06-26.sh,analysis,Shell,function,find_best_or_latest_ckpt,20
algorithm/analysis/report/FACET/operations/run_hbtxr_effbs32_checkpoint_evaluation_2026-06-26.sh,analysis,Shell,function,artifact_valid,54
algorithm/analysis/report/FACET/operations/run_hbtxr_effbs32_checkpoint_evaluation_2026-06-26.sh,analysis,Shell,function,training_complete,63
algorithm/analysis/report/FACET/operations/run_hbtxr_full_unet_effbs32_gpu1_after_baseline_2026-06-26.sh,analysis,Shell,function,timestamp,21
algorithm/analysis/report/FACET/operations/run_hbtxr_full_unet_effbs32_gpu1_after_baseline_2026-06-26.sh,analysis,Shell,function,training_complete,25
algorithm/analysis/report/FACET/operations/run_hbtxr_full_unet_effbs32_gpu1_after_baseline_2026-06-26.sh,analysis,Shell,function,gpu1_busy,33
algorithm/analysis/report/FACET/operations/run_hbtxr_full_unet_effbs32_gpu1_after_baseline_2026-06-26.sh,analysis,Shell,function,latest_checkpoint,105
algorithm/analysis/report/FACET/operations/run_hbtxr_full_unet_gpu1_when_ready_2026-06-26.sh,analysis,Shell,function,latest_checkpoint,65
algorithm/analysis/report/FACET/operations/run_hourly_status_refresh_guard_2026-06-26.sh,analysis,Shell,function,usage,35
algorithm/analysis/report/FACET/operations/run_hourly_status_refresh_guard_2026-06-26.sh,analysis,Shell,function,timestamp,64
algorithm/analysis/report/FACET/operations/run_hourly_status_refresh_guard_2026-06-26.sh,analysis,Shell,function,latest_artifact_mtime,68
algorithm/analysis/report/FACET/operations/run_next_hourly_refresh_once_2026-06-26.sh,analysis,Shell,function,timestamp,18
algorithm/analysis/report/FACET/operations/run_next_hourly_refresh_once_2026-06-26.sh,analysis,Shell,function,latest_artifact_mtime,22
algorithm/analysis/report/FACET/operations/start_next_hourly_refresh_once_2026-06-26.sh,analysis,Shell,function,timestamp,11
algorithm/analysis/report/FACET/operations/test_evaluation_runner_completion_gate_2026-06-26.sh,test,Shell,function,check_runner,8
algorithm/analysis/report/FACET/operations/test_followup_waiter_completion_gate_2026-06-26.sh,test,Shell,function,check_waiter,8
algorithm/analysis/report/FACET/operations/watch_epnet_fpn_dw_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,timestamp,20
algorithm/analysis/report/FACET/operations/watch_epnet_fpn_dw_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,ckpt_count,24
algorithm/analysis/report/FACET/operations/watch_epnet_fpn_dw_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,latest_ckpt,35
algorithm/analysis/report/FACET/operations/watch_epnet_fpn_dw_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,training_complete,47
