path,zone,kind,qualname,name,start_line,end_line,loc,statement_count,branch_count,parameter_count,decorator_count,has_docstring,calls,semantic_hash
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/build_subject37_48_csvs.py,artifact,function,main,main,20,134,115,0,0,0,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,parse_args,parse_args,57,84,28,0,0,0,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,output_prefix,output_prefix,87,89,3,0,0,2,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,natural_user_key,natural_user_key,92,94,3,0,0,1,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,parse_frame_name,parse_frame_name,97,100,4,0,0,1,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,load_yaml,load_yaml,103,105,3,0,0,1,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,ellipse_iou_input64,ellipse_iou_input64,108,130,23,0,0,2,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,discover_frame_map,discover_frame_map,133,142,10,0,0,1,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,load_split_ellipses,load_split_ellipses,145,153,9,0,0,2,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,build_metadata,build_metadata,156,210,55,0,0,4,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,assign_velocity_states,assign_velocity_states,213,240,28,0,0,1,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,load_model,load_model,243,252,10,0,0,3,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,run_inference,run_inference,255,335,81,0,0,9,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,describe,describe,338,349,12,0,0,1,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,make_group_stats,make_group_stats,352,361,10,0,0,4,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,build_manual_gt_lookup,build_manual_gt_lookup,364,396,33,0,0,2,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,compute_label_noise,compute_label_noise,399,438,40,0,0,4,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,write_tables_and_figures,write_tables_and_figures,441,557,117,0,0,7,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,fmt,fmt,560,563,4,0,0,1,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,write_report,write_report,566,676,111,0,0,8,0,False,,
algorithm/analysis/RESULTS/HBTXR-Frame-subjet_independent_imgsz64-epoch8/scripts/evaluate_hbtxr_frame_motion_package.py,artifact,function,main,main,679,708,30,0,0,0,0,False,,
