Subject,Split,Motion,N,Mean,Median,P95,P99,IoU_Mean,IoU_Median,IoU_Note
37,Test,Fixation,19583,3.3699134798901293,2.192894458770752,11.629639244079588,16.983708114624033,0.39733585628913576,0.44,center_proxy_gt_axes_angle
37,Test,Saccade,275,3.1865250483019785,1.9600595235824585,11.693794822692874,16.918755950927732,0.42510592622619026,0.47297297297297297,center_proxy_gt_axes_angle
37,Test,Smooth,10931,2.790276746012631,1.9620766639709473,8.552096366882324,15.486676979064947,0.4228905497122412,0.45454545454545453,center_proxy_gt_axes_angle
38,Test,Fixation,18725,4.292581151085638,2.787372350692749,13.584847831726071,19.15999794006346,0.29893715059623904,0.325,center_proxy_gt_axes_angle
38,Test,Saccade,214,3.6221441595910866,2.544715404510498,10.466543388366697,15.595911979675293,0.3346611885925349,0.35599415204678364,center_proxy_gt_axes_angle
38,Test,Smooth,10167,4.053178713360444,2.7891528606414795,12.41361083984373,17.246086502075205,0.3189127672747369,0.33783783783783783,center_proxy_gt_axes_angle
39,Test,Fixation,19695,3.2305225489645966,2.214306354522705,10.93323230743408,18.21745437622071,0.41944628480017726,0.4528301886792453,center_proxy_gt_axes_angle
39,Test,Saccade,95,3.412321789954838,2.3489303588867188,10.651305007934567,15.275132160186795,0.403548572627609,0.4470588235294118,center_proxy_gt_axes_angle
39,Test,Smooth,10486,2.9506393273013933,2.1214717626571655,9.270215511322021,15.856795072555538,0.42671823385058316,0.45808232931726905,center_proxy_gt_axes_angle
40,Test,Fixation,19106,3.9645886732798186,2.356880784034729,13.247626543045044,15.759133243560798,0.28436072150995434,0.3103448275862069,center_proxy_gt_axes_angle
40,Test,Saccade,142,3.5990333130556933,1.9887945652008057,13.474282217025754,15.13364700317383,0.30761366910861937,0.34069739670408405,center_proxy_gt_axes_angle
40,Test,Smooth,10891,2.869829458959887,1.808706283569336,11.845152378082275,15.420496654510506,0.3570757866217717,0.39285714285714285,center_proxy_gt_axes_angle
41,Test,Fixation,18717,4.769278403965884,2.7635185718536377,17.7886344909668,26.821202316284182,0.33367427328886073,0.36486486486486486,center_proxy_gt_axes_angle
41,Test,Saccade,656,4.8220672440806,2.8085684776306152,17.94388246536255,24.828069019317653,0.324564822215146,0.358835005574136,center_proxy_gt_axes_angle
41,Test,Smooth,10840,3.8258205272058006,2.491528630256653,13.210167264938354,23.374114780426044,0.36866332628769166,0.4,center_proxy_gt_axes_angle
42,Test,Fixation,17412,5.753951234883617,3.2409266233444214,18.361280250549324,25.815015716552722,0.2410238434253869,0.25396825396825395,center_proxy_gt_axes_angle
