Subject,Split,Motion,N,Mean,Median,P95,P99,IoU_Mean,IoU_Median
37,Test,Fixation,19566,6.562193404717279,6.379118268573047,11.573650433409842,13.340753164421441,,
37,Test,Saccade,275,7.263711119090121,7.37540667716973,12.390279457650895,13.965052744402197,,
37,Test,Smooth,10924,9.123441963773795,8.909897860360275,15.979758436335244,18.539659859774687,,
38,Test,Fixation,18738,7.494371353147622,7.578218719271493,12.649242208467347,13.67666582269737,,
38,Test,Saccade,214,6.83219435682824,6.7514036232201935,12.452308128063533,13.328979915797849,,
38,Test,Smooth,10168,7.734149627071729,7.554129901094118,13.406568572390132,14.341156600869787,,
39,Test,Fixation,19698,7.940142190267787,7.897765204334894,13.180071287433705,14.444835655943788,,
39,Test,Saccade,95,7.475976765131925,7.243046536073365,13.037833928626977,14.685012185581712,,
39,Test,Smooth,10456,8.590494614699303,8.503099028744682,14.429734340773454,15.160012856115994,,
40,Test,Fixation,19196,6.6979533112228395,6.3672945356288775,11.246616829319974,12.945892096815454,,
40,Test,Saccade,144,7.122020573009674,6.69302207488267,11.244662150403023,30.09527300022738,,
40,Test,Smooth,10910,6.67546880676182,6.147332820576705,11.68994478641819,12.6809783464451,,
41,Test,Fixation,18720,11.402766880537325,11.638739179357842,19.67171256540948,20.628119542278633,,
41,Test,Saccade,656,11.173974278715976,11.333257142889783,19.739332620378914,20.762294946210286,,
41,Test,Smooth,10841,11.596880424112147,11.751213395928774,20.14269319157356,20.84156593560115,,
42,Test,Fixation,17440,9.563683091128148,9.29789087093258,16.769328237928868,18.300578999476855,,
42,Test,Saccade,341,9.382433896001217,8.948156535546062,17.348158950767704,19.364201296352814,,
42,Test,Smooth,10576,10.02638067708384,9.598408084345373,17.692772810554338,19.2685570412227,,
43,Test,Fixation,18744,7.339135112332759,6.973428834471781,13.02650872660044,14.16090887506767,,
43,Test,Saccade,434,7.374734400324028,6.7851835829474805,13.272674397452086,14.258253066269253,,
43,Test,Smooth,11035,7.40330010443232,7.010186401238677,13.097099613707144,14.21631892407287,,
44,Test,Fixation,19498,7.146502278020566,7.282947735762906,11.139073415906942,12.058197422831682,,
44,Test,Saccade,158,7.4549711977289626,7.52853525593194,11.598436454927581,12.19871127530991,,
44,Test,Smooth,10910,7.613445582335451,7.935431574843718,11.895897527368549,12.47077233879478,,
45,Test,Fixation,18772,6.503697613937942,6.445776552883256,11.902807173536067,13.544659406462033,,
45,Test,Saccade,334,6.988148892380068,6.9281572034230825,12.56691980953497,14.10779365536587,,
45,Test,Smooth,11040,6.881883644863315,6.776425767776378,12.663257146304781,13.949961637469618,,
46,Test,Fixation,19308,6.663055160457882,6.104964900386998,12.392542311314486,13.38508029607863,,
46,Test,Saccade,100,6.030208410826573,4.689222431213651,12.574834306359138,13.477521440566395,,
46,Test,Smooth,10843,6.866058374011711,6.417831571979423,12.607487095663998,13.583378253910602,,
47,Test,Fixation,19371,8.221403365883702,7.911948889055367,15.516955436158058,17.838250387006283,,
47,Test,Saccade,284,8.793406599446579,8.522099865586412,15.239795950697529,18.904023004434524,,
47,Test,Smooth,10916,9.11149202302723,9.041447164471158,16.30705165051183,18.91460331944571,,
48,Test,Fixation,18876,6.099862835891744,5.854476791811677,10.745621841596353,12.800558418266785,,
48,Test,Saccade,145,6.371578753377661,6.351492554570581,10.838232933913355,13.291729725537849,,
48,Test,Smooth,10658,6.448225544017878,6.217979018673849,11.360372571137043,13.398817565722636,,
