subject,motion_state,count
37,Fixation,82
37,Saccade,1
37,Smooth,95
38,Fixation,88
38,Saccade,1
38,Smooth,100
39,Fixation,64
39,Saccade,4
39,Smooth,76
40,Fixation,88
40,Saccade,6
40,Smooth,108
41,Fixation,88
41,Saccade,7
41,Smooth,97
42,Fixation,84
42,Saccade,3
42,Smooth,99
43,Fixation,91
43,Saccade,1
43,Smooth,97
44,Fixation,98
44,Saccade,2
44,Smooth,107
45,Fixation,70
45,Saccade,3
45,Smooth,105
46,Fixation,77
46,Smooth,85
47,Fixation,91
47,Saccade,4
47,Smooth,112
48,Fixation,75
48,Saccade,2
48,Smooth,99
