subject,n,mean,median,p95,p99
37,178,29.040355051648746,27.444226459828233,58.07203188305034,68.48454052628483
38,191,3.4722388215334328,3.4492982950727207,4.69036085671109,5.006806121061603
39,144,8.406939606774406,3.246844286514416,54.78982132649719,62.491084537455855
40,204,5.7260480519970836,3.6250485392766647,23.419821159397276,34.178354554914975
41,198,3.367061603343722,3.3247871962665796,5.091525466246445,5.864617034684721
42,195,5.721806090947791,3.5580146638440735,10.69282143169082,67.67805293657854
43,191,11.721430736979551,3.7208101711895414,54.219093874174504,66.07761683617863
44,207,28.711078314490102,31.85359106247767,62.886396634609696,69.5770328989303
45,180,16.447031158750992,7.808816607204835,55.010628169501885,98.89731296550337
46,163,28.00931729940052,23.46464717997521,62.19774258159793,66.63742689970147
47,207,3.0532327902663856,2.9329707567943046,4.3851262072551975,4.961361968504247
48,180,5.3568929901644475,3.5167197535804733,13.040750358139887,45.223890548091184
