subject,motion_state,n,mean,median,p95,p99
37,Fixation,82,30.05927837447166,30.626576353631897,52.56260815970199,60.83597697781424
37,Saccade,1,52.72893475045321,52.72893475045321,52.72893475045321,52.72893475045321
37,Smooth,95,35.07810041722243,35.1116361984643,63.26567975758153,73.51022671300778
38,Fixation,88,49.35072958441025,52.45551223038221,77.23758977616696,78.82428922243388
38,Saccade,1,42.24387054264165,42.24387054264165,42.24387054264165,42.24387054264165
38,Smooth,100,49.59315709436805,50.261425585662444,75.59763376789608,76.98287473552102
39,Fixation,64,56.58960718380018,58.03236143474244,82.72428994432846,89.67511643164555
39,Saccade,4,57.42142438036892,63.27519991211654,69.01436921243744,69.78961563794613
39,Smooth,76,64.05214494907413,64.17137863960643,99.58074524580604,109.5794315054511
40,Fixation,88,34.0980911182691,33.623892672110074,55.11912154272372,58.24946201353024
40,Saccade,6,36.617199113828434,42.2028134349168,51.65495594015032,52.49045481793773
40,Smooth,108,33.71116406892647,30.75822328684933,56.91984714771146,61.85808400974748
41,Fixation,88,57.977367459655895,58.3700892995425,100.31106514140856,103.9976672004826
41,Saccade,7,59.89499553730746,44.83484747329998,106.88878602189676,107.85809336162424
41,Smooth,97,58.922486413567604,63.90847489800597,102.774948793816,105.47621022398401
42,Fixation,84,43.23513494936308,44.74082344452618,74.79768840341929,79.53259148972622
42,Saccade,3,31.406418148502933,26.269184522194024,58.40289642344725,61.25922637022532
42,Smooth,99,40.92531138089721,37.542849308588714,81.91312871787156,84.92934932765766
43,Fixation,91,35.1968896902908,34.37999982071385,63.41962623415105,66.1830074718387
43,Saccade,1,28.966267746924405,28.966267746924405,28.966267746924405,28.966267746924405
43,Smooth,97,36.21248018296264,36.21822406981654,62.20784998990951,72.26842937729099
44,Fixation,98,61.78811315435338,61.169848781341855,92.96860389663192,100.07413877644515
44,Saccade,2,35.1842129554424,35.1842129554424,38.916958667155214,39.248758285974134
44,Smooth,107,64.54758980264567,63.019937287913685,101.9296124571212,112.0602577590967
45,Fixation,70,56.643503816175176,60.23500866317065,87.2732026158694,91.53866359807456
45,Saccade,3,44.416968904609355,56.14687613095311,63.56313160052626,64.22235430893276
45,Smooth,105,49.27628285875733,50.566197705465065,81.31517354664639,87.86096826703128
46,Fixation,77,29.51638779846468,26.11625430968317,53.589744438348674,59.95024942659288
46,Smooth,85,33.78138240074849,30.321525382406612,58.15479760769588,62.28637704431705
47,Fixation,91,26.881911440084536,26.793669364197118,55.372966252886584,61.23668188453514
47,Saccade,4,30.340014070943397,22.130689010789347,63.61384346970986,67.73198821446339
47,Smooth,112,25.48220617230297,23.856035907306456,55.13160141206826,58.00313006756879
48,Fixation,75,31.407684299636117,32.78607312766845,50.11583449356636,53.11368830884529
48,Saccade,2,43.1723738438221,43.1723738438221,44.88891872042842,45.04150048723787
48,Smooth,99,32.18077044402872,32.57768502107533,49.26950631223768,57.33895449842185
