subject,motion_state,n,mean,median,p95,p99
37,Fixation,82,1.561282008436872,1.5818318217433152,2.1417296464445,2.5238240371600487
37,Saccade,1,1.5767358889899072,1.5767358889899072,1.5767358889899072,1.5767358889899072
37,Smooth,95,1.5452303210739704,1.6019561842690588,2.1228222142774738,2.2877282489150925
38,Fixation,88,1.475110980768941,1.4970042814616638,2.2637517960400664,2.923528835800538
38,Saccade,1,0.5718528503160929,0.5718528503160929,0.5718528503160929,0.5718528503160929
38,Smooth,100,1.40269237261223,1.3002276060650908,2.3870123361011006,2.860106738501479
39,Fixation,64,1.3512508849504798,1.3604826078584746,1.976216508665402,2.3329960104215717
39,Saccade,4,1.2804945051165213,1.4405665793138582,1.6064917507469356,1.6104438765723652
39,Smooth,76,1.1161042809261594,1.0067379345077019,2.0290113374550165,2.642615117413529
40,Fixation,88,1.448649635484564,1.3976134074040012,2.192580306404139,2.598108144331624
40,Saccade,6,1.154993859267463,1.0541276592276279,1.6618721509554983,1.7412969801983849
40,Smooth,108,1.4742134295355636,1.471555198341898,2.1404525599008783,2.524666145726108
41,Fixation,88,1.2797853256790372,1.2660539341832857,2.3425162462949025,2.563080479492384
41,Saccade,7,1.4574747810331246,1.3663523838228906,2.2344014970212056,2.34642823099633
41,Smooth,97,1.5097279059874131,1.4564733693430134,2.5486601136402482,2.9986794976247997
42,Fixation,84,1.3792745313648702,1.5769953791522968,2.1672809373725217,2.5257790882520497
42,Saccade,3,1.5767672437836966,1.9475104241228371,2.550819735373117,2.6044472297064747
42,Smooth,99,1.5727762424933502,1.6148049469021213,2.3478255419437772,3.2250115183929955
43,Fixation,91,1.4262092880178967,1.389697197516414,2.196977905591025,2.433595487840102
43,Saccade,1,1.1643833715090117,1.1643833715090117,1.1643833715090117,1.1643833715090117
43,Smooth,97,1.5365336712233928,1.568111832814133,2.1940662847086725,2.4637009724742027
44,Fixation,98,1.3433527564629613,1.316330475336445,2.156003863751404,2.35170062176858
44,Saccade,2,1.4773763072250574,1.4773763072250574,1.5070771677667911,1.5097172442593898
44,Smooth,107,1.38518719867463,1.3985371902098886,2.017282989933583,2.2071922059244553
45,Fixation,70,1.0392342579185638,0.9835252250943425,1.8355845562426765,2.1836707870237895
45,Saccade,3,1.1723907012366699,0.8826148176892137,1.9766112993634906,2.0738554310678707
45,Smooth,105,1.1897953869912203,1.227494175943999,2.1472739663346645,2.39696875937216
46,Fixation,77,1.2107667113565626,1.1361091606491711,2.02639935771792,2.3410604763833605
46,Smooth,85,1.4611466384813936,1.4710978499969556,2.1096341824901548,2.3315503050734843
47,Fixation,91,1.4796754822479878,1.4334395318209745,2.150138516157215,2.7040177804789387
47,Saccade,4,1.7920180139182906,1.380598715081029,3.2417163080886904,3.4716018564181566
47,Smooth,112,1.6643189701841141,1.7056171918902194,2.5556939535855623,2.974313497882076
48,Fixation,75,1.4043701082151894,1.4328745794894087,2.1599837833131943,2.287445185908015
48,Saccade,2,1.463676975520742,1.463676975520742,1.692177431181608,1.7124885827959073
48,Smooth,99,1.445708875577907,1.4440093188824312,2.080733430866764,2.5096237047399708
