subject,n,mean,median,p95,p99
37,178,1.5528019161957338,1.5871842024600409,2.143863332440936,2.5142534820199143
38,191,1.4339728941106447,1.4187167470750246,2.3033770306365953,2.898088230900468
39,144,1.2251802778311454,1.2583595802066738,2.0208804678453487,2.3386234100449053
40,204,1.4592030290618567,1.4536587735435562,2.1971352785760923,2.552878593139482
41,198,1.4025403803354102,1.3592783176994019,2.462927635763595,2.8610231859792843
42,195,1.4787058560528632,1.5820837755372845,2.342186606317496,2.7364395372395873
43,191,1.4792468402708638,1.4627750714806396,2.2012714551184827,2.4523060032705057
44,207,1.366272236743989,1.3602378664244212,2.105951789382327,2.341623705813758
45,180,1.1437548429400777,1.1267009809525117,2.101121634141488,2.44776779845536
46,163,1.3412735323937994,1.3226408647203536,2.0898962355403317,2.3548037556639114
47,207,1.5856148096659946,1.5841287449080474,2.501156390622268,2.9945078509453302
48,180,1.4236536193653346,1.4374174019292192,2.1249812254864318,2.3648597199883454
