Subject,Split,Motion,N,Mean,Median,P95,P99,IoU_Mean,IoU_Median,IoU_Note
37,Test,Fixation,19579,0.2411785978750996,0.0743717005024761,1.2549390602746437,2.6112412513266268,nan,nan,direct_shape_prediction_128_grid
37,Test,Saccade,275,0.20379565622746876,0.0661433981946263,0.822755344560688,2.6426357038850785,nan,nan,direct_shape_prediction_128_grid
37,Test,Smooth,10934,0.25590733943655325,0.10632442072588313,1.0469279019038285,1.8537272726236491,nan,nan,direct_shape_prediction_128_grid
38,Test,Fixation,18734,0.2880234110964756,0.08479782413327908,1.4123884433533078,2.7962749732218377,nan,nan,direct_shape_prediction_128_grid
38,Test,Saccade,214,0.26684948332335007,0.09695822690107726,1.1190621885278544,2.1240181813401366,nan,nan,direct_shape_prediction_128_grid
38,Test,Smooth,10164,0.30011401047059133,0.13515945440067317,1.2063274433712612,2.1845564650614935,nan,nan,direct_shape_prediction_128_grid
39,Test,Fixation,19694,0.2532554524072512,0.07776579678811163,1.2228062995557005,2.0694909295295147,nan,nan,direct_shape_prediction_128_grid
39,Test,Saccade,95,0.3262523860836478,0.1007837863525328,1.2012827521877916,2.4647719527621885,nan,nan,direct_shape_prediction_128_grid
39,Test,Smooth,10487,0.2745485862541652,0.1224807355803689,1.0783537418452245,1.9282469237387725,nan,nan,direct_shape_prediction_128_grid
40,Test,Fixation,19192,0.27761388020401406,0.07666377442576144,1.3155260685766685,2.61624013410411,nan,nan,direct_shape_prediction_128_grid
40,Test,Saccade,144,0.21815423424907984,0.06295259829710423,1.0966999160414492,2.114608360271166,nan,nan,direct_shape_prediction_128_grid
40,Test,Smooth,10906,0.2932100077839821,0.15580463005024286,1.0916161566244935,1.7967086811816018,nan,nan,direct_shape_prediction_128_grid
41,Test,Fixation,18716,0.3276799014120004,0.09730810398421261,1.6373895924316133,3.758988626513244,nan,nan,direct_shape_prediction_128_grid
41,Test,Saccade,656,0.24083576806061613,0.08861843811325734,1.2734527260451822,2.191644914533017,nan,nan,direct_shape_prediction_128_grid
41,Test,Smooth,10837,0.3131219748328993,0.11456862649805534,1.3397801840571775,2.6604932443288374,nan,nan,direct_shape_prediction_128_grid
42,Test,Fixation,17436,0.30277714350310025,0.06301413846379147,1.4612388226852657,4.124750550794529,nan,nan,direct_shape_prediction_128_grid
42,Test,Saccade,341,0.25525849169668247,0.07439686178792054,1.1985723361676177,2.503693750276739,nan,nan,direct_shape_prediction_128_grid
42,Test,Smooth,10572,0.2825710618655837,0.09110677160764988,1.2624071695673749,2.449250214325628,nan,nan,direct_shape_prediction_128_grid
43,Test,Fixation,18740,0.29082657603373385,0.08139347755729032,1.3698205279507585,3.3695902620088933,nan,nan,direct_shape_prediction_128_grid
43,Test,Saccade,434,0.20968751243753364,0.07455105062550886,0.7536160897640817,2.1761093593570195,nan,nan,direct_shape_prediction_128_grid
43,Test,Smooth,11031,0.2908735243626945,0.11804164825805795,1.1886942536842517,1.8928086467039131,nan,nan,direct_shape_prediction_128_grid
44,Test,Fixation,19503,0.27470002774368424,0.09358242651163193,1.2507579568671703,2.5130451838797825,nan,nan,direct_shape_prediction_128_grid
44,Test,Saccade,158,0.2638872739753322,0.08916935076826965,0.9638631744910944,1.765950151982516,nan,nan,direct_shape_prediction_128_grid
44,Test,Smooth,10911,0.25905568029003306,0.11107851471291365,1.0505959009824513,1.929575408833506,nan,nan,direct_shape_prediction_128_grid
45,Test,Fixation,18768,0.26060820997822903,0.07238013395078399,1.3858798203754232,3.081880833153687,nan,nan,direct_shape_prediction_128_grid
45,Test,Saccade,334,0.20846945941869693,0.08594005376086906,0.8728370769691483,1.8892333888500743,nan,nan,direct_shape_prediction_128_grid
45,Test,Smooth,11036,0.2709996725455418,0.10124495684257287,1.1692148661441841,1.983136697725199,nan,nan,direct_shape_prediction_128_grid
46,Test,Fixation,19304,0.27529684906731944,0.08974610048762752,1.3218175838533026,2.471300347949078,nan,nan,direct_shape_prediction_128_grid
46,Test,Saccade,100,0.28957241011651225,0.08613871173547635,1.529426597183683,2.4182347086874474,nan,nan,direct_shape_prediction_128_grid
46,Test,Smooth,10839,0.27036489316054696,0.12370694618711531,1.0495936767516563,1.662029394553532,nan,nan,direct_shape_prediction_128_grid
47,Test,Fixation,19367,0.2636837953111752,0.07993753589723056,1.3453988262441565,2.8993946615764328,nan,nan,direct_shape_prediction_128_grid
47,Test,Saccade,284,0.17794635876183126,0.08444478184677674,0.6634172776552594,1.8211960271295369,nan,nan,direct_shape_prediction_128_grid
47,Test,Smooth,10943,0.2612572216191752,0.09558098495048349,1.15516629156798,1.8448156793095363,nan,nan,direct_shape_prediction_128_grid
48,Test,Fixation,18872,0.3048053750366391,0.08985983102051567,1.428260892974007,2.70770518018654,nan,nan,direct_shape_prediction_128_grid
48,Test,Saccade,145,0.23848750927138984,0.11668280370857724,0.7774004688086744,2.1131332945860257,nan,nan,direct_shape_prediction_128_grid
48,Test,Smooth,10654,0.3154385149496985,0.11943957434938117,1.2914459685433568,2.4300256934256312,nan,nan,direct_shape_prediction_128_grid
