Subject,Split,Motion,N,Mean,Median,P95,P99,IoU_Mean,IoU_Median
37,Test,Fixation,19583,0.2438190691124865,0.2077735364437103,0.551513648033142,0.8767425668239597,0.6704532331914513,0.6891891891891891
37,Test,Saccade,275,0.24456772244112057,0.2105355560779571,0.49364385902881636,0.9535417723655695,0.6622089906136849,0.6804123711340206
37,Test,Smooth,10937,0.29097639512419665,0.2534791529178619,0.6322434544563289,0.8845446872711177,0.670446428167958,0.6888888888888889
38,Test,Fixation,18733,0.2525354754919061,0.2331435084342956,0.49614821672439563,0.7057052445411685,0.6408273527166886,0.6573033707865169
38,Test,Saccade,214,0.2554134111155138,0.23959483951330185,0.4894129648804663,0.5810206222534181,0.6560600035502476,0.6697973091036169
38,Test,Smooth,10167,0.2567173394593445,0.2273416817188263,0.5369569540023801,0.9239202558994296,0.6397089932519925,0.6571428571428571
39,Test,Fixation,19697,0.2724216630735873,0.2470308989286422,0.5630209326744081,0.7756289362907415,0.6951237906065703,0.7100371747211895
39,Test,Saccade,95,0.24965381810539647,0.2057127505540847,0.5542544662952423,0.6238690400123597,0.7029192130805126,0.7205387205387206
39,Test,Smooth,10486,0.2808488439584038,0.2589810788631439,0.5683688819408417,0.7609988331794738,0.6937763288251944,0.7073170731707317
40,Test,Fixation,19193,0.3380665243278784,0.3172432482242584,0.6495833992958059,0.8258749318122852,0.6503782394031831,0.6589147286821705
40,Test,Saccade,144,0.36157426005229354,0.35626906156539917,0.6617017865180969,0.8708167064189906,0.6524872240076126,0.6461100569259962
40,Test,Smooth,10910,0.31398054894410315,0.292776420712471,0.6230631560087204,0.7790842735767363,0.6504740379766146,0.6714285714285714
41,Test,Fixation,18720,0.41466882271691163,0.38501621782779694,0.83134545981884,1.1155452549457556,0.6268450462881149,0.6474820143884892
41,Test,Saccade,656,0.42019265780236753,0.37409645318984985,0.8562130928039551,1.1371264219284096,0.6238914940845961,0.6508685235100329
41,Test,Smooth,10841,0.4222622488172787,0.3836150169372558,0.8558619022369385,1.230734419822693,0.6289096604388033,0.6530612244897959
42,Test,Fixation,17440,0.32603656587179175,0.30021505057811737,0.6650617718696593,0.8498228824138653,0.6405710249113683,0.6515151515151515
42,Test,Saccade,341,0.3284413594960118,0.296503484249115,0.6691620945930481,0.8097430109977722,0.6434075570195114,0.6530612244897959
42,Test,Smooth,10575,0.32799066763109225,0.2997466921806335,0.6687309741973875,0.8505517137050629,0.6341703467031459,0.6470588235294118
43,Test,Fixation,18740,0.2288901772660369,0.2059246003627777,0.4731248661875724,0.5967804855108262,0.6523596964760072,0.6730769230769231
43,Test,Saccade,434,0.22206242970075063,0.201020635664463,0.4630102276802061,0.6342558437585833,0.6516396571127688,0.6736842105263158
43,Test,Smooth,11034,0.24692546983775285,0.2299281284213066,0.4893629014492036,0.6328179186582565,0.6440991837565603,0.6695652173913044
44,Test,Fixation,19507,0.21376259350320048,0.1975343376398086,0.42391257584095005,0.5352961027622215,0.6888204634097989,0.7
44,Test,Saccade,158,0.2362364144594986,0.2119663208723068,0.46679774224758147,0.5367804819345477,0.6768438301829302,0.6861413043478262
44,Test,Smooth,10915,0.21819721566700576,0.2019830793142318,0.43316599726676935,0.5413462758064271,0.6770191339762838,0.6938775510204082
45,Test,Fixation,18771,0.3555495557401796,0.3348496556282043,0.6954342126846313,0.8829510390758506,0.6692123367939822,0.6770833333333334
45,Test,Saccade,334,0.3446662041670949,0.3270777612924576,0.6821227222681044,0.8245111799240127,0.6792313777082133,0.6789844250053338
45,Test,Smooth,11040,0.35147853470884055,0.3306002765893936,0.6704871058464049,0.8425065088272105,0.6682878298127306,0.6724642064932447
46,Test,Fixation,19306,0.23505610680409447,0.21477753669023508,0.4720862805843353,0.6592542976140979,0.6461729473243555,0.6619718309859155
46,Test,Saccade,100,0.2406027886318043,0.2164722457528114,0.4732615262269973,0.8924545133113864,0.6449013001262428,0.6627450980392157
46,Test,Smooth,10841,0.2582127059390077,0.2408024370670318,0.5067503452301025,0.6595694065093995,0.6463739904055114,0.6666666666666666
47,Test,Fixation,19371,0.24816638918424147,0.2267653346061706,0.5144743025302887,0.6731870949268336,0.6358009944280795,0.6515151515151515
47,Test,Saccade,283,0.22760941881962884,0.1893235445022583,0.5281038761138912,0.8334996390342715,0.6398157900076323,0.660377358490566
47,Test,Smooth,10947,0.2480482046951253,0.2212220877408981,0.5293485403060911,0.704721804857254,0.6337362344763793,0.6470588235294118
48,Test,Fixation,18868,0.26013413656397877,0.2394057959318161,0.5321924805641174,0.6717250525951384,0.6492649657711613,0.6632653061224489
48,Test,Saccade,145,0.23796516983159657,0.2258877009153366,0.5074599444866179,0.6104106497764588,0.6474719206133196,0.65625
48,Test,Smooth,10655,0.2514202712302357,0.2321711629629135,0.5023557305335998,0.6388097345829001,0.6454565742598026,0.6631578947368421
