Subject,Split,Motion,N,Mean,Median,P95,P99,IoU_Mean,IoU_Median,IoU_Note
37,Test,Fixation,19429,5.912882388729832,4.024127292963157,19.682601754250033,24.23974383913878,0.2939628592866377,0.22077922077922077,center_proxy_gt_axes_angle
37,Test,Saccade,275,6.5314264431923075,5.006395043642556,20.985099070696283,25.46999693639228,0.25270007825895835,0.08860759493670886,center_proxy_gt_axes_angle
37,Test,Smooth,10784,4.589251722944054,3.212598332024676,11.561421718479135,24.097061720490615,0.34289467419802755,0.27586206896551724,center_proxy_gt_axes_angle
38,Test,Fixation,18725,7.097904499518447,5.672811711347625,19.92518051930026,26.195570282528674,0.22621843532432093,0.04878048780487805,center_proxy_gt_axes_angle
38,Test,Saccade,214,6.0750275762494255,4.783791829821101,15.30287370601154,21.603089789673163,0.2545326611123841,0.10975935828877005,center_proxy_gt_axes_angle
38,Test,Smooth,10112,5.672883853024863,3.781639255532552,15.724611919595983,26.855831460083262,0.32739619914766166,0.23943661971830985,center_proxy_gt_axes_angle
39,Test,Fixation,19507,6.341305247987578,4.361651766708766,20.479394389801037,27.435859651839667,0.30419014571281033,0.2,center_proxy_gt_axes_angle
39,Test,Saccade,95,5.245498322671373,3.463409354654825,14.265032457134193,17.192228098017935,0.3566389725011896,0.3333333333333333,center_proxy_gt_axes_angle
39,Test,Smooth,10390,5.295104616910723,3.465949564589554,15.318747577519238,26.533476229210912,0.364243960620376,0.3021061869240895,center_proxy_gt_axes_angle
40,Test,Fixation,19106,7.278037131576045,5.16178216497763,21.425693835784312,24.186772440532213,0.1602688685600964,0.0,center_proxy_gt_axes_angle
40,Test,Saccade,142,8.296189904457453,7.133262077512887,17.213025281435886,22.93245646635223,0.10865344644888231,0.0,center_proxy_gt_axes_angle
40,Test,Smooth,10776,4.409231543336671,2.4540573268124617,16.28063822844871,23.175519742280013,0.35158434689637674,0.31762749445676275,center_proxy_gt_axes_angle
41,Test,Fixation,18717,8.086798317852251,6.3280957599633245,20.45764358777794,34.35255629597968,0.23781372543729562,0.05714285714285714,center_proxy_gt_axes_angle
41,Test,Saccade,656,7.922153700560404,5.214892937790191,26.331237924766228,34.08209296452197,0.25824537789862,0.08957219251336898,center_proxy_gt_axes_angle
41,Test,Smooth,10705,7.319878796740873,5.0,18.569497962190432,33.13480330827076,0.28825055274671607,0.14049586776859505,center_proxy_gt_axes_angle
42,Test,Fixation,17412,8.301561060092226,6.111759093291995,24.457767403770795,29.702417908551826,0.15286928310547748,0.0,center_proxy_gt_axes_angle
42,Test,Saccade,341,7.622937144119828,6.160129722121137,19.975184721015022,28.249739755995165,0.15726058551836172,0.0,center_proxy_gt_axes_angle
42,Test,Smooth,10569,6.684753880228612,4.94400519104736,19.24583473288935,29.377213330258122,0.2276515474598891,0.07142857142857142,center_proxy_gt_axes_angle
43,Test,Fixation,18710,6.41224343030107,4.456007794275821,19.32527180126516,25.940406718103898,0.29772159275162535,0.19626168224299065,center_proxy_gt_axes_angle
43,Test,Saccade,434,7.193555803431905,4.993000156108732,20.72756946895525,25.761280715666626,0.26704182834597506,0.1512292738707833,center_proxy_gt_axes_angle
43,Test,Smooth,10933,5.738687210649742,3.363094020630671,19.394307117432668,26.74065095575645,0.3401095341849718,0.2857142857142857,center_proxy_gt_axes_angle
44,Test,Fixation,19447,5.25343907149286,3.1294734836183604,16.90627809154338,20.577424067409414,0.32492052925838755,0.27586206896551724,center_proxy_gt_axes_angle
44,Test,Saccade,158,5.797960696993015,3.5885763236592707,17.99941820881817,19.69661141541103,0.3093557866349554,0.2661361626878868,center_proxy_gt_axes_angle
44,Test,Smooth,10781,5.03329621768691,3.061502944758019,16.558743875012464,20.266781080934035,0.3339191747017228,0.27586206896551724,center_proxy_gt_axes_angle
45,Test,Fixation,18764,6.969129253392263,5.3916969405223165,20.01697247352777,23.487665052774997,0.23187337395055257,0.08823529411764706,center_proxy_gt_axes_angle
45,Test,Saccade,333,6.348914736338363,5.16975682644118,17.337334578056904,21.870328770879986,0.23110776906221628,0.0990990990990991,center_proxy_gt_axes_angle
45,Test,Smooth,10943,6.368004230697887,4.817635238325099,19.520590610646256,22.13909434316295,0.26149968071389784,0.13846153846153847,center_proxy_gt_axes_angle
46,Test,Fixation,19279,5.890826963545864,3.961616723999536,18.96585061096658,25.59632885501194,0.31934951797595507,0.23333333333333334,center_proxy_gt_axes_angle
46,Test,Saccade,100,5.2414972845399825,4.022767535389395,16.100648661717887,23.948426745689087,0.3254651530026952,0.1933619057111532,center_proxy_gt_axes_angle
46,Test,Smooth,10729,4.258058957375508,2.533929400272791,13.93844694038183,23.86389133757618,0.40524447520625145,0.4230769230769231,center_proxy_gt_axes_angle
47,Test,Fixation,19319,8.748711614971333,5.561726842335059,25.514639629171622,35.72377822114869,0.24859323925104265,0.04225352112676056,center_proxy_gt_axes_angle
47,Test,Saccade,283,9.098433021308463,7.5667699278565035,24.77295419604625,34.51500705082619,0.2001146954153403,0.0,center_proxy_gt_axes_angle
47,Test,Smooth,10773,7.444219042989689,4.242640687119285,23.709169350747946,32.35536689931521,0.30341706671614194,0.15625,center_proxy_gt_axes_angle
