user,eye,code,n_saccade,win_dur_s,orig_frames_40ms,interp_frames_5ms,added_frames,events_in_win
1,left,102,3,1.2,30,240,210,0
1,left,101,16,5.33,133,1066,933,0
1,left,202,2,0.8,20,160,140,0
1,left,201,6,2.4,60,480,420,0
1,right,101,1,0.4,10,80,70,0
1,right,102,1,0.4,10,80,70,0
1,right,202,3,0.87,22,174,152,0
2,left,101,0,0.0,0,0,0,0
1,right,201,10,3.31,83,662,579,0
2,left,102,1,0.4,10,80,70,0
2,left,202,2,0.8,20,160,140,0
2,left,201,2,0.8,20,160,140,0
2,right,101,1,0.4,10,80,70,0
2,right,102,4,1.6,40,320,280,0
2,right,202,0,0.0,0,0,0,0
2,right,201,3,1.2,30,240,210,0
3,left,102,7,2.47,62,493,431,0
3,left,101,10,3.65,91,730,639,0
3,left,202,2,0.8,20,160,140,0
3,left,201,11,3.01,75,603,528,0
3,right,102,3,1.2,30,240,210,0
3,right,101,13,4.5,112,899,787,0
3,right,202,2,0.8,20,160,140,0
3,right,201,4,1.6,40,320,280,0
4,left,102,2,0.8,20,160,140,0
4,left,101,4,1.6,40,320,280,0
4,left,202,3,1.2,30,240,210,0
4,left,201,4,1.6,40,320,280,0
4,right,102,4,1.6,40,320,280,0
4,right,101,6,2.4,60,480,420,0
4,right,202,1,0.4,10,80,70,0
5,left,101,0,0.0,0,0,0,0
5,left,102,0,0.0,0,0,0,0
4,right,201,5,2.0,50,400,350,0
5,left,202,0,0.0,0,0,0,0
5,right,101,1,0.4,10,80,70,0
5,right,102,1,0.4,10,80,70,0
5,left,201,2,0.8,20,160,140,0
5,right,202,2,0.8,20,160,140,0
6,left,101,0,0.0,0,0,0,0
5,right,201,6,2.4,60,480,420,0
6,left,201,0,0.0,0,0,0,0
6,left,102,1,0.4,10,80,70,0
6,left,202,1,0.4,10,80,70,0
6,right,102,1,0.4,10,80,70,0
6,right,201,0,0.0,0,0,0,0
6,right,202,0,0.0,0,0,0,0
6,right,101,3,1.2,30,240,210,0
7,left,102,2,0.8,20,160,140,0
7,left,101,1,0.4,10,80,70,0
7,left,202,0,0.0,0,0,0,0
7,right,101,3,1.2,30,240,210,0
7,right,102,0,0.0,0,0,0,0
7,left,201,1,0.4,10,80,70,0
7,right,202,1,0.4,10,80,70,0
7,right,201,2,0.8,20,160,140,0
8,left,102,1,0.4,10,80,70,0
8,left,101,1,0.4,10,80,70,0
8,left,202,1,0.4,10,80,70,0
8,right,101,0,0.0,0,0,0,0
8,left,201,4,1.6,40,320,280,0
8,right,102,2,0.8,20,160,140,0
8,right,202,0,0.0,0,0,0,0
8,right,201,2,0.8,20,160,140,0
9,left,101,5,2.0,50,400,350,0
9,left,102,1,0.4,10,80,70,0
9,left,202,0,0.0,0,0,0,0
9,right,101,0,0.0,0,0,0,0
9,right,102,0,0.0,0,0,0,0
9,right,201,0,0.0,0,0,0,0
9,right,202,0,0.0,0,0,0,0
9,left,201,2,0.8,20,160,140,0
10,left,101,7,2.8,70,560,490,0
10,left,102,3,1.2,30,240,210,0
10,left,202,2,0.8,20,160,140,0
10,left,201,2,0.8,20,160,140,0
10,right,102,4,1.6,40,320,280,0
10,right,101,3,1.2,30,240,210,0
10,right,202,4,1.6,40,320,280,0
10,right,201,2,0.8,20,160,140,0
11,left,102,0,0.0,0,0,0,0
11,left,201,2,0.8,20,160,140,0
11,left,202,0,0.0,0,0,0,0
11,right,101,1,0.4,10,80,70,0
11,right,102,0,0.0,0,0,0,0
11,left,101,5,2.0,50,400,350,0
11,right,202,0,0.0,0,0,0,0
11,right,201,2,0.8,20,160,140,0
12,left,102,1,0.4,10,80,70,0
12,left,101,4,1.32,33,263,230,0
12,left,201,8,2.87,72,574,502,0
12,right,101,0,0.0,0,0,0,0
12,left,202,4,1.25,31,250,219,0
12,right,102,2,0.8,20,160,140,0
12,right,201,4,1.6,40,320,280,0
13,left,101,0,0.0,0,0,0,0
12,right,202,1,0.4,10,80,70,0
13,left,201,0,0.0,0,0,0,0
13,left,202,0,0.0,0,0,0,0
13,left,102,2,0.8,20,160,140,0
13,right,101,1,0.4,10,80,70,0
13,right,201,0,0.0,0,0,0,0
13,right,202,0,0.0,0,0,0,0
13,right,102,2,0.43,11,86,75,0
14,left,102,2,0.8,20,160,140,0
14,left,101,1,0.4,10,80,70,0
14,left,202,0,0.0,0,0,0,0
14,right,101,3,1.2,30,240,210,0
14,right,102,1,0.4,10,80,70,0
14,left,201,1,0.4,10,80,70,0
14,right,202,2,0.42,11,84,73,0
14,right,201,2,0.8,20,160,140,0
15,left,101,4,1.52,38,304,266,0
15,left,102,3,1.2,30,240,210,0
15,left,202,6,2.4,60,480,420,0
15,right,101,0,0.0,0,0,0,0
15,right,102,2,0.8,20,160,140,0
15,left,201,1,0.4,10,80,70,0
15,right,202,1,0.4,10,80,70,0
16,left,101,0,0.0,0,0,0,0
16,left,102,0,0.0,0,0,0,0
16,left,201,0,0.0,0,0,0,0
16,left,202,0,0.0,0,0,0,0
16,right,101,0,0.0,0,0,0,0
16,right,102,0,0.0,0,0,0,0
16,right,201,0,0.0,0,0,0,0
15,right,201,5,2.0,50,400,350,0
16,right,202,1,0.4,10,80,70,0
17,left,102,1,0.4,10,80,70,0
17,left,101,9,3.6,90,720,630,0
17,left,202,3,1.2,30,240,210,0
17,right,101,8,2.83,71,567,496,0
17,left,201,7,2.8,70,560,490,0
17,right,102,5,2.0,50,400,350,0
17,right,202,4,1.6,40,320,280,0
