user,eye,code,n_win,0-50,50-100,100-200,200-300,300-500,500-800,800-1200,1200-2000,>2000,sum_sp,sumsq,p50_sess,p90_sess
1,left,102,987,759,150,68,6,3,1,0,0,0,34104.70137249557,3363730.5638575885,18.401161615406142,88.74510794578615
1,left,101,1937,1613,106,110,53,47,8,0,0,0,69862.62415658546,15809774.864696678,3.455337788100162,115.25736405533324
1,left,202,984,773,115,81,7,7,1,0,0,0,34773.77440604937,4285251.817709543,14.551673760284519,98.75433349166495
1,left,201,1947,1583,127,127,40,63,7,0,0,0,73488.43513916481,16977294.566723503,3.309416942631736,120.69884105140562
1,right,101,1926,1620,93,103,56,46,8,0,0,0,66335.35190070486,14773838.725101301,3.117138756133362,115.49753493704273
1,right,102,974,748,156,61,6,3,0,0,0,0,32527.4729578394,3015760.6611002735,16.63751127873117,87.58027396982048
1,right,202,974,757,137,64,8,8,0,0,0,0,33427.91349402298,3875039.078177523,14.385923968684512,93.4242643129098
1,right,201,1937,1604,119,95,59,53,7,0,0,0,70588.95370467077,16551909.063549545,3.253249864195725,108.34850248304156
2,left,101,1915,1628,97,105,45,38,2,0,0,0,59323.84796773894,11700132.703914586,3.5488523404329753,99.25122952550232
2,left,102,1055,870,124,51,9,1,0,0,0,0,28726.160857226998,2559232.3496077415,10.179658332139693,74.2528143798143
2,left,201,1913,1623,119,90,39,39,3,0,0,0,59159.041163624206,11906117.564754538,3.7349410076809355,86.71415138876812
2,left,202,1041,877,106,52,4,2,0,0,0,0,26831.63801322468,2318574.8083833163,9.842819624377933,77.64896038425563
2,right,102,1042,841,136,58,2,5,0,0,0,0,30005.334055459283,2772394.897926638,11.236151447042765,81.8062894896968
2,right,101,1905,1618,97,83,55,47,5,0,0,0,63287.89980374464,13838920.611688454,3.2785099488874883,99.15883181790942
2,right,202,1033,855,111,59,5,3,0,0,0,0,27607.998725476857,2503806.253273193,9.61465692730293,76.01812672498724
2,right,201,1905,1610,109,94,46,41,5,0,0,0,62569.31517974984,13627665.430945627,3.0655902422092884,98.02148770878374
3,left,101,1945,1628,90,91,60,57,19,0,0,0,77230.6231312528,20857223.768441565,3.516510813301237,125.07862510614687
3,left,102,1049,777,154,91,13,7,1,6,0,0,45315.689626583684,10689252.279620012,15.952957401170549,106.75654683651467
3,left,201,1909,1571,96,102,59,59,16,6,0,0,86579.46071514128,28054742.24276306,4.482348304655471,144.46929132903188
3,left,202,1031,761,155,81,18,12,2,2,0,0,43696.87590915093,7872297.081109192,15.662587208797861,105.36785576416726
3,right,101,1934,1628,91,78,55,65,17,0,0,0,76924.7735874633,21916816.72013621,3.025994977612534,115.7111289584693
3,right,102,1033,773,159,83,9,9,0,0,0,0,38125.98996159456,4364340.650003822,15.919915897248753,99.21388578569976
3,right,201,1900,1573,113,75,65,63,9,1,1,0,77753.07380633388,21555523.477373987,3.8793483760872824,124.96439703758101
3,right,202,1021,768,146,90,7,10,0,0,0,0,37501.2100163564,4354184.099416664,15.200608401462603,102.77390957901612
4,left,101,1903,1553,135,99,57,52,7,0,0,0,73214.77938302659,16671867.606743302,3.2762905460308605,117.94776127847207
4,left,102,978,744,109,88,27,9,1,0,0,0,38127.56139205706,5762304.858990369,8.096864425975646,122.54122239728356
4,left,201,1908,1562,118,108,56,53,11,0,0,0,75896.81054119849,17905662.513267964,3.7542474118813143,123.48106574175407
4,left,202,981,744,95,101,31,9,1,0,0,0,39910.24964068545,5750116.3217270505,10.067522532140284,126.52002266499765
4,right,101,1891,1543,123,114,51,51,9,0,0,0,74079.50444461267,16840269.700546186,3.4564039038499765,125.18718343412611
4,right,102,968,719,124,88,28,8,1,0,0,0,38530.034355155156,5588356.365525365,7.9722912025108785,125.51780820923261
4,right,202,970,714,108,111,28,9,0,0,0,0,39836.66681903243,5738829.406716978,9.552695977009897,129.45280427244512
4,right,201,1896,1537,128,106,60,51,14,0,0,0,76616.94533495704,18233435.974951327,3.6072928281836667,124.94627028420567
5,left,101,1932,1581,106,139,63,42,1,0,0,0,69685.549402332,13693606.030007001,3.0540787141133654,136.83749008310053
5,left,102,996,780,131,76,5,3,1,0,0,0,33148.63514141217,3335291.210140687,15.621628943847071,92.79901826288841
5,left,201,1903,1535,134,111,64,56,3,0,0,0,75435.05646362496,16280879.057351166,4.187477000108303,131.65522815623285
5,left,202,974,736,106,100,21,11,0,0,0,0,40330.980228967004,5323745.862086124,16.885294649170064,115.35681036126833
5,right,102,986,766,145,67,4,4,0,0,0,0,33075.31273407476,3105794.897911821,16.903315951978087,89.25155588133433
5,right,101,1921,1550,136,129,61,43,2,0,0,0,70424.93212509969,13776740.255634312,3.500614139892849,123.20400798935887
5,right,202,961,716,117,105,12,11,0,0,0,0,40002.63757234928,5143937.652806911,17.191246323095434,118.26312388279881
5,right,201,1891,1490,158,128,55,57,3,0,0,0,78995.54682432141,16638089.821005937,4.872078121638729,128.08053899884297
6,left,102,974,777,106,76,11,3,1,0,0,0,33129.30655741191,3773291.9140207777,15.000884106781733,92.89339727740148
6,left,101,1996,1728,64,81,54,48,21,0,0,0,69850.51264234286,19724207.768473677,2.682041555588566,103.377775729938
6,left,201,1942,1694,71,62,50,53,12,0,0,0,63042.78518473505,16969452.51284443,2.7805655866025853,75.85997659716928
6,left,202,970,772,116,66,8,6,2,0,0,0,33336.742831179814,3901534.616736493,15.649854496804341,93.04699556908331
6,right,101,1985,1730,61,67,57,55,15,0,0,0,68473.02975006029,19659704.399437644,2.7790033147026847,94.01185937555637
6,right,102,963,759,112,79,9,2,2,0,0,0,32558.083043730512,3691674.863531416,14.072132815984771,95.6452461482011
6,right,201,1931,1687,63,67,52,48,14,0,0,0,63282.10187400493,17128429.76364243,2.6922480600394296,87.50165622854912
6,right,202,960,761,118,64,11,4,2,0,0,0,33584.58168433528,4049484.364161862,16.011271070573546,89.29409526809613
7,left,102,978,751,173,45,4,5,0,0,0,0,30464.88493048266,2989947.6098882137,11.931588997393504,86.46200345091735
7,left,101,1916,1658,84,87,41,41,5,0,0,0,57723.337540036824,12570727.034427542,3.029155984128135,87.72088083925772
7,left,201,1922,1662,84,87,37,45,7,0,0,0,58862.960989538085,13106937.96117571,3.3725356826088335,84.90085672478733
7,left,202,978,783,118,68,7,1,1,0,0,0,30942.23416087792,3067044.8442263408,13.005455433730319,91.04496901287625
7,right,102,969,742,169,50,4,4,0,0,0,0,30314.62563339513,2847569.384503483,13.766376176870931,81.62092281164702
7,right,101,1907,1664,74,80,42,41,6,0,0,0,57115.39858970182,13192846.246924445,2.6387289720320037,79.71679246793036
7,right,201,1912,1650,92,78,42,41,9,0,0,0,58245.6923712479,13527910.738714648,2.7362433435237947,88.49896625668144
7,right,202,969,757,143,58,8,2,1,0,0,0,30562.907557217724,2985056.885817335,12.45489999605761,87.8618003450146
8,left,101,1974,1727,66,77,50,47,7,0,0,0,58689.47720295213,14367944.837789007,2.3679224653937405,81.43061825476931
8,left,102,982,772,116,77,13,4,0,0,0,0,32446.839082083257,3667278.3780012457,10.559644439633121,97.49305708065799
8,left,201,1974,1721,77,76,44,54,2,0,0,0,59054.43906930093,13494354.169980247,2.904601891035089,80.6229727337402
8,left,202,967,764,116,71,12,4,0,0,0,0,31676.553538823,3343991.5082332785,12.279470287254496,91.64057969027826
8,right,101,1964,1721,61,67,47,61,7,0,0,0,61196.04423302694,15832720.205492318,2.4481997648622063,84.0376451298836
8,right,102,972,739,125,90,14,4,0,0,0,0,34090.09314692268,3883018.0191378784,11.665352412953624,105.8035924959341
8,right,202,958,744,127,70,14,3,0,0,0,0,32891.07147338476,3470229.9283096814,13.8895254691549,96.77541307513344
8,right,201,1963,1687,97,65,52,57,5,0,0,0,62728.39896940349,14951953.029788893,2.9607803630019633,81.13655618039888
9,left,102,1052,795,157,90,4,5,1,0,0,0,35698.49194282104,4041586.757977424,11.096352835567444,97.00501643597184
9,left,101,1897,1636,70,77,39,57,18,0,0,0,66582.23062696887,19203578.380699113,2.741127823401313,100.6604142425077
9,left,202,1027,783,141,87,11,4,1,0,0,0,34994.513261525084,4335843.58745157,10.451081778032778,99.52140951015464
9,left,201,1911,1639,67,78,49,59,19,0,0,0,71195.25139109766,20672114.98274873,3.355585715081764,111.37942971198048
9,right,102,1040,816,158,56,5,5,0,0,0,0,30781.224225992446,3036916.1627512127,9.470824648863097,86.33311543466417
9,right,101,1886,1672,38,73,42,49,12,0,0,0,58003.655041631224,15830853.457464576,2.400674776714075,80.18468760880918
9,right,202,1017,814,142,50,8,2,1,0,0,0,29635.06210575746,3133131.104481574,8.674518973775097,82.35836080307891
9,right,201,1901,1651,70,68,54,47,11,0,0,0,60502.64652638403,15967965.724683654,2.547353956618346,89.07455112375838
10,left,102,1051,832,176,33,1,7,2,0,0,0,34029.44652154631,3457058.497048628,18.49302051374507,76.18217678602451
10,left,101,1937,1660,94,61,58,57,7,0,0,0,65451.0398153312,16083391.128379893,2.4939593149141825,92.43433065924387
10,left,202,1057,856,164,29,4,4,0,0,0,0,32371.7423500542,2440318.213090535,20.052374278308093,73.95178281374076
10,left,201,1907,1653,84,70,49,47,4,0,0,0,57608.83953574014,13608967.397183444,2.4648288462463026,80.47773523494848
10,right,101,1927,1662,76,73,53,60,3,0,0,0,64072.988678256326,15639938.679199805,2.753528120435326,97.05735447369572
