Subject,Split,InVal,Track_inv,Search_inv,Total,Track_pct,Search_pct,Track_to_Search
1,Train,False,50109,11856,61965,80.87,19.13,4.23
2,Train,False,51825,10869,62694,82.66,17.34,4.77
3,Train,False,49187,13677,62864,78.24,21.76,3.6
4,Train,False,46416,14666,61082,75.99,24.01,3.16
5,Train,False,48381,13081,61462,78.72,21.28,3.7
6,Train,False,53170,9066,62236,85.43,14.57,5.86
7,Train,False,51423,9967,61390,83.76,16.24,5.16
8,Train,False,50024,12386,62410,80.15,19.85,4.04
9,Train,False,51042,11276,62318,81.91,18.09,4.53
10,Train,False,51988,10953,62941,82.6,17.4,4.75
11,Train,False,52090,10935,63025,82.65,17.35,4.76
12,Train,False,50995,10970,61965,82.3,17.7,4.65
13,Train,False,52256,9861,62117,84.13,15.87,5.3
14,Train,False,51106,12038,63144,80.94,19.06,4.25
15,Train,False,50565,11814,62379,81.06,18.94,4.28
16,Train,False,51537,9332,60869,84.67,15.33,5.52
17,Train,False,47453,14834,62287,76.18,23.82,3.2
18,Train,False,53820,7719,61539,87.46,12.54,6.97
19,Train,False,52411,10605,63016,83.17,16.83,4.94
20,Train,False,46848,15012,61860,75.73,24.27,3.12
21,Train,False,55120,7139,62259,88.53,11.47,7.72
22,Train,False,52182,9934,62116,84.01,15.99,5.25
23,Train,False,51332,9978,61310,83.73,16.27,5.14
24,Train,False,52681,9943,62624,84.12,15.88,5.3
25,Train,False,53091,8541,61632,86.14,13.86,6.22
26,Train,False,49703,11934,61637,80.64,19.36,4.16
27,Train,False,144905,18490,163395,88.68,11.32,7.84
28,Train,False,50200,11112,61312,81.88,18.12,4.52
29,Train,False,48819,12329,61148,79.84,20.16,3.96
30,Train,False,50654,11047,61701,82.1,17.9,4.59
31,Train,False,50178,11811,61989,80.95,19.05,4.25
32,Train,False,51657,10766,62423,82.75,17.25,4.8
33,Train,False,51984,9703,61687,84.27,15.73,5.36
34,Train,False,50697,11122,61819,82.01,17.99,4.56
35,Train,False,50833,12293,63126,80.53,19.47,4.14
36,Train,False,50377,12153,62530,80.56,19.44,4.15
37,Test,True,52437,10040,62477,83.93,16.07,5.22
38,Test,False,49915,11194,61109,81.68,18.32,4.46
39,Test,False,51397,9598,60995,84.26,15.74,5.35
40,Test,True,53543,9300,62843,85.2,14.8,5.76
41,Test,False,50651,12014,62665,80.83,19.17,4.22
42,Test,False,47395,15142,62537,75.79,24.21,3.13
43,Test,False,51508,11036,62544,82.35,17.65,4.67
44,Test,False,49936,12039,61975,80.57,19.43,4.15
45,Test,True,52280,10205,62485,83.67,16.33,5.12
46,Test,False,51757,10881,62638,82.63,17.37,4.76
47,Test,False,51434,10744,62178,82.72,17.28,4.79
48,Test,True,48591,13910,62501,77.74,22.26,3.49
