Subject,Split,InVal,Fixation,Saccade,Smooth,Blink,Total,Fixation_%,Saccade_%,Smooth_%,Blink_%
1,Train,False,578108,90904,278416,7369,954797,60.55,9.52,29.16,0.77
2,Train,False,367140,35080,176104,4664,582988,62.98,6.02,30.21,0.8
3,Train,False,378618,53080,192696,15541,639935,59.17,8.29,30.11,2.43
4,Train,False,521816,93936,256582,5932,878266,59.41,10.7,29.21,0.68
5,Train,False,483946,55888,231768,5962,777564,62.24,7.19,29.81,0.77
6,Train,False,321168,36120,188968,3713,549969,58.4,6.57,34.36,0.68
7,Train,False,260002,21736,145970,1359,429067,60.6,5.07,34.02,0.32
8,Train,False,225072,18192,132226,9008,384498,58.54,4.73,34.39,2.34
9,Train,False,463728,61712,234524,2470,762434,60.82,8.09,30.76,0.32
10,Train,False,412948,56032,209646,8566,687192,60.09,8.15,30.51,1.25
11,Train,False,407338,52976,211658,8508,680480,59.86,7.79,31.1,1.25
12,Train,False,316348,38112,176716,3235,534411,59.2,7.13,33.07,0.61
13,Train,False,357620,43432,203386,2378,606816,58.93,7.16,33.52,0.39
14,Train,False,368448,44472,209290,8593,630803,58.41,7.05,33.18,1.36
15,Train,False,241752,22264,124120,4074,392210,61.64,5.68,31.65,1.04
16,Train,False,359112,32864,164904,6861,563741,63.7,5.83,29.25,1.22
17,Train,False,256644,25712,124676,15379,422411,60.76,6.09,29.52,3.64
18,Train,False,253902,15144,135238,3017,407301,62.34,3.72,33.2,0.74
19,Train,False,374322,34520,178868,2395,590105,63.43,5.85,30.31,0.41
20,Train,False,444952,98048,226972,21116,791088,56.25,12.39,28.69,2.67
21,Train,False,299274,18544,147148,2132,467098,64.07,3.97,31.5,0.46
22,Train,False,262088,24960,161822,1222,450092,58.23,5.55,35.95,0.27
23,Train,False,208754,16208,114636,2165,341763,61.08,4.74,33.54,0.63
24,Train,False,525370,80224,256852,11048,873494,60.15,9.18,29.41,1.26
25,Train,False,355784,43776,188216,4483,592259,60.07,7.39,31.78,0.76
26,Train,False,448258,81864,195706,13793,739621,60.61,11.07,26.46,1.86
27,Train,False,383734,50672,197800,4182,636388,60.3,7.96,31.08,0.66
28,Train,False,363578,42624,170434,4376,581012,62.58,7.34,29.33,0.75
29,Train,False,313616,49184,175618,15314,553732,56.64,8.88,31.72,2.77
30,Train,False,512898,93080,265224,10014,881216,58.2,10.56,30.1,1.14
31,Train,False,521618,60384,265304,4341,851647,61.25,7.09,31.15,0.51
32,Train,False,295226,24248,153870,8142,481486,61.32,5.04,31.96,1.69
33,Train,False,449102,90072,261320,2550,803044,55.92,11.22,32.54,0.32
34,Train,False,550562,119416,314288,8173,992439,55.48,12.03,31.67,0.82
35,Train,False,261218,31904,151926,5431,450479,57.99,7.08,33.73,1.21
36,Train,False,400196,50848,207782,1995,660821,60.56,7.69,31.44,0.3
37,Test,True,372896,39384,200770,2655,615705,60.56,6.4,32.61,0.43
38,Test,False,293390,30664,167712,6198,497964,58.92,6.16,33.68,1.24
39,Test,False,407032,41408,210510,1250,660200,61.65,6.27,31.89,0.19
40,Test,True,261276,15480,168202,4509,449467,58.13,3.44,37.42,1.0
41,Test,False,351142,65208,181692,5783,603825,58.15,10.8,30.09,0.96
42,Test,False,277630,32888,161738,11444,483700,57.4,6.8,33.44,2.37
43,Test,False,425388,60464,217230,5497,708579,60.03,8.53,30.66,0.78
44,Test,False,405484,34224,190342,2109,632159,64.14,5.41,30.11,0.33
45,Test,True,366592,46256,207688,6018,626554,58.51,7.38,33.15,0.96
46,Test,False,436060,36816,220054,6574,699504,62.34,5.26,31.46,0.94
47,Test,False,369334,39152,205574,3463,617523,59.81,6.34,33.29,0.56
48,Test,True,415282,42472,211524,9009,678287,61.23,6.26,31.19,1.33
