u,total,NE,NEV,IS,SkF,RS,Sa,Sb,Sw,S95,S99,GS,IT,SkV,RT,Ta,Tb,Tw_,T95,T99,GT
37,31237,44683626,249896,1094,30143,0.44,1.228,1.08,1.426,1.34,1.373,813.0,247648,2248,99.56,0.441,0.377,0.511,0.496,0.511,228.1
38,30554,52668599,244432,1111,29443,0.46,1.229,1.099,1.435,1.336,1.38,791.0,238104,6328,99.54,0.453,0.366,0.514,0.514,0.514,234.7
39,30497,46547704,243976,1031,29466,0.42,1.253,1.073,1.494,1.399,1.449,826.1,243000,976,99.58,0.468,0.395,0.513,0.513,0.513,217.8
40,31421,50344869,251368,950,30471,0.38,1.241,1.103,1.426,1.377,1.409,787.1,246056,5312,99.62,0.448,0.392,0.512,0.498,0.512,219.5
41,31332,52573392,250656,1405,29927,0.57,1.233,1.053,1.416,1.365,1.406,817.9,245480,5176,99.43,0.452,0.368,0.515,0.513,0.515,233.5
42,31267,85043274,250136,1124,30143,0.47,1.248,1.101,1.431,1.376,1.417,825.0,237920,12216,99.53,0.472,0.386,0.511,0.511,0.511,222.7
43,31273,47844554,250184,1170,30103,0.47,1.247,1.097,1.441,1.387,1.427,832.8,245920,4264,99.53,0.464,0.379,0.516,0.516,0.516,226.9
44,30985,51619221,247880,1072,29913,0.43,1.236,1.111,1.387,1.345,1.38,788.4,246144,1736,99.57,0.447,0.386,0.511,0.499,0.511,223.1
45,31240,63716020,249920,1115,30125,0.45,1.254,1.081,1.435,1.38,1.415,799.9,244856,5064,99.55,0.463,0.367,0.512,0.512,0.512,234.5
46,31318,53021026,250544,1060,30258,0.43,1.279,1.127,1.443,1.386,1.42,778.4,245688,4856,99.57,0.476,0.381,0.511,0.511,0.511,225.5
47,31088,55195594,248704,1084,30004,0.44,1.236,1.109,1.381,1.336,1.353,779.5,245728,2976,99.56,0.451,0.384,0.51,0.503,0.51,224.1
48,31251,55674410,250008,1063,30188,0.44,1.249,1.095,1.468,1.361,1.424,794.2,242976,7032,99.56,0.465,0.381,0.512,0.512,0.512,225.7
