Subject,Split,InVal,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-100,100-200,200-300,300-400,400-800,800-1200,1200+,Total,0-1 %,1-2 %,2-3 %,3-4 %,4-5 %,5-6 %,6-7 %,7-8 %,8-9 %,9-10 %,10-15 %,15-20 %,20-25 %,25-30 %,30-35 %,35-40 %,40-45 %,45-50 %,50-100 %,100-200 %,200-300 %,300-400 %,400-800 %,800-1200 %,1200+ %
1,Train,False,304232,3986,4244,4312,3752,3616,3862,3088,3284,3168,12960,10146,7836,6264,4990,4240,3704,3416,20168,18624,11374,8228,36910,8656,6656,501716,60.638,0.794,0.846,0.859,0.748,0.721,0.77,0.615,0.655,0.631,2.583,2.022,1.562,1.249,0.995,0.845,0.738,0.681,4.02,3.712,2.267,1.64,7.357,1.725,1.327
2,Train,False,340204,3418,3806,3584,3134,3044,3234,2682,2692,2666,10654,8390,6662,5350,4222,3696,3110,2912,17140,15804,9402,5738,24124,5208,3120,493996,68.868,0.692,0.77,0.726,0.634,0.616,0.655,0.543,0.545,0.54,2.157,1.698,1.349,1.083,0.855,0.748,0.63,0.589,3.47,3.199,1.903,1.162,4.883,1.054,0.632
3,Train,False,325096,3612,3754,3830,3284,3228,3524,2832,2924,2830,11328,8822,6794,5342,4434,3954,3558,3284,19882,19444,10856,6270,31014,7304,5984,503184,64.608,0.718,0.746,0.761,0.653,0.642,0.7,0.563,0.581,0.562,2.251,1.753,1.35,1.062,0.881,0.786,0.707,0.653,3.951,3.864,2.157,1.246,6.164,1.452,1.189
4,Train,False,318534,3242,3422,3246,3028,2576,3036,2264,2412,2370,9414,7458,6106,4832,3934,3446,3072,2828,17532,17866,11700,8334,43732,9648,5544,499576,63.761,0.649,0.685,0.65,0.606,0.516,0.608,0.453,0.483,0.474,1.884,1.493,1.222,0.967,0.787,0.69,0.615,0.566,3.509,3.576,2.342,1.668,8.754,1.931,1.11
5,Train,False,306450,3664,3770,3738,3488,3224,3738,2848,2972,2940,11762,9408,7800,6212,5006,4226,3814,3332,20008,19700,11996,8244,31256,6088,2704,488388,62.747,0.75,0.772,0.765,0.714,0.66,0.765,0.583,0.609,0.602,2.408,1.926,1.597,1.272,1.025,0.865,0.781,0.682,4.097,4.034,2.456,1.688,6.4,1.247,0.554
6,Train,False,338034,3840,3892,4256,3600,3312,3784,2872,3068,3014,11450,8842,6690,5342,4184,3582,3192,2798,15302,14154,7374,4960,26456,4920,4648,493566,68.488,0.778,0.789,0.862,0.729,0.671,0.767,0.582,0.622,0.611,2.32,1.791,1.355,1.082,0.848,0.726,0.647,0.567,3.1,2.868,1.494,1.005,5.36,0.997,0.942
7,Train,False,342638,3578,3550,3588,3356,2934,3362,2554,2646,2614,10246,7980,6206,4540,3538,3190,2744,2564,14544,13814,7824,4822,19370,4144,4200,480546,71.302,0.745,0.739,0.747,0.698,0.611,0.7,0.531,0.551,0.544,2.132,1.661,1.291,0.945,0.736,0.664,0.571,0.534,3.027,2.875,1.628,1.003,4.031,0.862,0.874
8,Train,False,352420,3334,3458,3566,3174,3080,3340,2632,2566,2550,10396,7912,5944,4338,3562,3088,2698,2458,13804,13382,7560,5920,15436,4544,6016,487178,72.339,0.684,0.71,0.732,0.652,0.632,0.686,0.54,0.527,0.523,2.134,1.624,1.22,0.89,0.731,0.634,0.554,0.505,2.833,2.747,1.552,1.215,3.168,0.933,1.235
9,Train,False,335904,3706,3888,3812,3526,3144,3536,2738,2918,2710,11034,8478,6688,5138,4062,3592,3028,2754,15190,14128,9100,6388,33230,6920,2976,498588,67.371,0.743,0.78,0.765,0.707,0.631,0.709,0.549,0.585,0.544,2.213,1.7,1.341,1.031,0.815,0.72,0.607,0.552,3.047,2.834,1.825,1.281,6.665,1.388,0.597
10,Train,False,320982,4308,4396,4548,3880,3520,3620,3152,3146,3184,12396,9484,7628,5740,4810,4084,3814,3456,21022,17910,9794,5776,30948,7672,4960,504230,63.658,0.854,0.872,0.902,0.769,0.698,0.718,0.625,0.624,0.631,2.458,1.881,1.513,1.138,0.954,0.81,0.756,0.685,4.169,3.552,1.942,1.146,6.138,1.522,0.984
11,Train,False,326558,3916,4268,4618,3902,3670,4126,3344,3210,3510,13294,10570,8060,6112,4880,4186,3670,3266,17384,15494,8928,5348,31376,6344,3440,503474,64.861,0.778,0.848,0.917,0.775,0.729,0.82,0.664,0.638,0.697,2.64,2.099,1.601,1.214,0.969,0.831,0.729,0.649,3.453,3.077,1.773,1.062,6.232,1.26,0.683
12,Train,False,342424,3616,3774,3948,3472,3152,3300,2532,2664,2598,9924,7856,5708,4580,3488,3040,2708,2492,13472,14734,8834,5728,27532,5312,4872,491760,69.632,0.735,0.767,0.803,0.706,0.641,0.671,0.515,0.542,0.528,2.018,1.598,1.161,0.931,0.709,0.618,0.551,0.507,2.74,2.996,1.796,1.165,5.599,1.08,0.991
13,Train,False,351448,3158,3186,3288,2978,2774,3254,2528,2398,2390,9856,7516,5686,4230,3400,2912,2434,2220,12748,12782,8090,5960,30536,5736,2576,494084,71.131,0.639,0.645,0.665,0.603,0.561,0.659,0.512,0.485,0.484,1.995,1.521,1.151,0.856,0.688,0.589,0.493,0.449,2.58,2.587,1.637,1.206,6.18,1.161,0.521
14,Train,False,328898,3592,3592,4026,3416,3194,3850,3014,3056,3102,12602,10338,7962,6168,4970,4228,3884,3408,19008,15786,8944,6244,27652,6488,4528,501950,65.524,0.716,0.716,0.802,0.681,0.636,0.767,0.6,0.609,0.618,2.511,2.06,1.586,1.229,0.99,0.842,0.774,0.679,3.787,3.145,1.782,1.244,5.509,1.293,0.902
15,Train,False,351692,2990,3438,3318,3020,2846,3218,2494,2534,2450,10096,7712,5998,4708,3862,3232,2786,2606,15672,14252,7176,4404,16774,4448,8816,490542,71.695,0.61,0.701,0.676,0.616,0.58,0.656,0.508,0.517,0.499,2.058,1.572,1.223,0.96,0.787,0.659,0.568,0.531,3.195,2.905,1.463,0.898,3.419,0.907,1.797
16,Train,False,329606,3302,3460,3576,3272,2866,3280,2574,2532,2710,10656,8252,6726,5064,4322,3810,3294,2902,16534,14420,8484,5672,24262,4552,2016,478144,68.934,0.691,0.724,0.748,0.684,0.599,0.686,0.538,0.53,0.567,2.229,1.726,1.407,1.059,0.904,0.797,0.689,0.607,3.458,3.016,1.774,1.186,5.074,0.952,0.422
17,Train,False,333168,2932,3426,3556,2892,2830,3362,2654,2788,2814,11446,9292,7576,5604,4436,3808,3854,3250,19310,16620,8370,5256,17462,5184,9016,490906,67.868,0.597,0.698,0.724,0.589,0.576,0.685,0.541,0.568,0.573,2.332,1.893,1.543,1.142,0.904,0.776,0.785,0.662,3.934,3.386,1.705,1.071,3.557,1.056,1.837
18,Train,False,353038,2884,3088,2988,2744,2760,2824,2346,2384,2402,9178,7120,5636,4410,3682,2958,2686,2464,14240,13442,7992,4976,12812,3760,3752,476566,74.08,0.605,0.648,0.627,0.576,0.579,0.593,0.492,0.5,0.504,1.926,1.494,1.183,0.925,0.773,0.621,0.564,0.517,2.988,2.821,1.677,1.044,2.688,0.789,0.787
19,Train,False,347560,3412,3596,3720,3318,3012,3374,2776,2730,2788,10606,7882,6222,4852,3866,3288,2910,2488,14640,14220,9300,6858,25478,5440,1936,496272,70.034,0.688,0.725,0.75,0.669,0.607,0.68,0.559,0.55,0.562,2.137,1.588,1.254,0.978,0.779,0.663,0.586,0.501,2.95,2.865,1.874,1.382,5.134,1.096,0.39
20,Train,False,323788,2766,3026,3122,2662,2738,3090,2414,2488,2530,10426,8420,6746,5446,4348,3832,3366,3212,17480,15774,10400,7600,44444,13480,7904,511502,63.301,0.541,0.592,0.61,0.52,0.535,0.604,0.472,0.486,0.495,2.038,1.646,1.319,1.065,0.85,0.749,0.658,0.628,3.417,3.084,2.033,1.486,8.689,2.635,1.545
21,Train,False,345646,2626,2858,3076,2538,2466,2704,2344,2326,2412,9862,8098,6808,5520,4598,3772,3542,3110,17598,15400,8220,5308,15436,3528,3088,482884,71.58,0.544,0.592,0.637,0.526,0.511,0.56,0.485,0.482,0.499,2.042,1.677,1.41,1.143,0.952,0.781,0.734,0.644,3.644,3.189,1.702,1.099,3.197,0.731,0.639
22,Train,False,341178,4226,4178,4250,3732,3302,3682,2846,2798,2648,10736,8436,6310,4920,3978,3428,3084,2716,14914,13668,8036,4816,21650,4520,4584,488636,69.823,0.865,0.855,0.87,0.764,0.676,0.754,0.582,0.573,0.542,2.197,1.726,1.291,1.007,0.814,0.702,0.631,0.556,3.052,2.797,1.645,0.986,4.431,0.925,0.938
23,Train,False,351544,2936,3196,3222,2886,2762,2904,2538,2422,2318,9216,6916,5582,4050,3472,2832,2570,2336,13584,13400,7730,4876,13296,4536,7312,478436,73.478,0.614,0.668,0.673,0.603,0.577,0.607,0.53,0.506,0.484,1.926,1.446,1.167,0.847,0.726,0.592,0.537,0.488,2.839,2.801,1.616,1.019,2.779,0.948,1.528
24,Train,False,345496,2854,3206,3202,2808,2586,2918,2466,2474,2528,10314,7772,6204,4786,3836,3070,2822,2256,14280,12962,9182,7228,38168,7672,5120,506210,68.252,0.564,0.633,0.633,0.555,0.511,0.576,0.487,0.489,0.499,2.037,1.535,1.226,0.945,0.758,0.606,0.557,0.446,2.821,2.561,1.814,1.428,7.54,1.516,1.011
25,Train,False,332544,3538,3708,3972,3496,3266,3434,2940,2812,2738,11308,8886,6906,5646,4312,3786,3300,2974,16138,13116,7860,4904,28820,6680,4200,491284,67.689,0.72,0.755,0.808,0.712,0.665,0.699,0.598,0.572,0.557,2.302,1.809,1.406,1.149,0.878,0.771,0.672,0.605,3.285,2.67,1.6,0.998,5.866,1.36,0.855
26,Train,False,320998,2916,2876,3092,2766,2722,3054,2496,2564,2430,10312,8268,6798,5502,4472,4058,3584,3276,19690,16654,10304,7052,40444,10688,7264,504280,63.655,0.578,0.57,0.613,0.549,0.54,0.606,0.495,0.508,0.482,2.045,1.64,1.348,1.091,0.887,0.805,0.711,0.65,3.905,3.303,2.043,1.398,8.02,2.119,1.44
27,Train,False,337904,3524,3722,3872,3340,3058,3324,2792,2648,2760,10290,7772,5730,4298,3322,3160,2816,2408,13414,12760,8514,6448,32212,6512,4856,491456,68.756,0.717,0.757,0.788,0.68,0.622,0.676,0.568,0.539,0.562,2.094,1.581,1.166,0.875,0.676,0.643,0.573,0.49,2.729,2.596,1.732,1.312,6.554,1.325,0.988
28,Train,False,345980,3228,3266,3230,2894,2494,2964,2340,2282,2176,9114,6870,5564,4168,3424,2872,2664,2326,13450,12688,8344,6210,28526,6488,4528,488090,70.884,0.661,0.669,0.662,0.593,0.511,0.607,0.479,0.468,0.446,1.867,1.408,1.14,0.854,0.702,0.588,0.546,0.477,2.756,2.6,1.71,1.272,5.844,1.329,0.928
29,Train,False,329156,3148,3296,3414,3130,2950,3262,2780,2812,2814,11070,8578,6954,5340,4310,3676,3102,2740,15666,13608,8642,5696,25760,9328,10984,492216,66.872,0.64,0.67,0.694,0.636,0.599,0.663,0.565,0.571,0.572,2.249,1.743,1.413,1.085,0.876,0.747,0.63,0.557,3.183,2.765,1.756,1.157,5.233,1.895,2.232
30,Train,False,331632,3632,3586,3614,3314,3096,3260,2622,2782,2778,10680,8348,6720,4890,4202,3486,3076,2840,15976,14192,7898,5212,37040,13520,5536,503932,65.809,0.721,0.712,0.717,0.658,0.614,0.647,0.52,0.552,0.551,2.119,1.657,1.334,0.97,0.834,0.692,0.61,0.564,3.17,2.816,1.567,1.034,7.35,2.683,1.099
31,Train,False,329442,3310,3598,3798,3318,3130,3464,2916,2840,2786,10724,8456,6558,5214,4364,3402,3058,2906,16526,16146,10410,7324,31200,4912,2384,492186,66.934,0.673,0.731,0.772,0.674,0.636,0.704,0.592,0.577,0.566,2.179,1.718,1.332,1.059,0.887,0.691,0.621,0.59,3.358,3.28,2.115,1.488,6.339,0.998,0.484
32,Train,False,319422,3088,3388,3302,3040,2932,3432,2618,2750,2744,11648,9584,8030,6134,5508,4758,4340,3940,23820,19966,9824,6258,19674,5032,3224,488456,65.394,0.632,0.694,0.676,0.622,0.6,0.703,0.536,0.563,0.562,2.385,1.962,1.644,1.256,1.128,0.974,0.889,0.807,4.877,4.088,2.011,1.281,4.028,1.03,0.66
33,Train,False,342372,3076,3000,2986,2646,2562,2792,2376,2272,2174,8872,6826,5700,4434,3834,3246,2702,2606,14248,12508,8144,6276,43066,11760,6640,507118,67.513,0.607,0.592,0.589,0.522,0.505,0.551,0.469,0.448,0.429,1.749,1.346,1.124,0.874,0.756,0.64,0.533,0.514,2.81,2.466,1.606,1.238,8.492,2.319,1.309
34,Train,False,320666,2564,2828,3002,2714,2606,2850,2404,2380,2458,10146,8514,7020,5728,4858,4202,3714,3408,18752,16700,10438,7196,45018,14688,6744,511598,62.679,0.501,0.553,0.587,0.53,0.509,0.557,0.47,0.465,0.48,1.983,1.664,1.372,1.12,0.95,0.821,0.726,0.666,3.665,3.264,2.04,1.407,8.799,2.871,1.318
35,Train,False,349166,3128,3436,3468,3138,2960,3372,2520,2772,2726,10790,8626,6438,4626,3754,3158,3030,2644,15234,15360,8152,5340,25096,5712,7312,501958,69.561,0.623,0.685,0.691,0.625,0.59,0.672,0.502,0.552,0.543,2.15,1.718,1.283,0.922,0.748,0.629,0.604,0.527,3.035,3.06,1.624,1.064,5.0,1.138,1.457
