Subject,Split,InVal,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-100,100-200,200-300,300-400,400-800,800-1200,1200+,Total,0-1 %,1-2 %,2-3 %,3-4 %,4-5 %,5-6 %,6-7 %,7-8 %,8-9 %,9-10 %,10-15 %,15-20 %,20-25 %,25-30 %,30-35 %,35-40 %,40-45 %,45-50 %,50-100 %,100-200 %,200-300 %,300-400 %,400-800 %,800-1200 %,1200+ %
1,Train,False,3408,6558,6718,5624,4448,3278,2442,1984,1506,1292,4014,2446,1678,1410,874,714,484,406,2750,2754,1346,726,2922,16,0,59798,5.699,10.967,11.234,9.405,7.438,5.482,4.084,3.318,2.518,2.161,6.713,4.09,2.806,2.358,1.462,1.194,0.809,0.679,4.599,4.606,2.251,1.214,4.886,0.027,0.0
2,Train,False,4304,8114,7622,6160,4474,3180,2386,1742,1382,1074,3214,1992,1534,1340,806,616,468,472,2724,2554,1044,596,2326,0,0,60124,7.159,13.495,12.677,10.245,7.441,5.289,3.968,2.897,2.299,1.786,5.346,3.313,2.551,2.229,1.341,1.025,0.778,0.785,4.531,4.248,1.736,0.991,3.869,0.0,0.0
3,Train,False,3708,7068,6712,5282,3784,2928,2200,1640,1440,1196,4044,2568,1962,1270,948,760,530,512,3284,2988,1328,722,3834,304,176,61188,6.06,11.551,10.969,8.632,6.184,4.785,3.595,2.68,2.353,1.955,6.609,4.197,3.207,2.076,1.549,1.242,0.866,0.837,5.367,4.883,2.17,1.18,6.266,0.497,0.288
4,Train,False,4760,8412,7354,5660,3946,2896,2178,1718,1324,1082,3092,1540,1024,674,586,454,458,472,2914,2708,1450,934,3794,24,0,59454,8.006,14.149,12.369,9.52,6.637,4.871,3.663,2.89,2.227,1.82,5.201,2.59,1.722,1.134,0.986,0.764,0.77,0.794,4.901,4.555,2.439,1.571,6.381,0.04,0.0
5,Train,False,4064,7246,6778,5244,3830,2798,2056,1750,1394,1110,3658,2186,1556,1426,1032,836,598,454,3022,2946,1526,988,2398,0,0,58896,6.9,12.303,11.508,8.904,6.503,4.751,3.491,2.971,2.367,1.885,6.211,3.712,2.642,2.421,1.752,1.419,1.015,0.771,5.131,5.002,2.591,1.678,4.072,0.0,0.0
6,Train,False,4536,8368,7534,5950,4408,3038,2186,1726,1338,1066,3488,2050,1600,1478,1092,780,486,372,2146,1930,1096,564,4018,176,0,61426,7.384,13.623,12.265,9.686,7.176,4.946,3.559,2.81,2.178,1.735,5.678,3.337,2.605,2.406,1.778,1.27,0.791,0.606,3.494,3.142,1.784,0.918,6.541,0.287,0.0
7,Train,False,4770,8330,7352,5536,3906,3060,2390,1744,1412,1158,3500,2126,1556,1214,936,610,510,398,2356,2288,972,676,2506,16,0,59322,8.041,14.042,12.393,9.332,6.584,5.158,4.029,2.94,2.38,1.952,5.9,3.584,2.623,2.046,1.578,1.028,0.86,0.671,3.972,3.857,1.639,1.14,4.224,0.027,0.0
8,Train,False,4690,8046,7584,6082,4636,3180,2424,1888,1356,1044,3306,2072,1668,1044,624,422,376,306,2164,2026,1102,882,2560,0,0,59482,7.885,13.527,12.75,10.225,7.794,5.346,4.075,3.174,2.28,1.755,5.558,3.483,2.804,1.755,1.049,0.709,0.632,0.514,3.638,3.406,1.853,1.483,4.304,0.0,0.0
9,Train,False,4748,8814,8268,6086,4412,3250,2342,1802,1414,1082,3220,2098,1530,842,528,368,336,330,1872,2234,1116,636,3576,152,0,61056,7.776,14.436,13.542,9.968,7.226,5.323,3.836,2.951,2.316,1.772,5.274,3.436,2.506,1.379,0.865,0.603,0.55,0.54,3.066,3.659,1.828,1.042,5.857,0.249,0.0
10,Train,False,4788,8478,7246,5080,3290,2512,1996,1540,1246,1084,4288,3162,2330,1624,1130,804,570,414,2576,2468,796,546,3150,32,0,61150,7.83,13.864,11.85,8.307,5.38,4.108,3.264,2.518,2.038,1.773,7.012,5.171,3.81,2.656,1.848,1.315,0.932,0.677,4.213,4.036,1.302,0.893,5.151,0.052,0.0
