Subject,Fixation,Saccade,Smooth,Reset,Total
1,87,10,97,9,203
2,124,0,110,1,235
3,82,3,79,3,167
4,88,10,87,11,196
5,75,12,70,9,166
6,90,6,96,4,196
7,90,9,99,3,201
8,93,6,95,5,199
9,92,4,107,0,203
10,89,5,81,15,190
11,80,12,108,5,205
12,86,9,98,15,208
13,86,13,98,13,210
14,85,11,94,5,195
15,85,8,74,15,182
16,68,18,87,6,179
17,67,18,62,25,172
18,41,3,64,6,114
19,93,5,100,4,202
20,66,15,84,18,183
21,46,6,39,4,95
22,88,3,96,10,197
23,92,2,96,4,194
24,66,2,85,0,153
25,84,12,95,7,198
26,72,19,87,1,179
27,85,9,89,6,189
28,90,7,93,6,196
29,67,15,78,13,173
30,98,0,100,3,201
31,84,10,94,5,193
32,59,11,56,20,146
33,87,14,96,17,214
34,82,14,91,9,196
35,82,16,105,11,214
36,84,14,104,8,210
37,74,7,85,10,176
38,74,16,89,10,189
39,54,13,66,7,140
40,90,4,106,3,203
41,81,12,97,8,198
42,81,10,90,13,194
43,92,1,93,5,191
44,84,16,100,7,207
45,66,8,101,5,180
46,71,7,77,8,163
47,90,5,102,10,207
48,78,0,101,1,180
All,3868,430,4301,383,8982
