Subject,Split,InVal,Fixation,Saccade,Smooth,Blink,Total,Fixation_%,Saccade_%,Smooth_%,Blink_%
1,Train,False,19578,307,10602,493,30981,63.19,0.99,34.22,1.59
2,Train,False,19428,246,11148,523,31345,61.98,0.78,35.57,1.67
3,Train,False,18831,453,10565,1583,31432,59.91,1.44,33.61,5.04
4,Train,False,19245,407,10441,446,30538,63.02,1.33,34.19,1.46
5,Train,False,19483,236,10509,501,30728,63.4,0.77,34.2,1.63
6,Train,False,19742,482,10445,449,31118,63.44,1.55,33.57,1.44
7,Train,False,19673,266,10553,202,30695,64.09,0.87,34.38,0.66
8,Train,False,19387,233,10106,1478,31204,62.13,0.75,32.39,4.74
9,Train,False,19414,419,11110,209,31151,62.32,1.34,35.66,0.67
10,Train,False,19319,347,10970,835,31471,61.39,1.1,34.86,2.65
11,Train,False,19152,377,11179,805,31512,60.78,1.2,35.47,2.55
12,Train,False,19190,413,10987,391,30981,61.94,1.33,35.46,1.26
13,Train,False,19374,384,11052,248,31059,62.38,1.24,35.58,0.8
14,Train,False,19227,306,11131,906,31570,60.9,0.97,35.26,2.87
15,Train,False,19106,515,10881,686,31188,61.26,1.65,34.89,2.2
16,Train,False,19233,178,10233,788,30432,63.2,0.59,33.62,2.59
17,Train,False,18597,350,9890,2306,31143,59.71,1.12,31.76,7.4
18,Train,False,19878,60,10352,477,30768,64.61,0.2,33.65,1.55
19,Train,False,19898,224,11111,273,31506,63.16,0.71,35.27,0.87
20,Train,False,18030,541,10632,1726,30929,58.3,1.75,34.37,5.58
21,Train,False,19605,64,11157,303,31129,62.98,0.21,35.84,0.97
22,Train,False,19485,356,11043,173,31057,62.74,1.15,35.56,0.56
23,Train,False,19545,197,10519,393,30654,63.76,0.64,34.32,1.28
24,Train,False,19688,297,10497,830,31312,62.88,0.95,33.52,2.65
25,Train,False,19530,438,10354,491,30813,63.38,1.42,33.6,1.59
26,Train,False,18893,504,10190,1230,30817,61.31,1.63,33.07,3.99
27,Train,False,19340,477,10457,423,30697,63.0,1.56,34.06,1.38
28,Train,False,19420,372,10376,487,30655,63.35,1.21,33.85,1.59
29,Train,False,18310,495,10005,1761,30571,59.89,1.62,32.73,5.76
30,Train,False,19157,507,10435,751,30850,62.1,1.64,33.83,2.43
31,Train,False,19363,268,11025,337,30993,62.47,0.87,35.57,1.09
32,Train,False,19339,94,10664,1114,31211,61.96,0.3,34.17,3.57
33,Train,False,19335,614,10674,219,30842,62.69,1.99,34.61,0.71
34,Train,False,19112,680,10568,548,30908,61.84,2.2,34.19,1.77
35,Train,False,19095,579,11064,822,31561,60.5,1.84,35.06,2.6
36,Train,False,19484,387,11193,201,31264,62.32,1.24,35.8,0.64
37,Test,True,19645,275,11036,281,31237,62.89,0.88,35.33,0.9
38,Test,False,19159,238,10366,791,30554,62.71,0.78,33.93,2.59
39,Test,False,19752,95,10528,122,30497,64.77,0.31,34.52,0.4
40,Test,True,19603,154,11000,664,31421,62.39,0.49,35.01,2.11
41,Test,False,18992,665,11028,647,31332,60.62,2.12,35.2,2.06
42,Test,False,18495,353,10892,1527,31267,59.15,1.13,34.83,4.88
43,Test,False,19139,438,11163,533,31273,61.2,1.4,35.69,1.7
44,Test,False,19598,160,11010,217,30985,63.25,0.52,35.53,0.7
45,Test,True,19097,355,11155,633,31240,61.13,1.14,35.71,2.03
46,Test,False,19608,103,11000,607,31318,62.61,0.33,35.12,1.94
47,Test,False,19464,285,10967,372,31088,62.61,0.92,35.28,1.2
48,Test,True,19300,148,10923,879,31251,61.76,0.47,34.95,2.81
