Subject,Split,InVal,Fixation,Saccade,Smooth,Blink,Total,Fixation_%,Saccade_%,Smooth_%,Blink_%
1,Train,False,289054,11363,139208,7369,446994,64.67,2.54,31.14,1.65
2,Train,False,183570,4385,88052,4664,280671,65.4,1.56,31.37,1.66
3,Train,False,189309,6635,96348,15541,307833,61.5,2.16,31.3,5.05
4,Train,False,260908,11742,128291,5932,406873,64.13,2.89,31.53,1.46
5,Train,False,241973,6986,115884,5962,370805,65.26,1.88,31.25,1.61
6,Train,False,160584,4515,94484,3713,263296,60.99,1.71,35.89,1.41
7,Train,False,130001,2717,72985,1359,207062,62.78,1.31,35.25,0.66
8,Train,False,112536,2274,66113,9008,189931,59.25,1.2,34.81,4.74
9,Train,False,231864,7714,117262,2470,359310,64.53,2.15,32.64,0.69
10,Train,False,206474,7004,104823,8566,326867,63.17,2.14,32.07,2.62
11,Train,False,203669,6622,105829,8508,324628,62.74,2.04,32.6,2.62
12,Train,False,158174,4764,88358,3235,254531,62.14,1.87,34.71,1.27
13,Train,False,178810,5429,101693,2378,288310,62.02,1.88,35.27,0.82
14,Train,False,184224,5559,104645,8593,303021,60.8,1.83,34.53,2.84
15,Train,False,120876,2783,62060,4074,189793,63.69,1.47,32.7,2.15
16,Train,False,179556,4108,82452,6861,272977,65.78,1.5,30.2,2.51
17,Train,False,128322,3214,62338,15379,209253,61.32,1.54,29.79,7.35
18,Train,False,126951,1893,67619,3017,199480,63.64,0.95,33.9,1.51
19,Train,False,187161,4315,89434,2395,283305,66.06,1.52,31.57,0.85
20,Train,False,222476,12256,113486,21116,369334,60.24,3.32,30.73,5.72
21,Train,False,149637,2318,73574,2132,227661,65.73,1.02,32.32,0.94
22,Train,False,131044,3120,80911,1222,216297,60.59,1.44,37.41,0.56
23,Train,False,104377,2026,57318,2165,165886,62.92,1.22,34.55,1.31
24,Train,False,262685,10028,128426,11048,412187,63.73,2.43,31.16,2.68
25,Train,False,177892,5472,94108,4483,281955,63.09,1.94,33.38,1.59
26,Train,False,224129,10233,97853,13793,346008,64.78,2.96,28.28,3.99
27,Train,False,191867,6334,98900,4182,301283,63.68,2.1,32.83,1.39
28,Train,False,181789,5328,85217,4376,276710,65.7,1.93,30.8,1.58
29,Train,False,156808,6148,87809,15314,266079,58.93,2.31,33.0,5.76
30,Train,False,256449,11635,132612,10014,410710,62.44,2.83,32.29,2.44
31,Train,False,260809,7548,132652,4341,405350,64.34,1.86,32.73,1.07
32,Train,False,147613,3031,76935,8142,235721,62.62,1.29,32.64,3.45
33,Train,False,224551,11259,130660,2550,369020,60.85,3.05,35.41,0.69
34,Train,False,275281,14927,157144,8173,455525,60.43,3.28,34.5,1.79
35,Train,False,130609,3988,75963,5431,215991,60.47,1.85,35.17,2.51
36,Train,False,200098,6356,103891,1995,312340,64.06,2.03,33.26,0.64
37,Test,True,186448,4923,100385,2655,294411,63.33,1.67,34.1,0.9
38,Test,False,146695,3833,83856,6198,240582,60.98,1.59,34.86,2.58
39,Test,False,203516,5176,105255,1250,315197,64.57,1.64,33.39,0.4
40,Test,True,130638,1935,84101,4509,221183,59.06,0.87,38.02,2.04
41,Test,False,175571,8151,90846,5783,280351,62.63,2.91,32.4,2.06
42,Test,False,138815,4111,80869,11444,235239,59.01,1.75,34.38,4.86
43,Test,False,212694,7558,108615,5497,334364,63.61,2.26,32.48,1.64
44,Test,False,202742,4278,95171,2109,304300,66.63,1.41,31.28,0.69
45,Test,True,183296,5782,103844,6018,298940,61.32,1.93,34.74,2.01
46,Test,False,218030,4602,110027,6574,339233,64.27,1.36,32.43,1.94
47,Test,False,184667,4894,102787,3463,295811,62.43,1.65,34.75,1.17
48,Test,True,207641,5309,105762,9009,327721,63.36,1.62,32.27,2.75
