Subject,Split,InVal,frames,N_Search,N_Track,N_total,Search_%,Track_%,track_deg%@0.5,needed_refresh%@0.5
1,Train,False,30981,30981,216867,247848,12.5,87.5,0.12,0.53
2,Train,False,31345,31345,219415,250760,12.5,87.5,0.03,0.18
3,Train,False,31432,31432,220024,251456,12.5,87.5,0.17,0.67
4,Train,False,30538,30538,213766,244304,12.5,87.5,0.11,0.57
5,Train,False,30728,30728,215096,245824,12.5,87.5,0.03,0.21
6,Train,False,31118,31118,217826,248944,12.5,87.5,0.11,0.53
7,Train,False,30695,30695,214865,245560,12.5,87.5,0.03,0.16
8,Train,False,31204,31204,218428,249632,12.5,87.5,0.01,0.07
9,Train,False,31151,31151,218057,249208,12.5,87.5,0.16,0.71
10,Train,False,31471,31471,220297,251768,12.5,87.5,0.11,0.52
11,Train,False,31512,31512,220584,252096,12.5,87.5,0.14,0.66
12,Train,False,30981,30981,216867,247848,12.5,87.5,0.08,0.32
13,Train,False,31059,31059,217413,248472,12.5,87.5,0.1,0.51
14,Train,False,31570,31570,220990,252560,12.5,87.5,0.04,0.24
15,Train,False,31188,31188,218316,249504,12.5,87.5,0.02,0.1
16,Train,False,30432,30432,213024,243456,12.5,87.5,0.02,0.11
17,Train,False,31143,31143,218001,249144,12.5,87.5,0.03,0.11
18,Train,False,30768,30768,215376,246144,12.5,87.5,0.02,0.04
19,Train,False,31506,31506,220542,252048,12.5,87.5,0.03,0.18
20,Train,False,30929,30929,216503,247432,12.5,87.5,0.27,1.12
21,Train,False,31129,31129,217903,249032,12.5,87.5,0.03,0.04
22,Train,False,31057,31057,217399,248456,12.5,87.5,0.06,0.32
23,Train,False,30654,30654,214578,245232,12.5,87.5,0.02,0.05
24,Train,False,31312,31312,219184,250496,12.5,87.5,0.15,0.64
25,Train,False,30813,30813,215691,246504,12.5,87.5,0.13,0.61
26,Train,False,30817,30817,215719,246536,12.5,87.5,0.18,0.84
27,Train,False,30697,30697,214879,245576,12.5,87.5,0.09,0.5
28,Train,False,30655,30655,214585,245240,12.5,87.5,0.06,0.3
29,Train,False,30571,30571,213997,244568,12.5,87.5,0.28,0.73
30,Train,False,30850,30850,215950,246800,12.5,87.5,0.37,1.33
31,Train,False,30993,30993,216951,247944,12.5,87.5,0.06,0.34
32,Train,False,31211,31211,218477,249688,12.5,87.5,0.01,0.04
33,Train,False,30842,30842,215894,246736,12.5,87.5,0.27,1.17
34,Train,False,30908,30908,216356,247264,12.5,87.5,0.41,1.56
35,Train,False,31561,31561,220927,252488,12.5,87.5,0.06,0.32
36,Train,False,31264,31264,218848,250112,12.5,87.5,0.05,0.3
37,Test,True,31237,31237,218659,249896,12.5,87.5,0.05,0.29
38,Test,False,30554,30554,213878,244432,12.5,87.5,0.03,0.17
39,Test,False,30497,30497,213479,243976,12.5,87.5,0.01,0.06
40,Test,True,31421,31421,219947,251368,12.5,87.5,0.02,0.06
41,Test,False,31332,31332,219324,250656,12.5,87.5,0.18,0.86
42,Test,False,31267,31267,218869,250136,12.5,87.5,0.07,0.29
43,Test,False,31273,31273,218911,250184,12.5,87.5,0.21,0.86
44,Test,False,30985,30985,216895,247880,12.5,87.5,0.02,0.11
45,Test,True,31240,31240,218680,249920,12.5,87.5,0.07,0.42
46,Test,False,31318,31318,219226,250544,12.5,87.5,0.01,0.05
47,Test,False,31088,31088,217616,248704,12.5,87.5,0.08,0.44
48,Test,True,31251,31251,218757,250008,12.5,87.5,0.02,0.1
