Subject,Split,InVal,Track_inv,Search_inv,Total,Track_pct,Search_pct,Track_to_Search
1,Train,False,30487,493,30980,98.41,1.59,61.84
2,Train,False,30822,523,31345,98.33,1.67,58.93
3,Train,False,29848,1583,31431,94.96,5.04,18.86
4,Train,False,30092,446,30538,98.54,1.46,67.47
5,Train,False,30227,501,30728,98.37,1.63,60.33
6,Train,False,30669,449,31118,98.56,1.44,68.31
7,Train,False,30493,202,30695,99.34,0.66,150.96
8,Train,False,29726,1478,31204,95.26,4.74,20.11
9,Train,False,30942,209,31151,99.33,0.67,148.05
10,Train,False,30636,835,31471,97.35,2.65,36.69
11,Train,False,30707,805,31512,97.45,2.55,38.15
12,Train,False,30587,391,30978,98.74,1.26,78.23
13,Train,False,30811,248,31059,99.2,0.8,124.24
14,Train,False,30664,906,31570,97.13,2.87,33.85
15,Train,False,30501,686,31187,97.8,2.2,44.46
16,Train,False,29644,788,30432,97.41,2.59,37.62
17,Train,False,28837,2306,31143,92.6,7.4,12.51
18,Train,False,30291,477,30768,98.45,1.55,63.5
19,Train,False,31233,273,31506,99.13,0.87,114.41
20,Train,False,29201,1726,30927,94.42,5.58,16.92
21,Train,False,30826,303,31129,99.03,0.97,101.74
22,Train,False,30883,173,31056,99.44,0.56,178.51
23,Train,False,30260,393,30653,98.72,1.28,77.0
24,Train,False,30482,830,31312,97.35,2.65,36.73
25,Train,False,30322,491,30813,98.41,1.59,61.76
26,Train,False,29587,1230,30817,96.01,3.99,24.05
27,Train,False,30272,423,30695,98.62,1.38,71.57
28,Train,False,30168,487,30655,98.41,1.59,61.95
29,Train,False,28809,1761,30570,94.24,5.76,16.36
30,Train,False,30099,751,30850,97.57,2.43,40.08
31,Train,False,30656,337,30993,98.91,1.09,90.97
32,Train,False,30091,1114,31205,96.43,3.57,27.01
33,Train,False,30620,219,30839,99.29,0.71,139.82
34,Train,False,30359,548,30907,98.23,1.77,55.4
35,Train,False,30736,822,31558,97.4,2.6,37.39
36,Train,False,31061,201,31262,99.36,0.64,154.53
37,Test,True,30953,281,31234,99.1,0.9,110.15
38,Test,False,29760,791,30551,97.41,2.59,37.62
39,Test,False,30372,122,30494,99.6,0.4,248.95
40,Test,True,30757,664,31421,97.89,2.11,46.32
41,Test,False,30684,647,31331,97.93,2.07,47.43
42,Test,False,29739,1527,31266,95.12,4.88,19.48
43,Test,False,30738,533,31271,98.3,1.7,57.67
44,Test,False,30766,217,30983,99.3,0.7,141.78
45,Test,True,30607,633,31240,97.97,2.03,48.35
46,Test,False,30709,607,31316,98.06,1.94,50.59
47,Test,False,30715,372,31087,98.8,1.2,82.57
48,Test,True,30371,879,31250,97.19,2.81,34.55
