Subj,NF,NE,IS,IT,NEV,RS,IIS,pS95,pS99,IIT,pT95,pT99
37,30953,44683618,29316,247624,247624,10.59,0.689,0.914,0.96,0.377,1.254,1.345
38,29760,52668591,28317,238080,238080,10.63,0.708,0.892,0.941,0.366,1.252,1.341
39,30372,46547696,28644,242976,242976,10.55,0.678,0.905,0.957,0.395,1.27,1.365
40,30757,50344861,29310,246056,246056,10.64,0.711,0.908,0.957,0.392,1.266,1.354
41,30684,52573384,29276,245472,245472,10.66,0.685,0.908,0.954,0.368,1.257,1.351
42,29739,85043266,28391,237912,237912,10.66,0.679,0.906,0.955,0.386,1.272,1.366
43,30738,47844546,29154,245904,245904,10.6,0.672,0.917,0.973,0.379,1.27,1.369
44,30766,51619213,29067,246128,246128,10.56,0.71,0.892,0.938,0.386,1.248,1.331
45,30607,63716012,29081,244856,244856,10.62,0.7,0.908,0.959,0.367,1.274,1.365
46,30709,53021018,29292,245672,245672,10.65,0.719,0.892,0.935,0.381,1.278,1.362
47,30715,55195586,29250,245720,245720,10.64,0.718,0.886,0.931,0.384,1.246,1.33
48,30371,55674402,29056,242968,242968,10.68,0.705,0.893,0.94,0.381,1.265,1.351
