Subj,NF,NE,IS,IT,NEV,RS,RT,IIS,pS95,pS99,IIT,pT95,pT99,qS,qT
37,30953,44683618,29316,265095,265095,9.96,90.04,0.689,5.093,55.19,0.377,70.981,102.059,1.693,17.097
38,29760,52668591,28317,212265,212265,11.77,88.23,0.708,0.97,32.444,0.366,53.509,96.33,0.943,11.221
39,30372,46547696,28644,286553,286553,9.09,90.91,0.678,7.62,57.664,0.395,72.706,105.488,1.905,16.121
40,30757,50344861,29310,191873,191873,13.25,86.75,0.711,0.935,15.662,0.392,31.326,54.268,0.4,5.719
41,30684,52573384,29276,251075,251075,10.44,89.56,0.685,3.849,38.908,0.368,53.889,84.868,1.218,12.781
42,29739,85043266,28391,206848,206848,12.07,87.93,0.679,0.974,26.031,0.386,41.363,71.912,0.707,8.857
43,30738,47844546,29154,305210,305210,8.72,91.28,0.672,16.569,78.012,0.379,91.578,132.014,2.878,23.591
44,30766,51619213,29067,275233,275233,9.55,90.45,0.71,4.535,47.058,0.386,63.579,108.255,1.501,14.115
45,30607,63716012,29081,269859,269859,9.73,90.27,0.7,7.119,61.366,0.367,82.846,132.524,2.004,18.843
46,30709,53021018,29292,309941,309941,8.63,91.37,0.719,12.685,69.386,0.381,81.314,124.618,2.453,19.478
47,30715,55195586,29250,266561,266561,9.89,90.11,0.718,9.584,67.818,0.384,92.162,143.682,2.277,21.975
48,30371,55674402,29056,298665,298665,8.87,91.13,0.705,9.058,59.277,0.381,74.694,124.032,2.029,16.945
