split,W_ms,max_staleness_ms,N_total,Search_tau0.3,Search%_tau0.3,Search_tau0.5,Search%_tau0.5,Search_tau0.7,Search%_tau0.7,reduction x (tau0.5 vs W40)
Train,40,40,8416608,1052076,12.5,1052076,12.5,1052076,12.5,1.0
Train,80,80,8416608,526664,6.26,533761,6.34,548721,6.52,1.97
Train,120,120,8416608,351545,4.18,360869,4.29,380825,4.52,2.92
Train,200,200,8416608,211418,2.51,222684,2.65,246635,2.93,4.72
Train,400,400,8416608,106333,1.26,119076,1.41,145998,1.73,8.84
Train,1000,1000,8416608,43272,0.51,56539,0.67,84806,1.01,18.61
Train,inf,inf,8416608,1414,0.02,15545,0.18,45416,0.54,67.68
Val,40,40,943472,117934,12.5,117934,12.5,117934,12.5,1.0
Val,80,80,943472,58994,6.25,59526,6.31,61203,6.49,1.98
Val,120,120,943472,39347,4.17,40133,4.25,42248,4.48,2.94
Val,200,200,943472,23623,2.5,24547,2.6,27086,2.87,4.8
Val,400,400,943472,11836,1.25,12849,1.36,15720,1.67,9.18
Val,1000,1000,943472,4764,0.5,5852,0.62,8889,0.94,20.15
Val,inf,inf,943472,65,0.01,1208,0.13,4420,0.47,97.63
Test,40,40,2812728,351591,12.5,351591,12.5,351591,12.5,1.0
Test,80,80,2812728,175958,6.26,177772,6.32,182879,6.5,1.98
Test,120,120,2812728,117429,4.17,119887,4.26,126493,4.5,2.93
Test,200,200,2812728,70571,2.51,73591,2.62,81557,2.9,4.78
Test,400,400,2812728,35437,1.26,38786,1.38,47791,1.7,9.06
Test,1000,1000,2812728,14366,0.51,17944,0.64,27466,0.98,19.59
Test,inf,inf,2812728,363,0.01,4095,0.15,14111,0.5,85.86
