Subject,Split,InVal,n,mean,p25,p50,p75,p90,p95,p99,frac_gt493
1,Train,False,12000,361.1,47.6,197.9,455.8,828.0,1156.7,2152.0,0.227
2,Train,False,12000,290.2,33.8,154.7,371.1,658.7,888.8,1612.2,0.167
3,Train,False,12000,311.6,38.3,163.0,396.2,727.4,982.5,1910.0,0.189
4,Train,False,12000,397.0,77.6,247.1,513.2,853.9,1148.1,2278.1,0.263
5,Train,False,12000,307.1,45.6,185.2,407.7,687.3,895.8,1738.4,0.189
6,Train,False,12000,329.2,29.8,166.5,423.1,729.6,956.8,1953.5,0.206
7,Train,False,12000,273.6,23.9,148.0,355.2,606.9,796.3,1920.1,0.15
8,Train,False,12000,274.6,23.8,147.4,340.7,541.4,716.7,2914.0,0.125
9,Train,False,12000,367.7,57.1,218.2,473.4,849.2,1133.5,2158.8,0.239
10,Train,False,12000,336.6,31.9,166.4,418.1,795.2,1106.1,2219.1,0.208
11,Train,False,12000,322.9,31.7,171.1,421.7,759.8,1022.2,1843.1,0.207
12,Train,False,12000,327.9,38.2,180.3,402.3,699.9,949.0,2494.5,0.19
13,Train,False,12000,347.4,54.7,209.8,455.9,765.5,1010.4,2030.5,0.224
14,Train,False,12000,320.3,36.7,174.1,417.2,709.9,943.3,2019.7,0.198
15,Train,False,12000,301.7,18.1,118.4,315.2,551.0,768.8,3588.4,0.127
16,Train,False,12000,294.0,33.0,165.3,383.8,657.4,866.9,1890.8,0.176
17,Train,False,12000,247.0,17.4,107.2,283.9,506.3,690.4,2366.9,0.107
18,Train,False,12000,251.0,26.4,133.9,311.0,538.8,715.4,2038.9,0.124
19,Train,False,12000,301.5,43.0,184.9,394.1,642.9,843.5,2257.5,0.172
20,Train,False,12000,422.2,74.1,260.8,544.8,919.2,1209.2,2368.0,0.285
21,Train,False,12000,254.7,25.7,134.3,322.6,578.1,789.5,1846.6,0.137
22,Train,False,12000,274.4,21.0,134.4,366.9,631.4,846.3,1682.3,0.165
23,Train,False,12000,250.6,18.2,119.0,293.8,496.8,678.8,2920.6,0.102
24,Train,False,12000,460.6,85.1,267.9,579.1,1040.8,1440.2,2853.7,0.301
25,Train,False,12000,374.3,33.1,181.0,465.7,862.1,1184.8,2390.5,0.236
26,Train,False,12000,390.6,55.8,230.8,517.5,889.5,1182.7,2318.2,0.266
27,Train,False,12000,368.8,55.8,224.9,472.2,787.9,1016.2,2417.3,0.235
28,Train,False,12000,344.9,53.3,206.1,445.9,747.7,983.2,2272.2,0.217
29,Train,False,12000,382.3,37.0,193.0,466.5,859.6,1196.9,2422.5,0.234
30,Train,False,12000,496.1,74.3,277.5,637.7,1135.4,1548.1,2923.3,0.33
31,Train,False,12000,354.7,63.4,207.3,443.2,781.7,1078.8,2195.4,0.216
32,Train,False,12000,222.4,21.1,104.2,289.0,524.6,702.2,1744.8,0.114
33,Train,False,12000,506.2,94.3,307.4,662.1,1125.2,1512.9,2904.0,0.35
34,Train,False,12000,536.9,90.3,297.6,671.5,1206.5,1651.8,3225.1,0.341
35,Train,False,12000,319.5,24.8,159.2,397.8,675.8,893.8,2651.8,0.187
36,Train,False,12000,342.6,57.2,206.7,442.0,734.3,966.4,2376.9,0.211
37,Test,True,12000,330.7,39.0,181.2,414.9,724.3,962.9,2347.8,0.199
38,Test,False,12000,304.3,29.0,163.3,392.4,662.7,886.0,2457.4,0.179
39,Test,False,12000,288.7,33.0,145.6,358.0,641.1,874.7,2056.0,0.162
40,Test,True,12000,212.6,15.3,84.4,272.7,500.1,669.1,1398.2,0.104
41,Test,False,12000,421.8,66.2,255.6,530.8,873.0,1152.4,2852.4,0.278
42,Test,False,12000,301.6,38.5,189.4,399.9,660.6,869.9,1949.4,0.178
43,Test,False,12000,402.3,61.6,226.2,503.1,909.8,1244.3,2516.6,0.256
44,Test,False,12000,273.7,42.9,172.3,363.6,594.3,778.7,1601.3,0.15
45,Test,True,12000,331.8,38.9,183.7,416.3,734.5,967.1,2034.8,0.199
46,Test,False,12000,276.6,41.8,164.1,360.3,611.0,827.1,1646.1,0.155
47,Test,False,12000,354.6,64.7,227.6,463.8,766.4,1011.0,1919.3,0.229
48,Test,True,12000,294.6,52.8,181.1,380.7,650.5,866.9,1801.9,0.167
