Subject,Split,Motion,N,Mean,Median,P95,P99,IoU_Mean,IoU_Median,IoU_Note
37,Test,Fixation,19583,1.2646334200942835,0.6714582443237305,4.3875551700592,11.165450553894049,0.5461813616427313,0.5844155844155844,center_proxy_gt_axes_angle
37,Test,Saccade,275,1.014913895915855,0.5823483467102051,2.7771749019622805,8.836878356933592,0.5753006664339054,0.6103896103896104,center_proxy_gt_axes_angle
37,Test,Smooth,10931,0.9481380154920287,0.5685006976127625,2.8571510314941406,7.556187295913719,0.5795817383473335,0.6060606060606061,center_proxy_gt_axes_angle
38,Test,Fixation,18725,1.5831725194171886,0.7709754109382629,6.282346248626707,13.768806457519453,0.50414171920198,0.5254237288135594,center_proxy_gt_axes_angle
38,Test,Saccade,214,0.9472989875509917,0.5779547989368439,2.435132873058318,8.606412096023567,0.5743977398229605,0.5849056603773585,center_proxy_gt_axes_angle
38,Test,Smooth,10167,1.1237028923174754,0.6488611698150635,3.480721473693841,10.145326919555664,0.5554535309987931,0.5740740740740741,center_proxy_gt_axes_angle
39,Test,Fixation,19695,1.2432829266127723,0.8981965184211731,3.1472284555435177,6.642874088287357,0.5631149529425047,0.5873015873015873,center_proxy_gt_axes_angle
39,Test,Saccade,95,1.2593274040441764,0.9637040495872498,3.405884146690368,5.327242317199711,0.5683654207222708,0.5970149253731343,center_proxy_gt_axes_angle
39,Test,Smooth,10486,1.09247687089274,0.7960532307624817,2.7729583978652954,5.849290060997004,0.5759499668239676,0.594765651727677,center_proxy_gt_axes_angle
40,Test,Fixation,19106,1.7148995066271853,0.8064887523651123,7.3816609382629395,12.87572274208069,0.4443241330734844,0.5,center_proxy_gt_axes_angle
40,Test,Saccade,142,1.3091555497491023,0.7586076557636261,4.690809106826771,10.254454512596144,0.48008581761209085,0.5196153846153846,center_proxy_gt_axes_angle
40,Test,Smooth,10891,0.8850436958328034,0.5523346066474915,2.63061261177063,8.148957920074464,0.5253019308416053,0.5306122448979592,center_proxy_gt_axes_angle
41,Test,Fixation,18717,2.8777026952570357,0.9723548889160156,13.72899494171143,22.592198028564464,0.45570146113270726,0.5272727272727272,center_proxy_gt_axes_angle
41,Test,Saccade,656,2.7847719821403167,0.9212585985660553,13.340085983276367,24.75538597106942,0.45573290375551345,0.5263157894736842,center_proxy_gt_axes_angle
41,Test,Smooth,10840,1.9052871335712793,0.745362401008606,7.912737894058221,19.809941749572758,0.5141765161466718,0.5736499517839923,center_proxy_gt_axes_angle
42,Test,Fixation,17412,2.459166327954403,1.0178366899490356,11.317383337020875,18.34205955505371,0.4293330957230337,0.4791666666666667,center_proxy_gt_axes_angle
42,Test,Saccade,341,2.042783040531482,1.0175360441207886,8.268285751342773,13.727798843383848,0.4460650977445201,0.4838709677419355,center_proxy_gt_axes_angle
42,Test,Smooth,10571,1.6221125371009137,0.6944988369941711,6.491692543029785,16.130759048461883,0.4907938773779847,0.5185185185185185,center_proxy_gt_axes_angle
43,Test,Fixation,18740,1.5832495693219881,0.7221233248710632,5.807450699806212,13.416892013549813,0.528793884245674,0.5764705882352941,center_proxy_gt_axes_angle
43,Test,Saccade,434,1.5478425580870858,0.7209366858005524,5.248364281654345,13.205435171127323,0.5321524065352666,0.5707610146862483,center_proxy_gt_axes_angle
43,Test,Smooth,11034,1.1949570573369666,0.6050324738025665,4.448393654823304,11.376378936767578,0.556797579458959,0.5942028985507246,center_proxy_gt_axes_angle
44,Test,Fixation,19499,1.0414648149403134,0.5975384712219238,3.1604950666427603,10.040634613037135,0.5646720675896839,0.5740740740740741,center_proxy_gt_axes_angle
44,Test,Saccade,158,1.0593774988775766,0.6434087455272675,3.295869040489197,9.05454524993899,0.5649603947238058,0.5690883190883191,center_proxy_gt_axes_angle
44,Test,Smooth,10910,0.9943526495449538,0.6066228151321411,2.6535503268241847,9.82418565750122,0.5650785345570236,0.5714285714285714,center_proxy_gt_axes_angle
45,Test,Fixation,18764,1.4296322972545996,0.8832548558712006,4.166321206092831,11.9778777885437,0.5305631198749525,0.5636363636363636,center_proxy_gt_axes_angle
45,Test,Saccade,333,1.2568963597173448,0.8365328311920166,3.9514045715331965,7.725575637817384,0.5435814538759415,0.5675675675675675,center_proxy_gt_axes_angle
45,Test,Smooth,11035,1.1944199412208731,0.7645293474197388,3.5071275711059564,9.313955574035642,0.5538021709176667,0.5849056603773585,center_proxy_gt_axes_angle
46,Test,Fixation,19303,1.0725958528572754,0.669585108757019,3.0303426027297946,9.500634059905998,0.5666969056141621,0.5909090909090909,center_proxy_gt_axes_angle
46,Test,Saccade,100,0.7288907643407583,0.5978087484836578,1.603695565462112,2.510132765769962,0.6021371039748002,0.6063089915548932,center_proxy_gt_axes_angle
46,Test,Smooth,10841,0.7615372552594845,0.5565863847732544,1.8817157745361328,4.203702163696302,0.5951417012441084,0.6065573770491803,center_proxy_gt_axes_angle
47,Test,Fixation,19366,1.9517128265900416,0.6493363678455353,9.339930534362793,16.242759609222393,0.48827229962938323,0.5294117647058824,center_proxy_gt_axes_angle
47,Test,Saccade,283,1.7894270188856356,0.6125152111053467,10.270422077178942,15.274589366912844,0.49113965902256806,0.5357142857142857,center_proxy_gt_axes_angle
47,Test,Smooth,10947,1.5933454392494757,0.5788242816925049,6.693208742141714,15.43035791397079,0.5258891249670384,0.5714285714285714,center_proxy_gt_axes_angle
48,Test,Fixation,18865,1.3197092079541186,0.7069733142852783,4.353104877471921,12.012187271118169,0.5488913348636411,0.5866666666666667,center_proxy_gt_axes_angle
48,Test,Saccade,145,0.7453210337151741,0.5355020761489868,2.5832643032073963,3.0815869331359864,0.5893251807461285,0.6046511627906976,center_proxy_gt_axes_angle
48,Test,Smooth,10651,1.0467021893758428,0.6087719202041626,3.217501997947693,9.477672576904297,0.5720421096486179,0.6029411764705882,center_proxy_gt_axes_angle
