Subject,Split,Motion,N,Mean,Median,P95,P99,IoU_Mean,IoU_Median,IoU_Note
37,Test,Fixation,19583,0.5131682226098379,0.2501384913921356,1.7367801427841176,4.3700025081634575,0.6123713564066894,0.6333333333333333,center_proxy_gt_axes_angle
37,Test,Saccade,275,0.2876666698994284,0.2099658995866775,0.7586699247360231,1.564226608276367,0.6320149633277254,0.6447368421052632,center_proxy_gt_axes_angle
37,Test,Smooth,10937,0.3344450899290565,0.2161872833967209,0.9351536631584161,2.1801665019988965,0.627647140056815,0.6447368421052632,center_proxy_gt_axes_angle
38,Test,Fixation,18733,0.658419565493928,0.2899278402328491,2.2931429386138897,6.97699552536011,0.5942692336730182,0.6,center_proxy_gt_axes_angle
38,Test,Saccade,214,0.417480066375128,0.2332159802317619,1.0345150470733642,2.6895208775997212,0.6394413898737352,0.660865617433414,center_proxy_gt_axes_angle
38,Test,Smooth,10167,0.44443423130693627,0.2328931540250778,1.1714090943336486,4.98674612998963,0.6104551997729757,0.6363636363636364,center_proxy_gt_axes_angle
39,Test,Fixation,19697,0.4274860459406377,0.2788434326648712,1.1769998311996464,2.3660104465484633,0.6587374937197257,0.6703296703296703,center_proxy_gt_axes_angle
39,Test,Saccade,95,0.35853344100086315,0.2576626241207123,0.8999533355236051,1.6749860477447553,0.6744089189995857,0.6875,center_proxy_gt_axes_angle
39,Test,Smooth,10486,0.3337978438667179,0.2380241155624389,0.8541994094848633,1.7833002686500496,0.6693666676414416,0.6851851851851852,center_proxy_gt_axes_angle
40,Test,Fixation,19193,0.7199905087005221,0.2709267139434814,2.512197637557981,10.371623649597167,0.5627683796810794,0.5882352941176471,center_proxy_gt_axes_angle
40,Test,Saccade,144,0.4020113382397944,0.24152833223342896,1.4330702900886527,2.3231940770149215,0.5836913899981275,0.5882352941176471,center_proxy_gt_axes_angle
40,Test,Smooth,10910,0.29355199635931567,0.19419344514608375,0.6701244890689846,1.8604593586921685,0.6134197937864365,0.6,center_proxy_gt_axes_angle
41,Test,Fixation,18720,0.96158451742467,0.3151625692844391,4.309861850738519,14.00977543830873,0.5682372879339506,0.6081081081081081,center_proxy_gt_axes_angle
41,Test,Saccade,656,0.8332936458272587,0.2918378710746765,3.067729353904724,12.796884632110597,0.5700373412353418,0.6056618819776715,center_proxy_gt_axes_angle
41,Test,Smooth,10841,0.5395509469430115,0.2677761614322662,1.4615370035171509,5.620552158355725,0.5970804579509668,0.625,center_proxy_gt_axes_angle
42,Test,Fixation,17440,0.911047874899081,0.3584582358598709,2.86055301427841,13.739284582138064,0.5663266222007892,0.5740740740740741,center_proxy_gt_axes_angle
42,Test,Saccade,341,0.520309141468355,0.363639235496521,1.2860411405563354,2.310111379623417,0.5943274854927127,0.5882352941176471,center_proxy_gt_axes_angle
42,Test,Smooth,10575,0.43525711402054834,0.24345363676548,1.3069819927215527,2.982809309959417,0.6033203281618303,0.6,center_proxy_gt_axes_angle
43,Test,Fixation,18740,0.5651141897042823,0.2712274491786957,1.8939047276973717,5.481029973030095,0.6105598892979731,0.6266666666666667,center_proxy_gt_axes_angle
43,Test,Saccade,434,0.5087012765276748,0.2765941172838211,1.469529116153714,4.086249330043796,0.6136028878978196,0.6265863453815261,center_proxy_gt_axes_angle
43,Test,Smooth,11034,0.3896885556209896,0.23154944926500315,1.0178438246250152,3.1502360320091283,0.6205464386621646,0.6363636363636364,center_proxy_gt_axes_angle
44,Test,Fixation,19507,0.4237020965660685,0.2202348262071609,1.434087336063385,3.5437247991561867,0.6433874568794072,0.65,center_proxy_gt_axes_angle
44,Test,Saccade,158,0.4418369405372422,0.23962865024805063,1.224371558427811,1.936960083246236,0.6401411580528272,0.6363636363636364,center_proxy_gt_axes_angle
44,Test,Smooth,10915,0.39513810473930244,0.2162081152200698,1.111224424839019,3.7712936305999927,0.6408002617517674,0.6440677966101694,center_proxy_gt_axes_angle
45,Test,Fixation,18771,0.6356127252651423,0.3531200587749481,1.7269968390464783,5.769669532775839,0.6074735831919662,0.62,center_proxy_gt_axes_angle
45,Test,Saccade,334,0.4755872471570344,0.32496447861194605,1.224211341142654,2.3703243136405985,0.6328400783379505,0.6454453441295547,center_proxy_gt_axes_angle
45,Test,Smooth,11040,0.5337869246246925,0.310798704624176,1.497707456350326,3.3191264081001637,0.6271194261796361,0.6363636363636364,center_proxy_gt_axes_angle
46,Test,Fixation,19306,0.44280646824179815,0.2846078872680664,1.2242538630962372,2.565517628192902,0.620043415457594,0.6333333333333333,center_proxy_gt_axes_angle
46,Test,Saccade,100,0.30048043351620435,0.2149752080440521,1.1094925463199616,1.2138123750686667,0.6324584740702549,0.6559938524590163,center_proxy_gt_axes_angle
46,Test,Smooth,10841,0.3259482858244224,0.229697048664093,0.8946428894996643,1.5879654884338386,0.6316083686303372,0.6419753086419753,center_proxy_gt_axes_angle
47,Test,Fixation,19371,0.6971405692996929,0.2940509915351867,2.1620384454727173,8.34304389953599,0.5909947514384623,0.5964912280701754,center_proxy_gt_axes_angle
47,Test,Saccade,283,0.4699202763976352,0.2566148340702057,1.2989469766616821,2.52982385158539,0.5967288634826058,0.5897435897435898,center_proxy_gt_axes_angle
47,Test,Smooth,10947,0.5182384700769007,0.2570878565311432,1.5881683826446502,4.261329030990599,0.611631763078701,0.6417910447761194,center_proxy_gt_axes_angle
48,Test,Fixation,18868,0.588814162797331,0.25804103910923004,2.0757567763328515,6.276026778221115,0.6027587130863562,0.625,center_proxy_gt_axes_angle
48,Test,Saccade,145,0.2795566989558524,0.2033512890338897,0.8518126726150494,1.1116398239135743,0.6298205914283951,0.6428571428571429,center_proxy_gt_axes_angle
48,Test,Smooth,10655,0.4319878742829313,0.2348170727491378,1.1922446489334095,3.7951147603988216,0.6156037280338795,0.6296296296296297,center_proxy_gt_axes_angle
