user,eye,session,anchor_index,reason
user1,left,session_1_0_2,810,ambiguous_motion
user1,left,session_1_0_2,1010,ambiguous_motion
user1,left,session_1_0_2,1110,ambiguous_motion
user1,left,session_1_0_2,1210,ambiguous_motion
user1,left,session_1_0_2,1710,ambiguous_motion
user1,left,session_1_0_2,1910,ambiguous_motion
user1,left,session_1_0_2,2210,ambiguous_motion
user1,left,session_1_0_2,2310,ambiguous_motion
user1,left,session_1_0_2,2410,ambiguous_motion
user1,left,session_1_0_2,2510,ambiguous_motion
user1,left,session_2_0_1,1,window_truncated
user1,left,session_2_0_2,1,window_truncated
user1,right,session_1_0_2,1010,ambiguous_motion
user1,right,session_1_0_2,1110,ambiguous_motion
user1,right,session_1_0_2,1210,ambiguous_motion
user1,right,session_1_0_2,1710,ambiguous_motion
user1,right,session_1_0_2,2110,ambiguous_motion
user1,right,session_1_0_2,2210,ambiguous_motion
user1,right,session_1_0_2,2310,ambiguous_motion
user1,right,session_1_0_2,2510,ambiguous_motion
user1,right,session_2_0_2,1,window_truncated
user2,left,session_1_0_2,110,ambiguous_motion
user2,left,session_1_0_2,310,ambiguous_motion
user2,left,session_1_0_2,510,ambiguous_motion
user2,left,session_1_0_2,710,ambiguous_motion
user2,left,session_1_0_2,1110,ambiguous_motion
user2,left,session_1_0_2,1410,ambiguous_motion
user2,left,session_1_0_2,1710,ambiguous_motion
user2,left,session_1_0_2,1910,ambiguous_motion
user2,left,session_1_0_2,2010,ambiguous_motion
user2,left,session_1_0_2,2210,ambiguous_motion
user2,left,session_1_0_2,2410,ambiguous_motion
user2,left,session_1_0_2,2510,ambiguous_motion
user2,left,session_1_0_2,2610,ambiguous_motion
user2,left,session_1_0_2,2710,ambiguous_motion
user2,left,session_1_0_2,2810,ambiguous_motion
user2,right,session_1_0_2,110,ambiguous_motion
user2,right,session_1_0_2,310,ambiguous_motion
user2,right,session_1_0_2,1110,ambiguous_motion
user2,right,session_1_0_2,1710,ambiguous_motion
user2,right,session_1_0_2,1810,ambiguous_motion
user2,right,session_1_0_2,1910,ambiguous_motion
user2,right,session_1_0_2,2010,ambiguous_motion
user2,right,session_1_0_2,2310,ambiguous_motion
user2,right,session_1_0_2,2510,ambiguous_motion
user2,right,session_1_0_2,2610,ambiguous_motion
user2,right,session_1_0_2,2710,ambiguous_motion
user2,right,session_1_0_2,2810,ambiguous_motion
user2,right,session_2_0_2,2810,window_truncated
user3,left,session_1_0_2,110,ambiguous_motion
user3,left,session_1_0_2,310,ambiguous_motion
user3,left,session_1_0_2,1610,ambiguous_motion
user3,left,session_1_0_2,1810,ambiguous_motion
user3,left,session_1_0_2,1910,ambiguous_motion
user3,left,session_1_0_2,2010,ambiguous_motion
user3,left,session_1_0_2,2110,ambiguous_motion
user3,left,session_1_0_2,2510,ambiguous_motion
user3,right,session_1_0_2,110,ambiguous_motion
user3,right,session_1_0_2,710,ambiguous_motion
user3,right,session_1_0_2,2010,ambiguous_motion
user3,right,session_1_0_2,2110,ambiguous_motion
