key,motion,good,valid,cx,cy,r_equiv,area,score,gt_cx,gt_cy,gt_r,err,radius_ratio
fixation_user10_left_session_1_0_2_w001_a000110,fixation,1,1,187.224,128.507,19.436,1241.0,0.9999,186.0,128.0,19.737,1.325,0.985
fixation_user10_left_session_1_0_2_w011_a000310,fixation,1,1,196.73,235.624,6.452,138.0,0.7029,143.0,122.0,14.567,125.688,0.443
fixation_user10_left_session_1_0_2_w021_a000610,fixation,1,1,157.931,140.094,15.809,824.0,0.9385,158.0,141.0,17.757,0.909,0.89
fixation_user10_left_session_1_0_2_w031_a000710,fixation,1,1,142.501,142.942,3.998,63.0,0.665,152.0,139.0,16.068,10.285,0.249
fixation_user10_left_session_1_0_2_w041_a000910,fixation,1,1,185.823,127.636,17.436,1004.0,0.9998,185.0,129.0,17.606,1.593,0.99
fixation_user10_left_session_1_0_2_w051_a001010,fixation,1,1,209.663,123.812,18.53,1130.0,1.0,208.0,124.0,18.09,1.673,1.024
fixation_user10_left_session_1_0_2_w061_a001110,fixation,1,1,230.081,125.394,16.355,887.0,0.9998,230.0,126.0,17.906,0.612,0.913
fixation_user10_left_session_1_0_2_w071_a001510,fixation,1,1,198.767,223.255,2.258,15.0,0.5472,148.0,117.0,13.915,117.76,0.162
fixation_user10_left_session_1_0_2_w081_a001610,fixation,1,1,230.019,142.221,17.668,1029.0,0.9869,230.0,143.0,19.376,0.78,0.912
fixation_user10_left_session_1_0_2_w091_a001710,fixation,1,1,227.458,131.92,17.817,1046.0,0.9991,228.0,133.0,18.922,1.209,0.942
fixation_user10_left_session_1_0_2_w101_a001810,fixation,1,1,221.628,121.548,17.095,965.0,0.9952,222.0,122.0,18.197,0.585,0.939
fixation_user10_left_session_1_0_2_w111_a002010,fixation,1,1,203.754,107.683,14.822,731.0,0.9991,204.0,107.0,15.689,0.726,0.945
fixation_user10_left_session_1_0_2_w121_a002110,fixation,1,1,193.02,115.225,15.955,845.0,0.9995,193.0,115.0,16.961,0.226,0.941
fixation_user10_left_session_1_0_2_w131_a002210,fixation,1,1,184.757,127.719,19.509,1250.0,0.9968,184.0,130.0,18.929,2.404,1.031
fixation_user10_left_session_1_0_2_w141_a002410,fixation,1,1,177.259,143.521,24.153,1886.0,0.9985,170.0,146.0,19.531,7.67,1.237
fixation_user10_left_session_1_0_2_w151_a002510,fixation,1,1,167.212,140.778,19.448,1157.0,0.9905,163.0,142.0,17.589,4.386,1.106
fixation_user1_left_session_1_0_2_w000_a000010,fixation,1,1,167.965,138.455,19.021,1189.0,0.9998,168.0,138.0,20.046,0.457,0.949
fixation_user1_left_session_1_0_2_w010_a000110,fixation,1,1,167.523,139.503,19.951,1304.0,1.0,167.0,140.0,20.459,0.722,0.975
fixation_user1_left_session_1_0_2_w020_a000210,fixation,1,1,219.11,161.219,21.103,1453.0,1.0,219.0,162.0,21.221,0.789,0.994
fixation_user1_left_session_1_0_2_w030_a000310,fixation,1,0,,,,,0.5321,135.0,138.0,15.375,,
fixation_user1_left_session_1_0_2_w040_a000910,fixation,1,1,140.019,150.08,14.478,698.0,0.9852,140.0,150.0,16.734,0.082,0.865
fixation_user1_left_session_1_0_2_w050_a001110,fixation,1,1,150.352,236.369,2.698,30.0,0.6301,136.0,144.0,16.42,93.477,0.164
fixation_user1_left_session_1_0_2_w060_a001210,fixation,1,1,154.167,224.645,2.427,24.0,0.5995,139.0,142.0,15.153,84.025,0.16
fixation_user1_left_session_1_0_2_w070_a001710,fixation,1,1,210.024,136.208,16.109,861.0,1.0,210.0,135.0,17.022,1.208,0.946
fixation_user1_left_session_1_0_2_w080_a001910,fixation,1,1,185.735,128.004,15.255,773.0,1.0,185.0,128.0,15.905,0.735,0.959
fixation_user1_left_session_1_0_2_w090_a002010,fixation,1,1,181.02,127.749,14.816,730.0,1.0,181.0,128.0,16.06,0.252,0.923
fixation_user1_left_session_1_0_2_w100_a002110,fixation,1,1,168.76,130.621,13.802,635.0,0.9914,169.0,130.0,15.632,0.665,0.883
fixation_user1_left_session_1_0_2_w110_a002210,fixation,1,1,159.555,136.434,14.0,654.0,0.999,159.0,136.0,15.312,0.705,0.914
fixation_user1_left_session_1_0_2_w120_a002310,fixation,1,1,150.88,138.162,12.654,536.0,0.9905,151.0,136.0,14.353,2.166,0.882
fixation_user1_left_session_1_0_2_w130_a002410,fixation,1,1,140.241,148.33,13.297,594.0,0.9925,140.0,149.0,15.526,0.712,0.856
fixation_user1_left_session_1_0_2_w140_a002510,fixation,1,1,133.039,150.239,10.582,309.0,0.9158,133.0,151.0,15.015,0.762,0.705
fixation_user1_left_session_1_0_2_w150_a002610,fixation,1,1,131.271,173.7,13.035,467.0,0.8983,132.0,177.0,18.336,3.38,0.711
fixation_user1_right_session_1_0_2_w160_a000010,fixation,1,1,197.606,127.413,18.143,1085.0,0.9999,197.0,127.0,18.66,0.734,0.972
fixation_user2_left_session_1_0_2_w002_a000110,fixation,1,1,161.747,122.784,13.4,600.0,0.9938,162.0,122.0,15.204,0.824,0.881
fixation_user2_left_session_1_0_2_w012_a000310,fixation,1,0,,,,,0.2546,134.0,120.0,9.589,,
fixation_user2_left_session_1_0_2_w022_a000510,fixation,1,1,159.201,139.822,14.692,717.0,0.9936,159.0,139.0,16.495,0.846,0.891
fixation_user2_left_session_1_0_2_w032_a000610,fixation,1,1,132.884,140.25,4.522,73.0,0.6754,137.0,138.0,12.898,4.691,0.351
fixation_user2_left_session_1_0_2_w042_a000710,fixation,1,0,,,,,0.3516,134.0,140.0,13.428,,
fixation_user2_left_session_1_0_2_w052_a000910,fixation,1,1,172.655,121.414,15.714,818.0,0.9999,171.0,121.0,17.103,1.706,0.919
fixation_user2_left_session_1_0_2_w062_a001110,fixation,1,1,197.524,118.486,18.124,1007.0,0.9995,202.0,118.0,16.23,4.502,1.117
fixation_user2_left_session_1_0_2_w072_a001410,fixation,1,0,,,,,0.4113,144.0,113.0,12.889,,
fixation_user2_left_session_1_0_2_w082_a001610,fixation,1,1,194.199,133.715,21.918,1491.0,0.9999,202.0,133.0,17.674,7.833,1.24
fixation_user2_left_session_1_0_2_w092_a001710,fixation,1,1,199.892,115.022,16.914,944.0,0.9998,200.0,115.0,17.697,0.11,0.956
fixation_user2_left_session_1_0_2_w102_a001810,fixation,1,1,191.551,107.859,13.446,604.0,0.9969,191.0,107.0,15.009,1.021,0.896
fixation_user2_left_session_1_0_2_w112_a001910,fixation,1,1,186.966,106.842,13.317,590.0,0.9975,186.0,106.0,14.866,1.281,0.896
fixation_user2_left_session_1_0_2_w122_a002010,fixation,1,1,176.551,114.732,14.814,731.0,1.0,176.0,114.0,15.813,0.916,0.937
fixation_user2_left_session_1_0_2_w132_a002110,fixation,1,1,166.133,116.853,13.258,587.0,0.9957,165.0,117.0,14.394,1.143,0.921
fixation_user2_left_session_1_0_2_w142_a002210,fixation,1,1,166.566,139.138,20.345,1172.0,0.9999,161.0,139.0,17.388,5.567,1.17
fixation_user2_left_session_1_0_2_w152_a002310,fixation,1,1,151.605,142.895,13.995,654.0,0.9853,151.0,143.0,15.722,0.614,0.89
fixation_user3_left_session_1_0_2_w003_a000110,fixation,1,1,161.33,107.282,15.154,763.0,1.0,161.0,107.0,16.094,0.434,0.942
fixation_user3_left_session_1_0_2_w013_a000210,fixation,1,1,215.443,131.037,17.172,972.0,0.9999,215.0,131.0,18.189,0.444,0.944
fixation_user3_left_session_1_0_2_w023_a000310,fixation,1,0,,,,,0.4968,123.0,105.0,11.998,,
