key,motion,good,valid,cx,cy,r_equiv,area,score,gt_cx,gt_cy,gt_r,err,radius_ratio
fixation_user10_left_session_1_0_2_w001_a000110,fixation,1,1,186.933,128.942,19.496,1249.0,,186.0,128.0,19.737,1.325,0.988
fixation_user10_left_session_1_0_2_w011_a000310,fixation,1,1,141.3,117.958,9.68,247.0,,143.0,122.0,14.567,4.385,0.665
fixation_user10_left_session_1_0_2_w021_a000610,fixation,1,1,158.847,140.466,17.951,1061.0,,158.0,141.0,17.757,1.002,1.011
fixation_user10_left_session_1_0_2_w031_a000710,fixation,1,1,151.472,139.999,15.721,820.0,,152.0,139.0,16.068,1.13,0.978
fixation_user10_left_session_1_0_2_w041_a000910,fixation,1,1,185.375,128.207,17.87,1053.0,,185.0,129.0,17.606,0.877,1.015
fixation_user10_left_session_1_0_2_w051_a001010,fixation,1,1,209.14,124.305,17.967,1065.0,,208.0,124.0,18.09,1.18,0.993
fixation_user10_left_session_1_0_2_w061_a001110,fixation,1,1,230.506,126.152,17.295,988.0,,230.0,126.0,17.906,0.528,0.966
fixation_user10_left_session_1_0_2_w071_a001510,fixation,1,1,148.522,117.488,13.739,629.0,,148.0,117.0,13.915,0.714,0.987
fixation_user10_left_session_1_0_2_w081_a001610,fixation,1,1,230.252,143.494,18.894,1175.0,,230.0,143.0,19.376,0.555,0.975
fixation_user10_left_session_1_0_2_w091_a001710,fixation,1,1,228.113,133.014,18.635,1144.0,,228.0,133.0,18.922,0.113,0.985
fixation_user10_left_session_1_0_2_w101_a001810,fixation,1,1,221.845,122.831,17.387,999.0,,222.0,122.0,18.197,0.845,0.956
fixation_user10_left_session_1_0_2_w111_a002010,fixation,1,1,204.126,107.413,15.427,789.0,,204.0,107.0,15.689,0.432,0.983
fixation_user10_left_session_1_0_2_w121_a002110,fixation,1,1,192.909,115.17,16.247,875.0,,193.0,115.0,16.961,0.193,0.958
fixation_user10_left_session_1_0_2_w131_a002210,fixation,1,1,184.409,129.691,18.709,1153.0,,184.0,130.0,18.929,0.512,0.988
fixation_user10_left_session_1_0_2_w141_a002410,fixation,1,1,170.186,145.472,19.233,1217.0,,170.0,146.0,19.531,0.56,0.985
fixation_user10_left_session_1_0_2_w151_a002510,fixation,1,1,163.287,141.535,17.796,1044.0,,163.0,142.0,17.589,0.547,1.012
fixation_user1_left_session_1_0_2_w000_a000010,fixation,1,1,168.578,138.685,19.623,1263.0,,168.0,138.0,20.046,0.897,0.979
fixation_user1_left_session_1_0_2_w010_a000110,fixation,1,1,168.137,139.663,20.162,1332.0,,167.0,140.0,20.459,1.186,0.985
fixation_user1_left_session_1_0_2_w020_a000210,fixation,1,1,219.454,162.027,21.26,1477.0,,219.0,162.0,21.221,0.455,1.002
fixation_user1_left_session_1_0_2_w030_a000310,fixation,1,1,134.981,137.754,14.92,739.0,,135.0,138.0,15.375,0.247,0.97
fixation_user1_left_session_1_0_2_w040_a000910,fixation,1,1,140.304,149.505,16.583,910.0,,140.0,150.0,16.734,0.581,0.991
fixation_user1_left_session_1_0_2_w050_a001110,fixation,1,1,136.23,144.445,15.624,811.0,,136.0,144.0,16.42,0.501,0.952
fixation_user1_left_session_1_0_2_w060_a001210,fixation,1,1,138.969,141.681,14.833,734.0,,139.0,142.0,15.153,0.321,0.979
fixation_user1_left_session_1_0_2_w070_a001710,fixation,1,1,209.89,135.985,16.513,903.0,,210.0,135.0,17.022,0.991,0.97
fixation_user1_left_session_1_0_2_w080_a001910,fixation,1,1,185.523,128.043,15.843,833.0,,185.0,128.0,15.905,0.525,0.996
fixation_user1_left_session_1_0_2_w090_a002010,fixation,1,1,180.843,127.586,15.211,770.0,,181.0,128.0,16.06,0.443,0.947
fixation_user1_left_session_1_0_2_w100_a002110,fixation,1,1,169.325,129.951,15.029,749.0,,169.0,130.0,15.632,0.328,0.961
fixation_user1_left_session_1_0_2_w110_a002210,fixation,1,1,159.701,135.803,14.963,745.0,,159.0,136.0,15.312,0.728,0.977
fixation_user1_left_session_1_0_2_w120_a002310,fixation,1,1,151.177,136.937,13.862,644.0,,151.0,136.0,14.353,0.953,0.966
fixation_user1_left_session_1_0_2_w130_a002410,fixation,1,1,140.111,148.379,14.881,739.0,,140.0,149.0,15.526,0.63,0.959
fixation_user1_left_session_1_0_2_w140_a002510,fixation,1,1,134.123,150.89,14.247,678.0,,133.0,151.0,15.015,1.128,0.949
fixation_user1_left_session_1_0_2_w150_a002610,fixation,1,1,132.413,176.639,17.562,1014.0,,132.0,177.0,18.336,0.549,0.958
fixation_user1_right_session_1_0_2_w160_a000010,fixation,1,1,198.275,127.387,18.819,1163.0,,197.0,127.0,18.66,1.333,1.009
