key,motion,good,valid,cx,cy,r_equiv,area,score,gt_cx,gt_cy,gt_r,err,radius_ratio
fixation_user10_left_session_1_0_2_w001_a000110,fixation,1,1,186.867,128.791,19.456,1245.0,,186.0,128.0,19.737,1.173,0.986
fixation_user10_left_session_1_0_2_w011_a000310,fixation,1,1,144.201,116.644,11.868,468.0,,143.0,122.0,14.567,5.489,0.815
fixation_user10_left_session_1_0_2_w021_a000610,fixation,1,1,159.135,140.181,18.057,1074.0,,158.0,141.0,17.757,1.4,1.017
fixation_user10_left_session_1_0_2_w031_a000710,fixation,1,1,151.34,139.823,15.934,843.0,,152.0,139.0,16.068,1.054,0.992
fixation_user10_left_session_1_0_2_w041_a000910,fixation,1,1,185.443,128.214,17.881,1054.0,,185.0,129.0,17.606,0.902,1.016
fixation_user10_left_session_1_0_2_w051_a001010,fixation,1,1,209.161,124.337,17.98,1066.0,,208.0,124.0,18.09,1.209,0.994
fixation_user10_left_session_1_0_2_w061_a001110,fixation,1,1,230.417,126.317,17.34,994.0,,230.0,126.0,17.906,0.524,0.968
fixation_user10_left_session_1_0_2_w071_a001510,fixation,1,1,148.164,117.361,13.447,607.0,,148.0,117.0,13.915,0.397,0.966
fixation_user10_left_session_1_0_2_w081_a001610,fixation,1,1,230.286,143.317,18.954,1182.0,,230.0,143.0,19.376,0.427,0.978
fixation_user10_left_session_1_0_2_w091_a001710,fixation,1,1,228.057,132.894,18.655,1146.0,,228.0,133.0,18.922,0.12,0.986
fixation_user10_left_session_1_0_2_w101_a001810,fixation,1,1,222.242,122.818,17.491,1009.0,,222.0,122.0,18.197,0.853,0.961
fixation_user10_left_session_1_0_2_w111_a002010,fixation,1,1,204.086,107.545,15.385,785.0,,204.0,107.0,15.689,0.552,0.981
fixation_user10_left_session_1_0_2_w121_a002110,fixation,1,1,192.81,115.109,16.237,874.0,,193.0,115.0,16.961,0.219,0.957
fixation_user10_left_session_1_0_2_w131_a002210,fixation,1,1,184.404,129.823,18.718,1154.0,,184.0,130.0,18.929,0.441,0.989
fixation_user10_left_session_1_0_2_w141_a002410,fixation,1,1,170.203,145.27,19.307,1226.0,,170.0,146.0,19.531,0.758,0.989
fixation_user10_left_session_1_0_2_w151_a002510,fixation,1,1,163.391,141.434,17.909,1057.0,,163.0,142.0,17.589,0.688,1.018
fixation_user1_left_session_1_0_2_w000_a000010,fixation,1,1,168.405,138.461,19.55,1254.0,,168.0,138.0,20.046,0.614,0.975
fixation_user1_left_session_1_0_2_w010_a000110,fixation,1,1,167.886,139.371,19.893,1298.0,,167.0,140.0,20.459,1.087,0.972
fixation_user1_left_session_1_0_2_w020_a000210,fixation,1,1,219.027,161.622,21.115,1457.0,,219.0,162.0,21.221,0.379,0.995
fixation_user1_left_session_1_0_2_w030_a000310,fixation,1,1,134.974,137.709,15.078,755.0,,135.0,138.0,15.375,0.292,0.981
fixation_user1_left_session_1_0_2_w040_a000910,fixation,1,1,140.218,149.357,16.66,919.0,,140.0,150.0,16.734,0.679,0.996
fixation_user1_left_session_1_0_2_w050_a001110,fixation,1,1,136.198,144.502,15.75,825.0,,136.0,144.0,16.42,0.539,0.959
fixation_user1_left_session_1_0_2_w060_a001210,fixation,1,1,138.697,141.635,14.653,716.0,,139.0,142.0,15.153,0.475,0.967
fixation_user1_left_session_1_0_2_w070_a001710,fixation,1,1,209.581,135.79,16.36,888.0,,210.0,135.0,17.022,0.895,0.961
fixation_user1_left_session_1_0_2_w080_a001910,fixation,1,1,185.285,127.852,15.625,812.0,,185.0,128.0,15.905,0.321,0.982
fixation_user1_left_session_1_0_2_w090_a002010,fixation,1,1,180.701,127.458,15.18,767.0,,181.0,128.0,16.06,0.619,0.945
