key,motion,good,valid,cx,cy,r_equiv,area,score,gt_cx,gt_cy,gt_r,err,radius_ratio
fixation_user10_left_session_1_0_2_w001_a000110,fixation,1,1,186.593,128.17,19.521,1252.0,,186.0,128.0,19.737,0.616,0.989
fixation_user10_left_session_1_0_2_w011_a000310,fixation,1,1,148.996,112.867,9.645,299.0,,143.0,122.0,14.567,10.925,0.662
fixation_user10_left_session_1_0_2_w021_a000610,fixation,1,1,159.023,139.355,18.283,1100.0,,158.0,141.0,17.757,1.937,1.03
fixation_user10_left_session_1_0_2_w031_a000710,fixation,1,1,150.953,139.091,15.913,841.0,,152.0,139.0,16.068,1.051,0.99
fixation_user10_left_session_1_0_2_w041_a000910,fixation,1,1,185.247,127.63,17.973,1066.0,,185.0,129.0,17.606,1.392,1.021
fixation_user10_left_session_1_0_2_w051_a001010,fixation,1,1,208.98,123.805,18.184,1090.0,,208.0,124.0,18.09,0.999,1.005
fixation_user10_left_session_1_0_2_w061_a001110,fixation,1,1,230.416,125.551,17.527,1013.0,,230.0,126.0,17.906,0.612,0.979
fixation_user10_left_session_1_0_2_w071_a001510,fixation,1,1,146.04,115.19,15.374,771.0,,148.0,117.0,13.915,2.668,1.105
fixation_user10_left_session_1_0_2_w081_a001610,fixation,1,1,229.994,142.801,19.214,1214.0,,230.0,143.0,19.376,0.199,0.992
fixation_user10_left_session_1_0_2_w091_a001710,fixation,1,1,227.932,132.459,18.792,1163.0,,228.0,133.0,18.922,0.546,0.993
fixation_user10_left_session_1_0_2_w101_a001810,fixation,1,1,222.029,121.899,18.056,1074.0,,222.0,122.0,18.197,0.105,0.992
fixation_user10_left_session_1_0_2_w111_a002010,fixation,1,1,203.852,106.719,15.72,820.0,,204.0,107.0,15.689,0.318,1.002
fixation_user10_left_session_1_0_2_w121_a002110,fixation,1,1,192.375,114.675,16.551,908.0,,193.0,115.0,16.961,0.705,0.976
fixation_user10_left_session_1_0_2_w131_a002210,fixation,1,1,183.896,129.246,18.913,1176.0,,184.0,130.0,18.929,0.761,0.999
fixation_user10_left_session_1_0_2_w141_a002410,fixation,1,1,170.11,144.554,19.703,1275.0,,170.0,146.0,19.531,1.45,1.009
fixation_user10_left_session_1_0_2_w151_a002510,fixation,1,1,163.36,140.915,18.021,1071.0,,163.0,142.0,17.589,1.143,1.025
fixation_user1_left_session_1_0_2_w000_a000010,fixation,1,1,168.103,137.843,19.846,1294.0,,168.0,138.0,20.046,0.188,0.99
fixation_user1_left_session_1_0_2_w010_a000110,fixation,1,1,167.678,138.903,20.211,1340.0,,167.0,140.0,20.459,1.29,0.988
fixation_user1_left_session_1_0_2_w020_a000210,fixation,1,1,218.997,161.134,21.265,1479.0,,219.0,162.0,21.221,0.866,1.002
fixation_user1_left_session_1_0_2_w030_a000310,fixation,1,1,134.85,136.783,15.144,765.0,,135.0,138.0,15.375,1.226,0.985
fixation_user1_left_session_1_0_2_w040_a000910,fixation,1,1,140.108,148.776,16.787,933.0,,140.0,150.0,16.734,1.229,1.003
fixation_user1_left_session_1_0_2_w050_a001110,fixation,1,1,135.909,143.752,15.892,839.0,,136.0,144.0,16.42,0.265,0.968
fixation_user1_left_session_1_0_2_w060_a001210,fixation,1,1,138.333,140.627,14.887,740.0,,139.0,142.0,15.153,1.526,0.982
fixation_user1_left_session_1_0_2_w070_a001710,fixation,1,1,209.587,135.095,16.535,905.0,,210.0,135.0,17.022,0.424,0.971
fixation_user1_left_session_1_0_2_w080_a001910,fixation,1,1,185.073,127.655,15.618,811.0,,185.0,128.0,15.905,0.352,0.982
fixation_user1_left_session_1_0_2_w090_a002010,fixation,1,1,180.443,127.227,15.266,776.0,,181.0,128.0,16.06,0.953,0.951
fixation_user1_left_session_1_0_2_w100_a002110,fixation,1,1,168.968,129.303,15.244,773.0,,169.0,130.0,15.632,0.698,0.975
fixation_user1_left_session_1_0_2_w110_a002210,fixation,1,1,159.418,134.903,14.875,737.0,,159.0,136.0,15.312,1.174,0.971
fixation_user1_left_session_1_0_2_w120_a002310,fixation,1,1,150.756,136.179,13.842,641.0,,151.0,136.0,14.353,0.302,0.964
fixation_user1_left_session_1_0_2_w130_a002410,fixation,1,1,139.84,147.738,14.984,748.0,,140.0,149.0,15.526,1.272,0.965
fixation_user1_left_session_1_0_2_w140_a002510,fixation,1,1,133.95,150.401,14.431,695.0,,133.0,151.0,15.015,1.123,0.961
fixation_user1_left_session_1_0_2_w150_a002610,fixation,1,1,132.638,175.773,17.622,1025.0,,132.0,177.0,18.336,1.383,0.961
fixation_user1_right_session_1_0_2_w160_a000010,fixation,1,1,197.837,126.613,18.845,1166.0,,197.0,127.0,18.66,0.922,1.01
fixation_user2_left_session_1_0_2_w002_a000110,fixation,1,1,161.993,122.076,15.125,761.0,,162.0,122.0,15.204,0.076,0.995
fixation_user2_left_session_1_0_2_w012_a000310,fixation,1,1,133.526,121.441,6.509,135.0,,134.0,120.0,9.589,1.517,0.679
fixation_user2_left_session_1_0_2_w022_a000510,fixation,1,1,159.138,139.256,15.861,834.0,,159.0,139.0,16.495,0.291,0.962
fixation_user2_left_session_1_0_2_w032_a000610,fixation,1,1,137.938,137.885,12.69,542.0,,137.0,138.0,12.898,0.945,0.984
fixation_user2_left_session_1_0_2_w042_a000710,fixation,1,1,134.313,138.723,13.31,595.0,,134.0,140.0,13.428,1.314,0.991
fixation_user2_left_session_1_0_2_w052_a000910,fixation,1,1,171.576,121.206,16.346,885.0,,171.0,121.0,17.103,0.612,0.956
fixation_user2_left_session_1_0_2_w062_a001110,fixation,1,1,202.599,117.322,16.111,861.0,,202.0,118.0,16.23,0.904,0.993
fixation_user2_left_session_1_0_2_w072_a001410,fixation,1,1,143.43,112.421,12.872,554.0,,144.0,113.0,12.889,0.812,0.999
fixation_user2_left_session_1_0_2_w082_a001610,fixation,1,1,202.062,133.52,17.481,1008.0,,202.0,133.0,17.674,0.523,0.989
fixation_user2_left_session_1_0_2_w092_a001710,fixation,1,1,200.206,114.559,17.503,1012.0,,200.0,115.0,17.697,0.487,0.989
fixation_user2_left_session_1_0_2_w102_a001810,fixation,1,1,191.083,106.538,14.831,732.0,,191.0,107.0,15.009,0.47,0.988
fixation_user2_left_session_1_0_2_w112_a001910,fixation,1,1,185.951,105.974,14.698,720.0,,186.0,106.0,14.866,0.055,0.989
fixation_user2_left_session_1_0_2_w122_a002010,fixation,1,1,176.543,114.038,15.053,754.0,,176.0,114.0,15.813,0.545,0.952
fixation_user2_left_session_1_0_2_w132_a002110,fixation,1,1,165.439,116.608,14.388,690.0,,165.0,117.0,14.394,0.589,1.0
fixation_user2_left_session_1_0_2_w142_a002210,fixation,1,1,161.867,138.989,17.612,1021.0,,161.0,139.0,17.388,0.867,1.013
fixation_user2_left_session_1_0_2_w152_a002310,fixation,1,1,151.907,142.696,15.353,784.0,,151.0,143.0,15.722,0.956,0.976
fixation_user3_left_session_1_0_2_w003_a000110,fixation,1,1,161.122,106.629,15.43,792.0,,161.0,107.0,16.094,0.39,0.959
