key,subject,motion,source,cx,cy
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,human_ellipse,186.0,128.0
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,unet,185.478,127.434
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,gsam2,186.13,127.99
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,pred,161.845,121.275
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,ellseg,186.867,128.791
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,ritnet,186.593,128.17
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,edge_guided,186.933,128.942
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,deepvog,187.224,128.507
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,yoloe,187.102,129.362
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,sam2_repeat_0,186.15,127.91
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,sam2_repeat_1,186.18,128.01
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,sam2_repeat_2,186.18,127.98
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,sam2_repeat_3,186.16,127.94
fixation_user10_left_session_1_0_2_w001_a000110,10,fixation,sam2_repeat_4,187.29,127.98
fixation_user10_left_session_1_0_2_w011_a000310,10,fixation,human_ellipse,143.0,122.0
fixation_user10_left_session_1_0_2_w011_a000310,10,fixation,unet,141.455,119.689
fixation_user10_left_session_1_0_2_w011_a000310,10,fixation,pred,143.252,120.384
fixation_user10_left_session_1_0_2_w011_a000310,10,fixation,ellseg,144.201,116.644
fixation_user10_left_session_1_0_2_w011_a000310,10,fixation,ritnet,148.996,112.867
fixation_user10_left_session_1_0_2_w011_a000310,10,fixation,edge_guided,141.3,117.958
fixation_user10_left_session_1_0_2_w011_a000310,10,fixation,deepvog,196.73,235.624
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,human_ellipse,158.0,141.0
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,unet,157.801,139.381
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,gsam2,158.47,139.11
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,pred,159.814,140.169
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,ellseg,159.135,140.181
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,ritnet,159.023,139.355
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,edge_guided,158.847,140.466
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,deepvog,157.931,140.094
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,yoloe,158.254,137.57
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,sam2_repeat_0,158.38,138.96
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,sam2_repeat_1,158.49,139.21
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,sam2_repeat_2,158.48,139.03
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,sam2_repeat_3,158.64,138.69
fixation_user10_left_session_1_0_2_w021_a000610,10,fixation,sam2_repeat_4,159.53,139.09
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,human_ellipse,152.0,139.0
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,unet,150.115,138.618
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,gsam2,150.58,139.03
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,pred,147.182,136.099
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,ellseg,151.34,139.823
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,ritnet,150.953,139.091
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,edge_guided,151.472,139.999
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,deepvog,142.501,142.942
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,yoloe,150.897,137.895
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,sam2_repeat_0,150.48,139.03
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,sam2_repeat_1,150.59,139.06
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,sam2_repeat_2,150.57,139.01
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,sam2_repeat_3,150.62,138.97
fixation_user10_left_session_1_0_2_w031_a000710,10,fixation,sam2_repeat_4,151.74,139.04
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,human_ellipse,185.0,129.0
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,unet,184.104,126.806
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,gsam2,184.76,127.34
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,pred,182.798,124.481
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,ellseg,185.443,128.214
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,ritnet,185.247,127.63
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,edge_guided,185.375,128.207
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,deepvog,185.823,127.636
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,yoloe,184.592,126.534
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,sam2_repeat_0,184.69,127.31
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,sam2_repeat_1,184.73,127.41
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,sam2_repeat_2,184.73,127.38
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,sam2_repeat_3,184.75,127.29
fixation_user10_left_session_1_0_2_w041_a000910,10,fixation,sam2_repeat_4,185.9,127.4
fixation_user10_left_session_1_0_2_w051_a001010,10,fixation,human_ellipse,208.0,124.0
fixation_user10_left_session_1_0_2_w051_a001010,10,fixation,unet,207.686,122.843
fixation_user10_left_session_1_0_2_w051_a001010,10,fixation,gsam2,208.37,123.64
fixation_user10_left_session_1_0_2_w051_a001010,10,fixation,pred,205.09,125.363
fixation_user10_left_session_1_0_2_w051_a001010,10,fixation,ellseg,209.161,124.337
fixation_user10_left_session_1_0_2_w051_a001010,10,fixation,ritnet,208.98,123.805
fixation_user10_left_session_1_0_2_w051_a001010,10,fixation,edge_guided,209.14,124.305
fixation_user10_left_session_1_0_2_w051_a001010,10,fixation,deepvog,209.663,123.812
fixation_user10_left_session_1_0_2_w051_a001010,10,fixation,yoloe,208.007,122.956
