key,motion,user,eye,session,K,anchor_index,anchor_ts_us,ts_lo,ts_hi,n_frames,n_events,q_good,q_frontal,q_illum,event_file,label_dir
fixation_user1_left_session_1_0_2_w000_a000010,fixation,user1,left,session_1_0_2,11,10,1657711084817717,1657711084617716,1657711085017717,11,8857,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w000_a000010.npz,../samples/label/fixation_user1_left_session_1_0_2_w000_a000010
fixation_user1_left_session_1_0_2_w010_a000110,fixation,user1,left,session_1_0_2,11,110,1657711088817720,1657711088617720,1657711089017720,11,9673,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w010_a000110.npz,../samples/label/fixation_user1_left_session_1_0_2_w010_a000110
fixation_user1_left_session_1_0_2_w020_a000210,fixation,user1,left,session_1_0_2,11,210,1657711092817723,1657711092617723,1657711093017723,11,10740,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w020_a000210.npz,../samples/label/fixation_user1_left_session_1_0_2_w020_a000210
fixation_user1_left_session_1_0_2_w030_a000310,fixation,user1,left,session_1_0_2,11,310,1657711096817726,1657711096617726,1657711097017726,11,29531,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w030_a000310.npz,../samples/label/fixation_user1_left_session_1_0_2_w030_a000310
fixation_user1_left_session_1_0_2_w040_a000910,fixation,user1,left,session_1_0_2,11,910,1657711120817745,1657711120617745,1657711121017746,11,20533,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w040_a000910.npz,../samples/label/fixation_user1_left_session_1_0_2_w040_a000910
fixation_user1_left_session_1_0_2_w050_a001110,fixation,user1,left,session_1_0_2,11,1110,1657711128817752,1657711128617752,1657711129017752,11,12387,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w050_a001110.npz,../samples/label/fixation_user1_left_session_1_0_2_w050_a001110
fixation_user1_left_session_1_0_2_w060_a001210,fixation,user1,left,session_1_0_2,11,1210,1657711132817755,1657711132617755,1657711133017755,11,12492,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w060_a001210.npz,../samples/label/fixation_user1_left_session_1_0_2_w060_a001210
fixation_user1_left_session_1_0_2_w070_a001710,fixation,user1,left,session_1_0_2,11,1710,1657711152817771,1657711152617771,1657711153017771,11,19268,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w070_a001710.npz,../samples/label/fixation_user1_left_session_1_0_2_w070_a001710
fixation_user1_left_session_1_0_2_w080_a001910,fixation,user1,left,session_1_0_2,11,1910,1657711160817777,1657711160617777,1657711161017778,11,31470,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w080_a001910.npz,../samples/label/fixation_user1_left_session_1_0_2_w080_a001910
fixation_user1_left_session_1_0_2_w090_a002010,fixation,user1,left,session_1_0_2,11,2010,1657711164817781,1657711164617781,1657711165017781,11,16571,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w090_a002010.npz,../samples/label/fixation_user1_left_session_1_0_2_w090_a002010
fixation_user1_left_session_1_0_2_w100_a002110,fixation,user1,left,session_1_0_2,11,2110,1657711168817784,1657711168617784,1657711169017784,11,11912,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w100_a002110.npz,../samples/label/fixation_user1_left_session_1_0_2_w100_a002110
fixation_user1_left_session_1_0_2_w110_a002210,fixation,user1,left,session_1_0_2,11,2210,1657711172817787,1657711172617787,1657711173017787,11,13623,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w110_a002210.npz,../samples/label/fixation_user1_left_session_1_0_2_w110_a002210
fixation_user1_left_session_1_0_2_w120_a002310,fixation,user1,left,session_1_0_2,11,2310,1657711176817790,1657711176617790,1657711177017790,11,23953,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w120_a002310.npz,../samples/label/fixation_user1_left_session_1_0_2_w120_a002310
fixation_user1_left_session_1_0_2_w130_a002410,fixation,user1,left,session_1_0_2,11,2410,1657711180817794,1657711180617793,1657711181017794,11,15126,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w130_a002410.npz,../samples/label/fixation_user1_left_session_1_0_2_w130_a002410
fixation_user1_left_session_1_0_2_w140_a002510,fixation,user1,left,session_1_0_2,11,2510,1657711184817797,1657711184617797,1657711185017797,11,15463,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w140_a002510.npz,../samples/label/fixation_user1_left_session_1_0_2_w140_a002510
fixation_user1_left_session_1_0_2_w150_a002610,fixation,user1,left,session_1_0_2,11,2610,1657711188817800,1657711188617800,1657711189017800,11,9165,True,True,True,../samples/event/fixation_user1_left_session_1_0_2_w150_a002610.npz,../samples/label/fixation_user1_left_session_1_0_2_w150_a002610
saccade_user1_left_session_1_0_2_w000_a000410,saccade,user1,left,session_1_0_2,7,410,1657711100817729,1657711100697729,1657711100937730,7,19458,True,True,True,../samples/event/saccade_user1_left_session_1_0_2_w000_a000410.npz,../samples/label/saccade_user1_left_session_1_0_2_w000_a000410
saccade_user1_left_session_1_0_2_w010_a000510,saccade,user1,left,session_1_0_2,7,510,1657711104817733,1657711104697733,1657711104937733,7,13727,True,True,True,../samples/event/saccade_user1_left_session_1_0_2_w010_a000510.npz,../samples/label/saccade_user1_left_session_1_0_2_w010_a000510
