user,eye,code,motion,nbins,Fixation,Saccade,Smooth,Blink
1,left,102,smooth,5388,0,464,4886,38
1,left,101,saccade,10142,8601,971,0,570
1,left,202,smooth,5374,0,492,4835,47
1,left,201,saccade,10189,8407,1045,0,737
1,right,101,saccade,10082,7370,781,0,1931
1,right,102,smooth,5327,0,669,4437,221
1,right,202,smooth,5324,0,598,4403,323
1,right,201,saccade,10139,7170,804,0,2165
2,left,101,saccade,10034,8910,768,0,356
2,left,102,smooth,5731,0,482,5180,69
2,left,202,smooth,5660,0,420,5195,45
2,left,201,saccade,10019,8881,802,0,336
2,right,101,saccade,9983,7366,947,0,1670
2,right,102,smooth,5666,0,560,4509,597
2,right,202,smooth,5622,0,508,4498,616
2,right,201,saccade,9979,7286,971,0,1722
3,left,102,smooth,5739,0,651,4963,125
3,left,101,saccade,10182,8484,978,0,720
3,left,202,smooth,5609,0,667,4829,113
3,left,201,saccade,10006,8210,1049,0,747
3,right,102,smooth,5688,0,647,4359,682
3,right,101,saccade,10122,7210,780,0,2132
3,right,202,smooth,5559,0,664,4181,714
3,right,201,saccade,9959,6951,830,0,2178
4,left,102,smooth,5349,0,780,4364,205
4,left,101,saccade,9951,8116,1076,0,759
4,left,202,smooth,5358,0,773,4415,170
4,left,201,saccade,9997,8161,1087,0,749
4,right,102,smooth,5298,0,547,3744,1007
4,right,101,saccade,9893,6796,830,0,2267
4,right,202,smooth,5304,0,486,3877,941
4,right,201,saccade,9932,6943,865,0,2124
5,left,102,smooth,5433,0,526,4884,23
5,left,101,saccade,10118,8592,1126,0,400
5,left,202,smooth,5328,0,656,4638,34
5,left,201,saccade,9972,8206,1341,0,425
5,right,102,smooth,5383,0,591,4320,472
5,right,101,saccade,10059,7036,876,0,2147
5,right,202,smooth,5258,0,651,3989,618
5,right,201,saccade,9911,6716,905,0,2290
6,left,102,smooth,5325,0,451,4849,25
6,left,101,saccade,10434,9289,699,0,446
6,left,202,smooth,5302,0,417,4877,8
6,left,201,saccade,10164,9115,672,0,377
6,right,102,smooth,5271,0,412,4431,428
6,right,101,saccade,10373,8129,777,0,1467
6,right,201,saccade,10111,8025,688,0,1398
6,right,202,smooth,5256,0,448,4455,353
7,left,102,smooth,5348,0,423,4896,29
7,left,101,saccade,10033,9031,653,0,349
7,left,201,saccade,10065,9087,629,0,349
7,left,202,smooth,5349,0,429,4897,23
7,right,102,smooth,5295,0,442,4349,504
7,right,101,saccade,9987,7301,953,0,1733
7,right,202,smooth,5299,0,463,4396,440
7,right,201,saccade,10014,7466,957,0,1591
8,left,102,smooth,5366,0,614,4674,78
8,left,101,saccade,10330,8952,814,0,564
8,left,202,smooth,5290,0,586,4625,79
8,left,201,saccade,10324,8645,1032,0,647
8,right,101,saccade,10275,7498,901,0,1876
8,right,102,smooth,5315,0,543,4163,609
8,right,202,smooth,5241,0,508,4168,565
8,right,201,saccade,10269,7299,1002,0,1968
9,left,102,smooth,5714,0,552,5074,88
9,left,101,saccade,9943,8677,595,0,671
9,left,201,saccade,10014,8790,530,0,694
9,right,101,saccade,9886,7437,788,0,1661
9,left,202,smooth,5593,0,550,4946,97
9,right,102,smooth,5658,0,475,4651,532
9,right,202,smooth,5241,0,508,4168,565
9,right,201,saccade,10269,7299,1002,0,1968
10,left,102,smooth,5709,0,461,5172,76
10,left,101,saccade,10143,8599,834,0,710
10,left,202,smooth,5740,0,375,5309,56
10,left,201,saccade,9989,8596,781,0,612
10,right,102,smooth,5649,0,585,4754,310
10,right,101,saccade,10090,7257,903,0,1930
10,right,202,smooth,5680,0,554,4895,231
10,right,201,saccade,9941,7406,814,0,1721
11,left,102,smooth,5755,0,493,5192,70
11,left,101,saccade,10093,8550,749,0,794
11,left,201,saccade,10022,8668,758,0,596
11,left,202,smooth,5754,0,422,5298,34
11,right,102,smooth,5695,0,465,4741,489
11,right,101,saccade,10037,7366,692,0,1979
11,right,201,saccade,9965,7398,698,0,1869
11,right,202,smooth,5704,0,479,4877,348
12,left,102,smooth,5586,0,534,4937,115
12,left,101,saccade,9963,8698,481,0,784
12,left,201,saccade,9946,8835,437,0,674
12,left,202,smooth,5588,0,550,4937,101
12,right,102,smooth,5536,0,500,4479,557
12,right,101,saccade,9912,7194,804,0,1914
12,right,202,smooth,5542,0,531,4467,544
12,right,201,saccade,9892,7448,726,0,1718
13,left,102,smooth,5606,0,595,4941,70
13,left,101,saccade,9980,9035,472,0,473
13,left,202,smooth,5560,0,621,4870,69
13,left,201,saccade,10020,9073,438,0,509
13,right,102,smooth,5562,0,679,4387,496
13,right,101,saccade,9926,7761,1069,0,1096
13,right,202,smooth,5507,0,685,4347,475
13,right,201,saccade,9956,7842,1093,0,1021
14,left,102,smooth,5738,0,619,5048,71
14,left,101,saccade,10093,8652,919,0,522
14,left,201,saccade,10105,8403,1260,0,442
14,left,202,smooth,5764,0,599,5096,69
14,right,101,saccade,10039,7437,967,0,1635
14,right,102,smooth,5683,0,584,4518,581
14,right,202,smooth,5674,0,589,4552,533
14,right,201,saccade,10048,7400,937,0,1711
15,left,101,saccade,10033,8707,731,0,595
15,left,102,smooth,5608,0,639,4843,126
15,left,202,smooth,5574,0,504,4966,104
15,left,201,saccade,10081,8410,966,0,705
15,right,101,saccade,9973,7540,959,0,1474
15,right,102,smooth,5561,0,569,4365,627
15,right,202,smooth,5520,0,474,4514,532
15,right,201,saccade,10029,7220,934,0,1875
16,left,102,smooth,5326,0,376,4926,24
16,left,101,saccade,10012,8909,908,0,195
16,left,202,smooth,5287,0,433,4808,46
16,left,201,saccade,9907,8737,945,0,225
16,right,102,smooth,5274,0,737,4414,123
16,right,101,saccade,9967,7738,1133,0,1096
16,right,202,smooth,5241,0,656,4347,238
16,right,201,saccade,9855,7658,943,0,1254
17,left,102,smooth,5331,0,455,4806,70
17,left,101,saccade,10377,8373,1583,0,421
17,left,202,smooth,5377,0,793,4420,164
17,left,201,saccade,10165,8112,1635,0,418
17,right,102,smooth,5281,0,739,4226,316
17,right,101,saccade,10324,6901,1149,0,2274
17,right,202,smooth,5323,0,716,3775,832
17,right,201,saccade,10109,6840,1056,0,2213
18,left,101,saccade,10144,9305,768,0,71
18,left,102,smooth,5302,0,325,4965,12
18,left,202,smooth,5293,0,381,4899,13
18,left,201,saccade,10140,9376,724,0,40
18,right,102,smooth,5247,0,696,4399,152
18,right,101,saccade,10098,8269,992,0,837
18,right,202,smooth,5234,0,588,4432,214
18,right,201,saccade,10081,8175,1189,0,717
19,left,102,smooth,5643,0,477,5117,49
19,left,101,saccade,10073,8914,759,0,400
19,left,202,smooth,5646,0,514,5085,47
19,left,201,saccade,10246,9012,820,0,414
19,right,102,smooth,5600,0,509,4522,569
19,right,101,saccade,10008,7544,924,0,1540
19,right,202,smooth,5601,0,539,4480,582
19,right,201,saccade,10199,7737,862,0,1600
20,left,102,smooth,5647,0,758,4737,152
20,left,101,saccade,9883,7916,1193,0,774
20,left,202,smooth,5574,0,661,4731,182
20,left,201,saccade,9930,7851,1168,0,911
20,right,102,smooth,5593,0,614,4166,813
