user,eye,code,Fixation,Saccade,Smooth,Blink,total
37,left,101,9068736,114159,0,11510,9194405
37,left,102,0,47647,5590913,85394,5723954
37,left,201,8784592,119207,0,74652,8978451
37,left,202,0,38732,4928982,13944,4981658
37,right,101,5041791,61197,0,1246,5104234
37,right,102,0,24883,3268515,19903,3313301
37,right,201,4728417,48197,0,58492,4835106
37,right,202,0,13723,2534437,4357,2552517
38,left,101,10368154,185067,0,128714,10681935
38,left,102,0,83237,5664825,66049,5814111
38,left,201,10444256,154392,0,152159,10750807
38,left,202,0,42192,5595641,81241,5719074
38,right,101,6232704,77214,0,50327,6360245
38,right,102,0,46798,3424679,35762,3507239
38,right,201,6275103,75100,0,61804,6412007
38,right,202,0,29298,3359366,34517,3423181
39,left,101,9503303,155527,0,18905,9677735
39,left,102,0,50390,5170178,10097,5230665
39,left,201,8838987,150006,0,31226,9020219
39,left,202,0,34352,4432027,27341,4493720
39,right,101,6101532,80847,0,3907,6186286
39,right,102,0,47142,3524127,841,3572110
39,right,201,5570531,89416,0,19969,5679916
39,right,202,0,34042,2653011,0,2687053
40,left,101,10870192,99024,0,194423,11163639
40,left,102,0,11682,5101667,22301,5135650
40,left,201,9587080,83552,0,124679,9795311
40,left,202,0,10667,5355102,35763,5401532
40,right,101,6743437,59925,0,59247,6862609
40,right,102,0,2884,2875690,4086,2882660
40,right,201,5813340,52409,0,43376,5909125
40,right,202,0,4815,3175898,13630,3194343
41,left,101,9707478,297895,0,44432,10049805
41,left,102,0,86763,5616857,49270,5752890
41,left,201,10221979,331003,0,86232,10639214
41,left,202,0,93121,5475979,80924,5650024
41,right,101,6217943,137151,0,17484,6372578
41,right,102,0,43005,3506191,48164,3597360
41,right,201,6848585,212280,0,23752,7084617
41,right,202,0,68146,3309641,49117,3426904
42,left,101,17321519,229490,0,433259,17984268
42,left,102,0,76290,7756259,203587,8036136
42,left,201,16112695,695576,0,520912,17329183
42,left,202,0,71452,7302443,243662,7617557
42,right,101,12016157,133514,0,172650,12322321
42,right,102,0,51900,4844152,89423,4985475
42,right,201,11681095,90582,0,236340,12008017
42,right,202,0,39112,4606026,115179,4760317
43,left,101,9882037,223335,0,38371,10143743
43,left,102,0,62587,5421725,30601,5514913
43,left,201,9325312,145343,0,50505,9521160
43,left,202,0,51430,4896669,16123,4964222
43,right,101,6257568,140524,0,26908,6425000
43,right,102,0,22964,3180901,14908,3218773
43,right,201,5379200,73953,0,36456,5489609
43,right,202,0,33476,2528493,5165,2567134
44,left,101,11160239,168366,0,32575,11361180
44,left,102,0,32299,6020773,23261,6076333
44,left,201,10623343,165109,0,34041,10822493
44,left,202,0,63569,5984598,46762,6094929
44,right,101,5768444,68704,0,8307,5845455
44,right,102,0,12584,2858074,13098,2883756
44,right,201,5355655,86469,0,15637,5457761
44,right,202,0,41816,3022732,12766,3077314
45,left,101,11100110,224498,0,134256,11458864
45,left,102,0,74108,6665612,76271,6815991
45,left,201,11616831,196474,0,105184,11918489
45,left,202,0,52565,6159828,66047,6278440
45,right,101,8433079,259245,0,132823,8825147
45,right,102,0,65484,4999985,75678,5141147
45,right,201,8539072,250855,0,53629,8843556
45,right,202,0,47516,4345392,41478,4434386
46,left,101,9965775,85305,0,38760,10089840
46,left,102,0,52203,4994335,1653,5048191
46,left,201,10975827,143111,0,108827,11227765
46,left,202,0,27179,5475081,51293,5553553
46,right,101,6594636,57854,0,42275,6694765
46,right,102,0,39874,2952071,2595,2994540
46,right,201,7469265,110150,0,126559,7705974
