user,eye,code,n_ev
1,left,102,37377
1,left,101,77941
1,left,201,81753
1,left,202,35994
1,right,102,35643
1,right,101,71261
1,right,202,33031
1,right,201,73994
2,left,102,22614
2,left,101,44662
2,left,202,17707
2,left,201,40541
2,right,102,26155
2,right,101,52899
2,right,202,23778
2,right,201,52315
3,left,102,27320
3,left,101,55769
3,left,202,26540
3,left,201,46406
3,right,102,25761
3,right,101,55888
3,right,202,24469
3,right,201,45680
4,left,102,33559
4,left,101,68171
4,left,202,32234
4,left,201,64421
4,right,102,34023
4,right,101,71983
4,right,202,33637
4,right,201,68845
5,left,102,29067
5,left,101,64281
5,left,202,35242
5,left,201,64121
5,right,102,25145
5,right,101,62058
5,right,202,29708
5,right,201,61183
6,left,102,24888
6,left,101,45238
6,left,201,40062
6,left,202,24721
6,right,102,23095
6,right,101,42449
6,right,202,23706
6,right,201,39137
7,left,102,17909
7,left,101,32868
7,left,202,19124
7,left,201,33636
7,right,102,18432
7,right,101,32728
7,right,202,18706
7,right,201,33659
8,left,102,17553
8,left,101,28280
8,left,202,15770
8,left,201,28161
8,right,102,19137
8,right,101,31373
8,right,201,32010
8,right,202,17647
9,left,102,34900
9,left,101,65141
9,left,202,32132
9,left,201,69045
9,right,102,27719
9,right,101,51048
9,right,202,25118
9,right,201,54207
10,left,102,32291
10,left,101,66162
10,left,202,29148
10,left,201,53114
10,right,102,25827
10,right,101,53915
10,right,201,43680
10,right,202,22730
11,left,102,30478
11,left,101,62506
11,left,201,51555
11,left,202,26772
11,right,102,27529
11,right,101,55486
11,right,202,24372
11,right,201,45930
12,left,102,26199
12,left,101,54076
12,left,201,41693
12,left,202,25406
12,right,102,18929
12,right,101,38711
12,right,202,19684
12,right,201,29833
13,left,102,27880
13,left,101,50628
13,left,202,28441
13,left,201,49608
13,right,102,23955
13,right,101,44030
13,right,201,40738
13,right,202,23030
14,left,102,22048
14,left,101,40380
14,left,201,43761
14,left,202,25287
14,right,102,29000
14,right,101,52180
14,right,202,32251
14,right,201,58114
15,left,102,17688
15,left,101,31683
15,left,202,14222
15,left,201,28992
15,right,102,17909
15,right,101,35026
15,right,202,14155
15,right,201,30118
16,left,102,20721
16,left,101,43760
16,left,202,18676
16,left,201,41953
16,right,102,23606
16,right,101,50656
16,right,201,50895
16,right,202,22710
17,left,102,18008
17,left,101,34780
17,left,202,16648
17,left,201,33289
17,right,102,17562
17,right,101,39742
17,right,202,15482
17,right,201,33742
18,left,102,17251
18,left,101,37322
18,left,201,32881
18,left,202,21049
18,right,102,14394
18,right,101,34573
18,right,202,16677
18,right,201,25333
19,left,102,22346
19,left,101,45662
19,left,202,21855
19,left,201,44663
19,right,102,23801
19,right,101,51853
19,right,202,23174
19,right,201,49951
20,left,102,29237
20,left,101,58092
20,left,202,27422
20,left,201,54174
20,right,102,32939
20,right,101,70663
20,right,202,31809
20,right,201,64998
21,left,102,18858
21,left,101,43923
21,left,202,19089
21,left,201,34138
21,right,102,18383
21,right,101,40524
21,right,201,33903
21,right,202,18843
22,left,102,22589
22,left,101,37599
22,left,202,21390
22,left,201,33918
22,right,101,32237
22,right,102,19637
22,right,202,18248
22,right,201,30679
23,left,102,16535
23,left,101,28583
23,left,202,14041
23,left,201,27266
23,right,102,16259
23,right,101,28325
23,right,201,22778
23,right,202,12099
24,left,102,33715
24,left,101,66166
24,left,202,31158
24,left,201,69768
24,right,102,36533
24,right,101,70805
24,right,202,31573
24,right,201,72469
25,left,102,24476
25,left,101,47272
25,left,202,24578
25,left,201,43843
25,right,101,48170
25,right,102,24394
25,right,202,23897
25,right,201,45325
26,left,102,26100
26,left,101,55612
26,left,202,27026
26,left,201,70125
26,right,102,24150
26,right,101,52310
26,right,202,26943
26,right,201,63742
27,left,101,50355
27,left,102,26516
27,left,202,24341
27,left,201,50076
27,right,102,25788
27,right,101,50653
27,right,201,49273
27,right,202,24281
28,left,102,24107
28,left,101,51260
28,left,201,45655
28,left,202,22632
28,right,102,21309
28,right,101,47998
28,right,201,43563
28,right,202,20186
29,left,102,23942
29,left,101,46391
29,left,202,21890
