user,eye,code,fsacc_raw,fsacc_med3,n_anchor
1,left,102,0.0020341741253051262,0.0020341741253051262,2459
1,left,101,0.012687188019966721,0.012479201331114808,4809
1,left,201,0.015876331731773552,0.015667432630039693,4788
1,left,202,0.003673469387755102,0.003673469387755102,2451
1,right,102,0.002052545155993432,0.002052545155993432,2437
1,right,101,0.013114071606994172,0.0126977518734388,4805
1,right,202,0.003702180172768408,0.003702180172768408,2432
1,right,201,0.016444629475437136,0.01623646960865945,4805
2,left,102,0.0011432926829268292,0.0007621951219512195,2625
2,left,101,0.00839278220730172,0.00839278220730172,4767
2,left,202,0.0003861003861003861,0.0003861003861003861,2591
2,left,201,0.009892654178067775,0.009892654178067775,4752
2,right,102,0.001544998068752414,0.001544998068752414,2590
2,right,101,0.014140987758547911,0.014140987758547911,4739
2,right,202,0.0011668611435239206,0.0011668611435239206,2572
2,right,201,0.015026455026455027,0.015026455026455027,4726
3,left,102,0.005850234009360375,0.0035101404056162248,2565
3,left,101,0.02304817275747508,0.022009966777408636,4817
3,left,202,0.008637612877895563,0.006281900274833137,2548
3,left,201,0.026114649681528664,0.022292993630573247,4711
3,right,102,0.002364998029168309,0.002364998029168309,2538
3,right,101,0.02197112366603892,0.02197112366603892,4780
3,right,202,0.002777777777777778,0.002777777777777778,2521
3,right,201,0.02011986301369863,0.01990582191780822,4673
4,left,102,0.003281378178835111,0.003281378178835111,2439
4,left,101,0.017110266159695818,0.01689902830587241,4735
4,left,202,0.005316973415132925,0.005316973415132925,2446
4,left,201,0.018943380340980847,0.01873289833719217,4752
4,right,102,0.003340292275574113,0.003340292275574113,2396
4,right,101,0.016862326574172894,0.016648879402347917,4686
4,right,202,0.006221484861053505,0.006221484861053505,2412
4,right,201,0.020434227330779056,0.020008514261387826,4699
5,left,102,0.0012062726176115801,0.0012062726176115801,2488
5,left,101,0.010356255178127589,0.010149130074565037,4829
5,left,202,0.003702180172768408,0.003702180172768408,2432
5,left,201,0.013883045856121162,0.013883045856121162,4755
5,right,102,0.0004079967360261118,0.0004079967360261118,2452
5,right,101,0.005851619644723093,0.005851619644723093,4786
5,right,202,0.001266891891891892,0.001266891891891892,2369
5,right,201,0.013475935828877005,0.013262032085561497,4676
6,left,102,0.004106776180698152,0.003696098562628337,2436
6,left,101,0.023456295108259823,0.02285485164394547,4989
6,left,201,0.020610057708161583,0.020610057708161583,4853
6,left,202,0.003304419661296985,0.003304419661296985,2422
6,right,102,0.0033208800332088003,0.0033208800332088003,2410
6,right,101,0.023991935483870967,0.02338709677419355,4961
6,right,202,0.004168403501458941,0.004168403501458941,2400
6,right,201,0.021351575456053068,0.021351575456053068,4825
7,left,102,0.0016346546791990192,0.0016346546791990192,2448
7,left,101,0.0119022760492796,0.0119022760492796,4790
7,left,202,0.002043318348998774,0.002043318348998774,2448
7,left,201,0.012278876170655567,0.01186264308012487,4806
7,right,102,0.002888980602558811,0.0024762690879075525,2424
7,right,101,0.013845185651353053,0.013215859030837005,4768
7,right,202,0.0016522098306484924,0.0016522098306484924,2422
7,right,201,0.012345679012345678,0.012345679012345678,4780
8,left,102,0.0008230452674897119,0.0008230452674897119,2431
