dur,T_sacc,T_blink,n_sacc_ep,n_blink_ep,miss,sacc_sess,user,skip
98.70773665,1.39,0.84,191,6,9,False,1,21
193.760155,6.015,5.5600000000000005,626,25,36,True,1,139
194.720156,7.075,5.16,731,55,81,True,1,129
98.42784420000001,1.455,1.32,205,6,10,False,1,33
97.49904695000001,1.125,0.08,182,1,1,False,1,2
192.63495575,4.72,3.0,539,11,11,True,1,75
97.400078,1.28,0.56,186,3,4,False,1,14
193.720155,6.085,3.2,663,29,39,True,1,80
105.55843370000001,0.99,1.92,182,8,14,False,2,48
191.560154,3.27,4.2,445,11,23,True,2,105
104.120084,0.955,1.76,175,5,13,False,2,44
191.320154,2.97,3.56,426,13,32,True,2,89
104.27187265,1.005,1.76,157,9,17,False,2,44
190.560152,3.86,3.08,433,11,26,True,2,77
103.360082,0.735,1.6400000000000001,129,5,13,False,2,41
190.5789435,4.105,3.0,446,14,39,True,2,75
104.920084,1.465,10.48,237,21,59,False,3,262
194.520156,5.28,11.040000000000001,514,23,47,True,3,276
103.11780765,1.425,4.96,224,16,30,False,3,124
190.960153,4.53,8.6,502,29,64,True,3,215
103.35784140000001,1.215,8.8,211,18,46,False,3,220
193.421332,5.425,9.28,513,27,56,True,3,232
102.160082,1.285,3.2800000000000002,217,15,34,False,3,82
190.000152,4.545,6.88,521,36,78,True,3,172
97.880078,2.2,1.68,331,7,9,False,4,42
190.30261430000002,5.91,2.2,633,13,23,True,4,55
98.1062964,2.12,1.32,305,6,7,False,4,33
190.840152,6.165,3.2,656,15,20,True,4,80
96.880078,2.5,2.2,365,17,27,False,4,55
189.120152,5.905,2.84,644,19,43,True,4,71
97.00779295000001,2.19,1.4000000000000001,314,10,14,False,4,35
189.600152,6.08,3.0,641,24,42,True,4,75
99.61494165,0.75,2.0,129,2,3,False,5,50
193.200155,3.985,2.48,496,2,2,True,5,62
97.480078,1.465,0.48,223,3,6,False,5,12
190.360153,4.605,2.36,555,3,5,True,5,59
98.600079,0.82,1.84,143,7,14,False,5,46
192.120154,3.775,3.04,528,14,18,True,5,76
96.120077,1.53,2.56,256,17,35,False,5,64
189.160151,4.51,5.28,600,33,54,True,5,132
97.440078,0.975,1.8,155,1,1,False,6,45
199.6345442,4.5,2.68,408,1,2,True,6,67
194.27939415,3.825,5.5200000000000005,383,3,4,True,6,138
