user,eye,code,motion,total,blink,valid,fsacc40,fsacc5
1,left,102,smooth,2694,21,2673,0.0024321037697608433,0.014082366648092802
1,left,101,saccade,5070,139,4931,0.013212221304706853,0.031043559042113957
1,left,201,saccade,5094,129,4965,0.014174198849630238,0.036334223500410844
1,left,202,smooth,2687,33,2654,0.005284552845528455,0.014782829565659131
1,right,102,smooth,2664,2,2662,0.0016413623307345096,0.011539053284783836
1,right,101,saccade,5041,75,4966,0.012461059190031152,0.02450293308415096
1,right,202,smooth,2662,14,2648,0.003696098562628337,0.013141683778234086
1,right,201,saccade,5069,80,4989,0.015073301672517034,0.03141131530043362
2,left,102,smooth,2865,48,2817,0.001516300227445034,0.009378996731561746
2,left,101,saccade,5017,105,4912,0.008770098141574442,0.01707036959699311
2,left,202,smooth,2830,44,2786,0.000384172109104879,0.009172109104878985
2,left,201,saccade,5009,89,4920,0.010035542546518922,0.015523729876646457
2,right,102,smooth,2833,44,2789,0.0015349194167306216,0.00963843866884051
2,right,101,saccade,4991,77,4914,0.01343408900083963,0.020256087321578506
2,right,202,smooth,2810,41,2769,0.0011609907120743034,0.007111068111455108
2,right,201,saccade,4990,75,4915,0.015113350125944584,0.02154007608553063
3,left,102,smooth,2870,262,2608,0.00533739992375143,0.013963019443385436
3,left,101,saccade,5090,276,4814,0.02179724449928028,0.027143738433066007
3,left,202,smooth,2804,124,2680,0.0038804811796662787,0.013819521893032052
3,left,201,saccade,5003,215,4788,0.020527859237536656,0.023722245496439046
3,right,102,smooth,2844,220,2624,0.004258614014711576,0.011755599632335155
3,right,101,saccade,5061,232,4829,0.02295760082730093,0.028047771688553408
3,right,202,smooth,2780,82,2698,0.003523884103367267,0.012578308535630384
3,right,201,saccade,4980,172,4808,0.019578947368421053,0.023921052631578947
4,left,102,smooth,2674,42,2632,0.0036779730281977932,0.022476501838986515
4,left,101,saccade,4975,55,4920,0.01765818793357158,0.031056227009984234
4,left,202,smooth,2679,33,2646,0.004893964110929853,0.0216095000254829
4,left,201,saccade,4998,80,4918,0.01886396981764829,0.0323045483127227
4,right,102,smooth,2649,55,2594,0.0037159372419488025,0.025805119735755572
4,right,101,saccade,4946,71,4875,0.01670896785109983,0.031223561759729273
4,right,202,smooth,2651,35,2616,0.00577319587628866,0.022576155868254212
4,right,201,saccade,4966,75,4891,0.020042194092827006,0.032067510548523206
5,left,102,smooth,2716,50,2666,0.0012048192771084338,0.007529364521634374
5,left,101,saccade,5058,62,4996,0.009730848861283644,0.020626293995859215
5,left,202,smooth,2664,12,2652,0.003282724661469019,0.015028723840787853
5,left,201,saccade,4986,59,4927,0.013868459760453877,0.024191006513973524
5,right,102,smooth,2691,46,2645,0.0008113590263691683,0.008316430020283976
5,right,101,saccade,5029,76,4953,0.006870705808869456,0.019649177597334998
5,right,202,smooth,2629,64,2565,0.0020807324178110697,0.015917602996254682
5,right,201,saccade,4955,132,4823,0.013533516599703954,0.0238422499471347
6,left,102,smooth,2663,45,2618,0.003694581280788177,0.01000615763546798
6,left,101,saccade,5217,67,5150,0.022645290581162325,0.022541702148975606
6,left,201,saccade,5082,138,4944,0.02018121911037891,0.019688585767597477
6,left,202,smooth,2651,18,2633,0.00288659793814433,0.010615820664777119
6,right,102,smooth,2636,18,2618,0.0033208800332088003,0.010792860107928601
6,right,101,saccade,5186,36,5150,0.0237807335751713,0.021786766743067273
6,right,202,smooth,2627,15,2612,0.003748438150770512,0.011970438222129696
6,right,201,saccade,5056,112,4944,0.021743632221992132,0.018818595982605095
7,left,102,smooth,2674,19,2655,0.0016346546791990192,0.009297098487944421
7,left,101,saccade,5016,53,4963,0.012108559498956159,0.014744258872651357
7,left,202,smooth,2674,17,2657,0.0016346546791990192,0.008835997752694212
7,left,201,saccade,5033,25,5008,0.01227632126508531,0.015163337494798168
7,right,102,smooth,2648,19,2629,0.002888980602558811,0.01010986743694228
7,right,101,saccade,4994,32,4962,0.01363255033557047,0.015257969798657718
7,right,202,smooth,2649,16,2633,0.0016508460586050352,0.009079653322327692
7,right,201,saccade,5007,21,4986,0.011294708220037648,0.01579002405103001
8,left,102,smooth,2683,125,2558,0.0016286644951140066,0.010891693811074918
8,left,101,saccade,5164,206,4958,0.010330160016204173,0.011191006684221187
8,left,202,smooth,2645,118,2527,0.00041356492969396195,0.01064929693961952
8,left,201,saccade,5162,276,4886,0.010536980749746707,0.012284701114488348
8,right,102,smooth,2658,118,2540,0.0020567667626491155,0.010849444672974084
8,right,101,saccade,5137,168,4969,0.012016293279022403,0.012805498981670061
8,right,201,saccade,5134,338,4796,0.012428687856560717,0.01426242868785656
8,right,202,smooth,2621,129,2492,0.0004175365344467641,0.010542797494780794
9,left,102,smooth,2857,62,2795,0.002661596958174905,0.012214828897338404
9,left,101,saccade,4971,46,4925,0.021500843170320406,0.029008800126468882
9,left,202,smooth,2796,14,2782,0.0023355391202802647,0.013332035811599844
9,left,201,saccade,5006,22,4984,0.024691358024691357,0.03256434400502197
9,right,102,smooth,2829,33,2796,0.0011529592621060721,0.007302075326671791
9,right,101,saccade,4943,8,4935,0.015687937248251006,0.021067415730337078
9,right,202,smooth,2769,12,2757,0.0011792452830188679,0.008009040880503145
9,right,201,saccade,4980,12,4968,0.01851072780816155,0.02295435422801851
10,left,102,smooth,2855,98,2757,0.004185692541856925,0.014694692790564961
10,left,101,saccade,5071,126,4945,0.019405450041288193,0.029985549132947976
10,left,202,smooth,2870,102,2768,0.001513431706394249,0.013238770685579196
10,left,201,saccade,4994,75,4919,0.014471476510067114,0.024403669724770642
10,right,102,smooth,2825,74,2751,0.004234026173979984,0.013227513227513227
10,right,101,saccade,5045,121,4924,0.016811955168119553,0.025809966019039714
10,right,201,saccade,4971,125,4846,0.013490725126475547,0.020420531197301854
10,right,202,smooth,2840,114,2726,0.0015308075009567547,0.010427129669488689
11,left,102,smooth,2877,94,2783,0.0022641509433962265,0.00919637804187889
11,left,101,saccade,5046,172,4874,0.01991701244813278,0.03117219917012448
11,left,201,saccade,5011,137,4874,0.016722408026755852,0.024979096989966556
11,left,202,smooth,2877,57,2820,0.0022641509433962265,0.007215279415232256
11,right,102,smooth,2848,69,2779,0.001524390243902439,0.008288871951219513
11,right,101,saccade,5019,137,4882,0.01961602671118531,0.026737270450751253
11,right,202,smooth,2852,33,2819,0.0019047619047619048,0.005998571768626518
11,right,201,saccade,4982,106,4876,0.016400336417157275,0.02297098402018503
12,left,102,smooth,2792,34,2758,0.002338269680436477,0.011691348402182385
12,left,101,saccade,4981,73,4908,0.02503155237694573,0.03005363904080774
12,left,201,saccade,4973,83,4890,0.020864067439409904,0.023735511064278188
12,left,202,smooth,2794,21,2773,0.0038955979742890533,0.011832878846902999
12,right,102,smooth,2768,32,2736,0.0011801730920535012,0.00870377655389457
12,right,101,saccade,4956,56,4900,0.017551279340241067,0.020009515753859168
12,right,202,smooth,2771,24,2747,0.002357563850687623,0.00962341041881475
12,right,201,saccade,4946,68,4878,0.015469379105742743,0.01382708200890019
13,left,102,smooth,2803,30,2773,0.001941747572815534,0.013396107363005387
13,left,101,saccade,4990,80,4910,0.021834977955070334,0.026427671635523828
13,left,202,smooth,2780,3,2777,0.004700352526439483,0.015568393224321943
13,left,201,saccade,5010,55,4955,0.025088856366297305,0.02676144679071712
13,right,102,smooth,2781,8,2773,0.0011741682974559687,0.007531667237247518
13,right,101,saccade,4963,49,4914,0.012246621621621621,0.018449113175675675
13,right,201,saccade,4978,22,4956,0.013888888888888888,0.01825547138047138
13,right,202,smooth,2754,1,2753,0.0007914523149980214,0.00914799980220541
14,left,102,smooth,2869,81,2788,0.0026495079485238456,0.012249917230288985
14,left,101,saccade,5046,165,4881,0.012658227848101266,0.01670471052085495
14,left,201,saccade,5053,193,4860,0.011396601740571902,0.019008649712539495
14,left,202,smooth,2881,64,2817,0.0011303692539562924,0.01271665410700829
14,right,102,smooth,2841,53,2788,0.004973221117061974,0.015063121652639632
14,right,101,saccade,5020,135,4885,0.017316920509075736,0.023237012309618194
14,right,202,smooth,2837,66,2771,0.003063960168517809,0.01354520652850237
14,right,201,saccade,5023,149,4874,0.01459245361684386,0.02363456326870961
15,left,102,smooth,2804,64,2740,0.007372914241365929,0.015036864571206829
15,left,101,saccade,5017,66,4951,0.027348643006263048,0.018319415448851774
15,left,202,smooth,2787,58,2729,0.00390625,0.011669921875
15,left,201,saccade,5040,227,4813,0.02534275031159119,0.0159171167428334
15,right,102,smooth,2780,42,2738,0.00548159749412686,0.011110023492560689
15,right,101,saccade,4986,33,4953,0.02059256146249212,0.016389997898718218
15,right,202,smooth,2760,33,2727,0.0027624309392265192,0.010112470402525652
15,right,201,saccade,5014,163,4851,0.02109440267335004,0.013079573934837092
16,left,102,smooth,2662,81,2581,0.00041050903119868636,0.007389162561576354
16,left,101,saccade,5006,138,4868,0.008369951872776732,0.017442924762676847
16,left,202,smooth,2644,111,2533,0.0008274720728175424,0.008223003723624328
16,left,201,saccade,4953,148,4805,0.006558070657922572,0.01552253014596996
16,right,102,smooth,2637,58,2579,0.0008298755186721991,0.007985066887897957
16,right,101,saccade,4983,87,4896,0.009882253994953743,0.01958052985702271
16,right,201,saccade,4927,92,4835,0.010423314188470539,0.01980961497553712
16,right,202,smooth,2620,73,2547,0.0008357709987463436,0.008775595486836606
17,left,102,smooth,2665,148,2517,0.0004100041000410004,0.011941369413694137
17,left,101,saccade,5189,353,4836,0.014711809754131399,0.016070933776669436
17,left,202,smooth,2688,245,2443,0.0077204388459975615,0.013967899227956115
17,left,201,saccade,5082,463,4619,0.015032948929159802,0.016757619439868206
17,right,102,smooth,2641,105,2536,0.0016563146997929607,0.011801242236024845
17,right,101,saccade,5162,326,4836,0.017223910840932118,0.01749943019221516
17,right,202,smooth,2662,223,2439,0.008620689655172414,0.012618620159015131
