Subject,Split,InVal,Fixation,Saccade,Smooth,Blink,Total,Fixation_%,Saccade_%,Smooth_%,Blink_%
1,Train,False,19851,0,10636,493,30980,64.08,0.0,34.33,1.59
2,Train,False,19661,0,11161,523,31345,62.72,0.0,35.61,1.67
3,Train,False,19238,0,10610,1583,31431,61.21,0.0,33.76,5.04
4,Train,False,19604,0,10488,446,30538,64.2,0.0,34.34,1.46
5,Train,False,19699,0,10528,501,30728,64.11,0.0,34.26,1.63
6,Train,False,20188,0,10481,449,31118,64.88,0.0,33.68,1.44
7,Train,False,19919,0,10574,202,30695,64.89,0.0,34.45,0.66
8,Train,False,19609,0,10117,1478,31204,62.84,0.0,32.42,4.74
9,Train,False,19812,0,11130,209,31151,63.6,0.0,35.73,0.67
10,Train,False,19634,0,11002,835,31471,62.39,0.0,34.96,2.65
11,Train,False,19506,0,11201,805,31512,61.9,0.0,35.55,2.55
12,Train,False,19576,0,11011,391,30978,63.19,0.0,35.54,1.26
13,Train,False,19735,0,11076,248,31059,63.54,0.0,35.66,0.8
14,Train,False,19500,0,11164,906,31570,61.77,0.0,35.36,2.87
15,Train,False,19568,0,10933,686,31187,62.74,0.0,35.06,2.2
16,Train,False,19404,0,10240,788,30432,63.76,0.0,33.65,2.59
17,Train,False,18902,0,9935,2306,31143,60.69,0.0,31.9,7.4
18,Train,False,19930,0,10361,477,30768,64.78,0.0,33.67,1.55
19,Train,False,20107,0,11126,273,31506,63.82,0.0,35.31,0.87
20,Train,False,18488,0,10713,1726,30927,59.78,0.0,34.64,5.58
21,Train,False,19652,0,11174,303,31129,63.13,0.0,35.9,0.97
22,Train,False,19818,0,11065,173,31056,63.81,0.0,35.63,0.56
23,Train,False,19727,0,10533,393,30653,64.36,0.0,34.36,1.28
24,Train,False,19969,0,10513,830,31312,63.77,0.0,33.57,2.65
25,Train,False,19937,0,10385,491,30813,64.7,0.0,33.7,1.59
26,Train,False,19333,0,10254,1230,30817,62.73,0.0,33.27,3.99
27,Train,False,19772,0,10500,423,30695,64.41,0.0,34.21,1.38
28,Train,False,19756,0,10412,487,30655,64.45,0.0,33.97,1.59
29,Train,False,18724,0,10085,1761,30570,61.25,0.0,32.99,5.76
30,Train,False,19585,0,10514,751,30850,63.48,0.0,34.08,2.43
31,Train,False,19616,0,11040,337,30993,63.29,0.0,35.62,1.09
32,Train,False,19417,0,10674,1114,31205,62.22,0.0,34.21,3.57
33,Train,False,19886,0,10734,219,30839,64.48,0.0,34.81,0.71
34,Train,False,19735,0,10624,548,30907,63.85,0.0,34.37,1.77
35,Train,False,19623,0,11113,822,31558,62.18,0.0,35.21,2.6
36,Train,False,19824,0,11237,201,31262,63.41,0.0,35.94,0.64
37,Test,True,19909,0,11044,281,31234,63.74,0.0,35.36,0.9
38,Test,False,19378,0,10382,791,30551,63.43,0.0,33.98,2.59
39,Test,False,19840,0,10532,122,30494,65.06,0.0,34.54,0.4
40,Test,True,19752,0,11005,664,31421,62.86,0.0,35.02,2.11
41,Test,False,19562,0,11122,647,31331,62.44,0.0,35.5,2.07
42,Test,False,18820,0,10919,1527,31266,60.19,0.0,34.92,4.88
43,Test,False,19561,0,11177,533,31271,62.55,0.0,35.74,1.7
44,Test,False,19742,0,11024,217,30983,63.72,0.0,35.58,0.7
45,Test,True,19423,0,11184,633,31240,62.17,0.0,35.8,2.03
46,Test,False,19696,0,11013,607,31316,62.89,0.0,35.17,1.94
47,Test,False,19722,0,10993,372,31087,63.44,0.0,35.36,1.2
48,Test,True,19432,0,10939,879,31250,62.18,0.0,35.0,2.81
