Subject,Split,InVal,Fixation,Saccade,Smooth,Blink,Total,Fixation_%,Saccade_%,Smooth_%,Blink_%
1,Train,False,39156,2456,21204,493,63309,61.85,3.88,33.49,0.78
2,Train,False,38856,1968,22296,523,63643,61.05,3.09,35.03,0.82
3,Train,False,37662,3624,21130,1583,63999,58.85,5.66,33.02,2.47
4,Train,False,38490,3256,20882,446,63074,61.02,5.16,33.11,0.71
5,Train,False,38966,1888,21018,501,62373,62.47,3.03,33.7,0.8
6,Train,False,39484,3856,20890,449,64679,61.05,5.96,32.3,0.69
7,Train,False,39346,2128,21106,202,62782,62.67,3.39,33.62,0.32
8,Train,False,38774,1864,20212,1478,62328,62.21,2.99,32.43,2.37
9,Train,False,38828,3352,22220,209,64609,60.1,5.19,34.39,0.32
10,Train,False,38638,2776,21940,835,64189,60.19,4.32,34.18,1.3
11,Train,False,38304,3016,22358,805,64483,59.4,4.68,34.67,1.25
12,Train,False,38380,3304,21974,391,64049,59.92,5.16,34.31,0.61
13,Train,False,38748,3072,22104,248,64172,60.38,4.79,34.44,0.39
14,Train,False,38454,2448,22262,906,64070,60.02,3.82,34.75,1.41
15,Train,False,38212,4120,21762,686,64780,58.99,6.36,33.59,1.06
16,Train,False,38466,1424,20466,788,61144,62.91,2.33,33.47,1.29
17,Train,False,37194,2800,19780,2306,62080,59.91,4.51,31.86,3.71
18,Train,False,39756,480,20704,477,61417,64.73,0.78,33.71,0.78
19,Train,False,39796,1792,22222,273,64083,62.1,2.8,34.68,0.43
20,Train,False,36060,4328,21264,1726,63378,56.9,6.83,33.55,2.72
21,Train,False,39210,512,22314,303,62339,62.9,0.82,35.79,0.49
22,Train,False,38970,2848,22086,173,64077,60.82,4.44,34.47,0.27
23,Train,False,39090,1576,21038,393,62097,62.95,2.54,33.88,0.63
24,Train,False,39376,2376,20994,830,63576,61.94,3.74,33.02,1.31
25,Train,False,39060,3504,20708,491,63763,61.26,5.5,32.48,0.77
26,Train,False,37786,4032,20380,1230,63428,59.57,6.36,32.13,1.94
27,Train,False,38680,3816,20914,423,63833,60.6,5.98,32.76,0.66
28,Train,False,38840,2976,20752,487,63055,61.6,4.72,32.91,0.77
29,Train,False,36620,3960,20010,1761,62351,58.73,6.35,32.09,2.82
30,Train,False,38314,4056,20870,751,63991,59.87,6.34,32.61,1.17
31,Train,False,38726,2144,22050,337,63257,61.22,3.39,34.86,0.53
32,Train,False,38678,752,21328,1114,61872,62.51,1.22,34.47,1.8
33,Train,False,38670,4912,21348,219,65149,59.36,7.54,32.77,0.34
34,Train,False,38224,5440,21136,548,65348,58.49,8.32,32.34,0.84
35,Train,False,38190,4632,22128,822,65772,58.06,7.04,33.64,1.25
36,Train,False,38968,3096,22386,201,64651,60.27,4.79,34.63,0.31
37,Test,True,39290,2200,22072,281,63843,61.54,3.45,34.57,0.44
38,Test,False,38318,1904,20732,791,61745,62.06,3.08,33.58,1.28
39,Test,False,39504,760,21056,122,61442,64.29,1.24,34.27,0.2
40,Test,True,39206,1232,22000,664,63102,62.13,1.95,34.86,1.05
41,Test,False,37984,5320,22056,647,66007,57.55,8.06,33.41,0.98
42,Test,False,36990,2824,21784,1527,63125,58.6,4.47,34.51,2.42
43,Test,False,38278,3504,22326,533,64641,59.22,5.42,34.54,0.82
44,Test,False,39196,1280,22020,217,62713,62.5,2.04,35.11,0.35
45,Test,True,38194,2840,22310,633,63977,59.7,4.44,34.87,0.99
46,Test,False,39216,824,22000,607,62647,62.6,1.32,35.12,0.97
47,Test,False,38928,2280,21934,372,63514,61.29,3.59,34.53,0.59
48,Test,True,38600,1184,21846,879,62509,61.75,1.89,34.95,1.41
