Subject,Fixation,Saccade,Smooth,Blink,Total_bins,Fixation_%,Saccade_%,Smooth_%,Blink_%
1,31548,5824,18561,6032,61965,50.91,9.4,29.95,9.73
2,32443,5458,19382,5411,62694,51.75,8.71,30.92,8.63
3,30855,6266,18332,7411,62864,49.08,9.97,29.16,11.79
4,30016,6444,16400,8222,61082,49.14,10.55,26.85,13.46
5,30550,6672,17831,6409,61462,49.71,10.86,29.01,10.43
6,34558,4564,18612,4502,62236,55.53,7.33,29.91,7.23
7,32885,4949,18538,5018,61390,53.57,8.06,30.2,8.17
8,32394,6000,17630,6386,62410,51.91,9.61,28.25,10.23
9,32203,5000,18839,6276,62318,51.68,8.02,30.23,10.07
10,31858,5307,20130,5646,62941,50.62,8.43,31.98,8.97
11,31982,4756,20108,6179,63025,50.74,7.55,31.9,9.8
12,32175,4563,18820,6407,61965,51.92,7.36,30.37,10.34
13,33711,5652,18545,4209,62117,54.27,9.1,29.85,6.78
14,31892,6474,19214,5564,63144,50.51,10.25,30.43,8.81
15,31877,5776,18688,6038,62379,51.1,9.26,29.96,9.68
16,33042,6131,18495,3201,60869,54.28,10.07,30.38,5.26
17,30226,8126,17227,6708,62287,48.53,13.05,27.66,10.77
18,35125,5663,18695,2056,61539,57.08,9.2,30.38,3.34
19,33207,5404,19204,5201,63016,52.7,8.58,30.47,8.25
20,29051,6419,17797,8593,61860,46.96,10.38,28.77,13.89
21,34638,5264,20482,1875,62259,55.64,8.46,32.9,3.01
22,33194,4533,18988,5401,62116,53.44,7.3,30.57,8.7
23,33325,5128,18007,4850,61310,54.35,8.36,29.37,7.91
24,34459,4456,18222,5487,62624,55.03,7.12,29.1,8.76
25,34479,4101,18612,4440,61632,55.94,6.65,30.2,7.2
26,31568,6095,18135,5839,61637,51.22,9.89,29.42,9.47
27,127117,4142,17788,14348,163395,77.8,2.53,10.89,8.78
28,32846,4822,17354,6290,61312,53.57,7.86,28.3,10.26
29,31003,5834,17816,6495,61148,50.7,9.54,29.14,10.62
30,32507,4640,18147,6407,61701,52.68,7.52,29.41,10.38
31,32032,5805,18146,6006,61989,51.67,9.36,29.27,9.69
32,32179,6342,19478,4424,62423,51.55,10.16,31.2,7.09
33,34004,3755,17980,5948,61687,55.12,6.09,29.15,9.64
34,32909,4722,17788,6400,61819,53.23,7.64,28.77,10.35
35,31538,5652,19295,6641,63126,49.96,8.95,30.57,10.52
36,31768,5891,18609,6262,62530,50.8,9.42,29.76,10.01
37,33103,4935,19334,5105,62477,52.98,7.9,30.95,8.17
38,31928,4996,17987,6198,61109,52.25,8.18,29.43,10.14
39,32915,5340,18482,4258,60995,53.96,8.75,30.3,6.98
40,33014,4563,20529,4737,62843,52.53,7.26,32.67,7.54
41,31988,5149,18663,6865,62665,51.05,8.22,29.78,10.96
42,29199,5412,18196,9730,62537,46.69,8.65,29.1,15.56
43,32786,5201,18722,5835,62544,52.42,8.32,29.93,9.33
44,31655,5197,18281,6842,61975,51.08,8.39,29.5,11.04
45,32728,6114,19552,4091,62485,52.38,9.78,31.29,6.55
46,32388,6049,19369,4832,62638,51.71,9.66,30.92,7.71
47,32862,5101,18572,5643,62178,52.85,8.2,29.87,9.08
48,30841,6149,17750,7761,62501,49.34,9.84,28.4,12.42
All,1646571,260836,891332,284479,3083218,53.4,8.46,28.91,9.23
