Subj,N_F,N_EV,I_S@0.3,R_S@0.3,I_T@0.3,I_S@0.5,R_S@0.5,I_T@0.5,I_S@0.7,R_S@0.7,I_T@0.7
37,30953,247624,578,0.23,247046,1094,0.44,246530,2029,0.82,245595
38,29760,238080,594,0.25,237486,1111,0.47,236969,2014,0.85,236066
39,30372,242976,512,0.21,242464,1031,0.42,241945,2071,0.85,240905
40,30757,246056,468,0.19,245588,950,0.39,245106,1875,0.76,244181
41,30684,245472,816,0.33,244656,1405,0.57,244067,2401,0.98,243071
42,29739,237912,624,0.26,237288,1124,0.47,236788,1992,0.84,235920
43,30738,245904,632,0.26,245272,1170,0.48,244734,2032,0.83,243872
44,30766,246128,555,0.23,245573,1072,0.44,245056,2123,0.86,244005
45,30607,244856,587,0.24,244269,1115,0.46,243741,1972,0.81,242884
46,30709,245672,541,0.22,245131,1060,0.43,244612,2131,0.87,243541
47,30715,245720,597,0.24,245123,1084,0.44,244636,2002,0.81,243718
48,30371,242968,546,0.22,242422,1063,0.44,241905,2116,0.87,240852
