Subject,Split,InVal,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-100,100-200,200-300,300-400,400-800,800-1200,1200+,Total,0-1 %,1-2 %,2-3 %,3-4 %,4-5 %,5-6 %,6-7 %,7-8 %,8-9 %,9-10 %,10-15 %,15-20 %,20-25 %,25-30 %,30-35 %,35-40 %,40-45 %,45-50 %,50-100 %,100-200 %,200-300 %,300-400 %,400-800 %,800-1200 %,1200+ %
1,Train,False,152116,1993,2122,2156,1876,1808,1931,1544,1642,1584,6480,5073,3918,3132,2495,2120,1852,1708,10084,9312,5687,4114,6710,1082,832,233371,65.182,0.854,0.909,0.924,0.804,0.775,0.827,0.662,0.704,0.679,2.777,2.174,1.679,1.342,1.069,0.908,0.794,0.732,4.321,3.99,2.437,1.763,2.875,0.464,0.357
2,Train,False,170102,1709,1903,1792,1567,1522,1617,1341,1346,1333,5327,4195,3331,2675,2111,1848,1555,1456,8570,7902,4701,2869,4451,651,390,236264,71.997,0.723,0.805,0.758,0.663,0.644,0.684,0.568,0.57,0.564,2.255,1.776,1.41,1.132,0.893,0.782,0.658,0.616,3.627,3.345,1.99,1.214,1.884,0.276,0.165
3,Train,False,162548,1806,1877,1915,1642,1614,1762,1416,1462,1415,5664,4411,3397,2671,2217,1977,1779,1642,9941,9722,5428,3135,5388,913,748,236490,68.734,0.764,0.794,0.81,0.694,0.682,0.745,0.599,0.618,0.598,2.395,1.865,1.436,1.129,0.937,0.836,0.752,0.694,4.204,4.111,2.295,1.326,2.278,0.386,0.316
4,Train,False,159267,1621,1711,1623,1514,1288,1518,1132,1206,1185,4707,3729,3053,2416,1967,1723,1536,1414,8766,8933,5850,4167,7721,1206,693,229946,69.263,0.705,0.744,0.706,0.658,0.56,0.66,0.492,0.524,0.515,2.047,1.622,1.328,1.051,0.855,0.749,0.668,0.615,3.812,3.885,2.544,1.812,3.358,0.524,0.301
5,Train,False,153225,1832,1885,1869,1744,1612,1869,1424,1486,1470,5881,4704,3900,3106,2503,2113,1907,1666,10004,9850,5998,4122,6061,761,338,231330,66.237,0.792,0.815,0.808,0.754,0.697,0.808,0.616,0.642,0.635,2.542,2.033,1.686,1.343,1.082,0.913,0.824,0.72,4.325,4.258,2.593,1.782,2.62,0.329,0.146
6,Train,False,169017,1920,1946,2128,1800,1656,1892,1436,1534,1507,5725,4421,3345,2671,2092,1791,1596,1399,7651,7077,3687,2480,4528,615,581,234495,72.077,0.819,0.83,0.907,0.768,0.706,0.807,0.612,0.654,0.643,2.441,1.885,1.426,1.139,0.892,0.764,0.681,0.597,3.263,3.018,1.572,1.058,1.931,0.262,0.248
7,Train,False,171319,1789,1775,1794,1678,1467,1681,1277,1323,1307,5123,3990,3103,2270,1769,1595,1372,1282,7272,6907,3912,2411,3631,518,525,231090,74.135,0.774,0.768,0.776,0.726,0.635,0.727,0.553,0.573,0.566,2.217,1.727,1.343,0.982,0.766,0.69,0.594,0.555,3.147,2.989,1.693,1.043,1.571,0.224,0.227
8,Train,False,176210,1667,1729,1783,1587,1540,1670,1316,1283,1275,5198,3956,2972,2169,1781,1544,1349,1229,6902,6691,3780,2960,3209,568,752,235120,74.945,0.709,0.735,0.758,0.675,0.655,0.71,0.56,0.546,0.542,2.211,1.683,1.264,0.923,0.757,0.657,0.574,0.523,2.936,2.846,1.608,1.259,1.365,0.242,0.32
9,Train,False,167952,1853,1944,1906,1763,1572,1768,1369,1459,1355,5517,4239,3344,2569,2031,1796,1514,1377,7595,7064,4550,3194,5746,865,372,234714,71.556,0.789,0.828,0.812,0.751,0.67,0.753,0.583,0.622,0.577,2.351,1.806,1.425,1.095,0.865,0.765,0.645,0.587,3.236,3.01,1.939,1.361,2.448,0.369,0.158
10,Train,False,160491,2154,2198,2274,1940,1760,1810,1576,1573,1592,6198,4742,3814,2870,2405,2042,1907,1728,10511,8955,4897,2888,5376,959,620,237280,67.638,0.908,0.926,0.958,0.818,0.742,0.763,0.664,0.663,0.671,2.612,1.998,1.607,1.21,1.014,0.861,0.804,0.728,4.43,3.774,2.064,1.217,2.266,0.404,0.261
