Subject,Split,InVal,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-100,100-200,200-300,300-400,400-800,800-1200,1200+,Total,0-1 %,1-2 %,2-3 %,3-4 %,4-5 %,5-6 %,6-7 %,7-8 %,8-9 %,9-10 %,10-15 %,15-20 %,20-25 %,25-30 %,30-35 %,35-40 %,40-45 %,45-50 %,50-100 %,100-200 %,200-300 %,300-400 %,400-800 %,800-1200 %,1200+ %
1,Train,False,1704,3279,3359,2812,2224,1639,1221,992,753,646,2007,1223,839,705,437,357,242,203,1375,1377,673,363,546,2,0,28978,5.88,11.315,11.592,9.704,7.675,5.656,4.214,3.423,2.599,2.229,6.926,4.22,2.895,2.433,1.508,1.232,0.835,0.701,4.745,4.752,2.322,1.253,1.884,0.007,0.0
2,Train,False,2152,4057,3811,3080,2237,1590,1193,871,691,537,1607,996,767,670,403,308,234,236,1362,1277,522,298,455,0,0,29354,7.331,13.821,12.983,10.493,7.621,5.417,4.064,2.967,2.354,1.829,5.475,3.393,2.613,2.282,1.373,1.049,0.797,0.804,4.64,4.35,1.778,1.015,1.55,0.0,0.0
3,Train,False,1854,3534,3356,2641,1892,1464,1100,820,720,598,2022,1284,981,635,474,380,265,256,1642,1494,664,361,648,38,22,29145,6.361,12.126,11.515,9.062,6.492,5.023,3.774,2.814,2.47,2.052,6.938,4.406,3.366,2.179,1.626,1.304,0.909,0.878,5.634,5.126,2.278,1.239,2.223,0.13,0.075
4,Train,False,2380,4206,3677,2830,1973,1448,1089,859,662,541,1546,770,512,337,293,227,229,236,1457,1354,725,467,736,3,0,28557,8.334,14.728,12.876,9.91,6.909,5.071,3.813,3.008,2.318,1.894,5.414,2.696,1.793,1.18,1.026,0.795,0.802,0.826,5.102,4.741,2.539,1.635,2.577,0.011,0.0
5,Train,False,2032,3623,3389,2622,1915,1399,1028,875,697,555,1829,1093,778,713,516,418,299,227,1511,1473,763,494,530,0,0,28779,7.061,12.589,11.776,9.111,6.654,4.861,3.572,3.04,2.422,1.928,6.355,3.798,2.703,2.478,1.793,1.452,1.039,0.789,5.25,5.118,2.651,1.717,1.842,0.0,0.0
6,Train,False,2268,4184,3767,2975,2204,1519,1093,863,669,533,1744,1025,800,739,546,390,243,186,1073,965,548,282,650,22,0,29288,7.744,14.286,12.862,10.158,7.525,5.186,3.732,2.947,2.284,1.82,5.955,3.5,2.731,2.523,1.864,1.332,0.83,0.635,3.664,3.295,1.871,0.963,2.219,0.075,0.0
7,Train,False,2385,4165,3676,2768,1953,1530,1195,872,706,579,1750,1063,778,607,468,305,255,199,1178,1144,486,338,476,2,0,28878,8.259,14.423,12.729,9.585,6.763,5.298,4.138,3.02,2.445,2.005,6.06,3.681,2.694,2.102,1.621,1.056,0.883,0.689,4.079,3.961,1.683,1.17,1.648,0.007,0.0
8,Train,False,2345,4023,3792,3041,2318,1590,1212,944,678,522,1653,1036,834,522,312,211,188,153,1082,1013,551,441,554,0,0,29015,8.082,13.865,13.069,10.481,7.989,5.48,4.177,3.253,2.337,1.799,5.697,3.571,2.874,1.799,1.075,0.727,0.648,0.527,3.729,3.491,1.899,1.52,1.909,0.0,0.0
9,Train,False,2374,4407,4134,3043,2206,1625,1171,901,707,541,1610,1049,765,421,264,184,168,165,936,1117,558,318,609,19,0,29292,8.105,15.045,14.113,10.389,7.531,5.548,3.998,3.076,2.414,1.847,5.496,3.581,2.612,1.437,0.901,0.628,0.574,0.563,3.195,3.813,1.905,1.086,2.079,0.065,0.0
10,Train,False,2394,4239,3623,2540,1645,1256,998,770,623,542,2144,1581,1165,812,565,402,285,207,1288,1234,398,273,567,4,0,29555,8.1,14.343,12.259,8.594,5.566,4.25,3.377,2.605,2.108,1.834,7.254,5.349,3.942,2.747,1.912,1.36,0.964,0.7,4.358,4.175,1.347,0.924,1.918,0.014,0.0
