Subject,Split,InVal,Fixation,Saccade,Smooth,Blink,Total,Fixation_%,Saccade_%,Smooth_%,Blink_%
1,Train,False,17196,3174,10117,493,30980,55.51,10.25,32.66,1.59
2,Train,False,17456,2937,10429,523,31345,55.69,9.37,33.27,1.67
3,Train,False,16608,3373,9867,1583,31431,52.84,10.73,31.39,5.04
4,Train,False,17087,3668,9336,446,30537,55.96,12.01,30.57,1.46
5,Train,False,16774,3663,9790,501,30728,54.59,11.92,31.86,1.63
6,Train,False,18358,2424,9887,449,31118,58.99,7.79,31.77,1.44
7,Train,False,17788,2677,10028,202,30695,57.95,8.72,32.67,0.66
8,Train,False,17188,3184,9354,1478,31204,55.08,10.2,29.98,4.74
9,Train,False,17780,2761,10401,209,31151,57.08,8.86,33.39,0.67
10,Train,False,17035,2838,10764,835,31472,54.13,9.02,34.2,2.65
11,Train,False,17276,2569,10862,805,31512,54.82,8.15,34.47,2.55
12,Train,False,17714,2512,10361,391,30978,57.18,8.11,33.45,1.26
13,Train,False,17937,3007,9867,248,31059,57.75,9.68,31.77,0.8
14,Train,False,16984,3448,10232,906,31570,53.8,10.92,32.41,2.87
15,Train,False,17257,3127,10117,686,31187,55.33,10.03,32.44,2.2
16,Train,False,16985,3152,9507,788,30432,55.81,10.36,31.24,2.59
17,Train,False,15683,4216,8938,2306,31143,50.36,13.54,28.7,7.4
18,Train,False,17887,2884,9520,477,30768,58.14,9.37,30.94,1.55
19,Train,False,17939,2919,10374,273,31505,56.94,9.27,32.93,0.87
20,Train,False,15926,3519,9756,1726,30927,51.5,11.38,31.55,5.58
21,Train,False,17683,2687,10456,303,31129,56.81,8.63,33.59,0.97
22,Train,False,18075,2468,10340,173,31056,58.2,7.95,33.29,0.56
23,Train,False,17861,2748,9651,393,30653,58.27,8.96,31.48,1.28
24,Train,False,18384,2377,9721,830,31312,58.71,7.59,31.05,2.65
25,Train,False,18280,2174,9868,491,30813,59.33,7.06,32.03,1.59
26,Train,False,16739,3232,9616,1230,30817,54.32,10.49,31.2,3.99
27,Train,False,25818,841,3613,423,30695,84.11,2.74,11.77,1.38
28,Train,False,18009,2644,9515,487,30655,58.75,8.63,31.04,1.59
29,Train,False,16342,3075,9391,1761,30569,53.46,10.06,30.72,5.76
30,Train,False,17695,2526,9878,751,30850,57.36,8.19,32.02,2.43
31,Train,False,17541,3179,9937,337,30994,56.59,10.26,32.06,1.09
32,Train,False,16695,3290,10106,1114,31205,53.5,10.54,32.39,3.57
33,Train,False,18680,2063,9877,219,30839,60.57,6.69,32.03,0.71
34,Train,False,18028,2587,9744,548,30907,58.33,8.37,31.53,1.77
35,Train,False,17161,3076,10499,822,31558,54.38,9.75,33.27,2.6
36,Train,False,17537,3252,10273,201,31263,56.1,10.4,32.86,0.64
37,Test,True,17860,2663,10431,281,31235,57.18,8.53,33.4,0.9
38,Test,False,17304,2708,9748,791,30551,56.64,8.86,31.91,2.59
39,Test,False,17620,2859,9894,122,30495,57.78,9.38,32.44,0.4
40,Test,True,17475,2415,10867,664,31421,55.62,7.69,34.59,2.11
41,Test,False,17590,2831,10263,647,31331,56.14,9.04,32.76,2.07
42,Test,False,16444,3048,10247,1527,31266,52.59,9.75,32.77,4.88
43,Test,False,17771,2819,10148,533,31271,56.83,9.01,32.45,1.7
44,Test,False,17665,2900,10201,217,30983,57.02,9.36,32.92,0.7
45,Test,True,17154,3205,10248,633,31240,54.91,10.26,32.8,2.03
46,Test,False,17206,3213,10290,607,31316,54.94,10.26,32.86,1.94
47,Test,False,17854,2771,10090,372,31087,57.43,8.91,32.46,1.2
48,Test,True,17111,3412,9848,879,31250,54.76,10.92,31.51,2.81
