Subject,Split,InVal,Fixation,Saccade,Smooth,Blink,Total,Fixation_%,Saccade_%,Smooth_%,Blink_%
1,Train,False,153913,6034,83957,3944,247848,62.1,2.43,33.87,1.59
2,Train,False,154363,3713,88500,4184,250760,61.56,1.48,35.29,1.67
3,Train,False,149954,5064,83774,12664,251456,59.63,2.01,33.32,5.04
4,Train,False,151866,6904,81965,3568,244304,62.16,2.83,33.55,1.46
5,Train,False,154116,4458,83242,4008,245824,62.69,1.81,33.86,1.63
6,Train,False,158155,4259,82939,3592,248944,63.53,1.71,33.32,1.44
7,Train,False,156924,3218,83803,1616,245560,63.9,1.31,34.13,0.66
8,Train,False,154892,2849,80067,11824,249632,62.05,1.14,32.07,4.74
9,Train,False,154311,5095,88130,1672,249208,61.92,2.04,35.36,0.67
10,Train,False,153117,5091,86880,6680,251768,60.82,2.02,34.51,2.65
11,Train,False,151918,4817,88921,6440,252096,60.26,1.91,35.27,2.55
12,Train,False,153175,4355,87190,3128,247848,61.8,1.76,35.18,1.26
13,Train,False,154332,4560,87596,1984,248472,62.11,1.84,35.25,0.8
14,Train,False,152779,4417,88116,7248,252560,60.49,1.75,34.89,2.87
15,Train,False,154049,3544,86424,5488,249504,61.74,1.42,34.64,2.2
16,Train,False,152423,3472,81257,6304,243456,62.61,1.43,33.38,2.59
17,Train,False,148694,3521,78481,18448,249144,59.68,1.41,31.5,7.4
18,Train,False,157855,2302,82171,3816,246144,64.13,0.94,33.38,1.55
19,Train,False,157923,3699,88242,2184,252048,62.66,1.47,35.01,0.87
20,Train,False,142335,7576,83713,13808,247432,57.52,3.06,33.83,5.58
21,Train,False,155532,2475,88602,2424,249032,62.45,0.99,35.58,0.97
22,Train,False,155536,3611,87926,1384,248456,62.6,1.45,35.39,0.56
23,Train,False,155903,2962,83223,3144,245232,63.57,1.21,33.94,1.28
24,Train,False,155154,5829,82873,6640,250496,61.94,2.33,33.08,2.65
25,Train,False,155646,4713,82218,3928,246504,63.14,1.91,33.35,1.59
26,Train,False,149386,6768,80542,9840,246536,60.59,2.75,32.67,3.99
27,Train,False,154296,5061,82835,3384,245576,62.83,2.06,33.73,1.38
28,Train,False,154638,4600,82106,3896,245240,63.06,1.88,33.48,1.59
29,Train,False,145879,5308,79293,14088,244568,59.65,2.17,32.42,5.76
30,Train,False,151633,6766,82393,6008,246800,61.44,2.74,33.38,2.43
31,Train,False,153453,4418,87378,2696,247944,61.89,1.78,35.24,1.09
32,Train,False,153039,3072,84665,8912,249688,61.29,1.23,33.91,3.57
33,Train,False,153748,7482,83754,1752,246736,62.31,3.03,33.94,0.71
34,Train,False,151832,7955,83093,4384,247264,61.4,3.22,33.6,1.77
35,Train,False,153734,4466,87711,6576,252488,60.89,1.77,34.74,2.6
36,Train,False,154895,4994,88615,1608,250112,61.93,2.0,35.43,0.64
37,Test,True,156059,4111,87478,2248,249896,62.45,1.65,35.01,0.9
38,Test,False,152127,3788,82188,6328,244432,62.24,1.55,33.62,2.59
39,Test,False,155786,3963,83251,976,243976,63.85,1.62,34.12,0.4
40,Test,True,156079,2216,87761,5312,251368,62.09,0.88,34.91,2.11
41,Test,False,151332,7050,87098,5176,250656,60.37,2.81,34.75,2.06
42,Test,False,147450,4103,86367,12216,250136,58.95,1.64,34.53,4.88
43,Test,False,152171,5375,88374,4264,250184,60.82,2.15,35.32,1.7
44,Test,False,155352,3372,87420,1736,247880,62.67,1.36,35.27,0.7
45,Test,True,151837,4595,88424,5064,249920,60.75,1.84,35.38,2.03
46,Test,False,155027,3295,87366,4856,250544,61.88,1.32,34.87,1.94
47,Test,False,154598,4042,87088,2976,248704,62.16,1.63,35.02,1.2
48,Test,True,152624,3880,86472,7032,250008,61.05,1.55,34.59,2.81
