Subject,Split,InVal,T_5ms_always,T_5ms_fixlow_blinkhold,T_5ms_skipboth,T_10ms_always,T_10ms_fixlow_blinkhold,T_10ms_skipboth,T_40ms_always,T_40ms_fixlow_blinkhold,T_40ms_skipboth,T_adaptms_always,T_adaptms_fixlow_blinkhold,T_adaptms_skipboth
1,Train,False,233374,100976,82626,116687,59663,41313,29172,28679,10328,63071,62578,62578
2,Train,False,236266,103286,84887,118133,60843,42444,29533,29010,10611,63155,62632,62632
3,Train,False,236492,98996,81163,118246,58415,40582,29561,27978,10145,62515,60932,60932
4,Train,False,229947,99581,81467,114974,58848,40733,28743,28297,10183,62601,62155,62155
5,Train,False,231331,98732,80362,115666,58551,40181,28916,28415,10045,61196,60695,60695
6,Train,False,234499,98749,79869,117250,58814,39935,29312,28863,9984,61311,60862,60862
7,Train,False,231092,98416,79693,115546,58570,39847,28887,28685,9962,60302,60100,60100
8,Train,False,235120,94123,75670,117560,56288,37835,29390,27912,9459,59178,57700,57700
9,Train,False,234715,104211,85806,117358,61308,42903,29339,29130,10726,63947,63738,63738
10,Train,False,237284,102883,84637,118642,60564,42318,29661,28826,10580,63872,63037,63037
11,Train,False,237624,104534,86441,118812,61313,43220,29703,28898,10805,64471,63666,63666
12,Train,False,233344,102454,84203,116672,60353,42101,29168,28777,10525,62833,62442,62442
13,Train,False,233973,103189,84789,116987,60795,42395,29247,28999,10599,63221,62973,62973
14,Train,False,238068,103442,85245,119034,60819,42623,29758,28852,10656,63877,62971,62971
15,Train,False,235008,101021,82664,117504,59689,41332,29376,28690,10333,62086,61400,61400
16,Train,False,228966,95570,77414,114483,56863,38707,28621,27833,9677,59336,58548,58548
17,Train,False,234673,92531,74860,117337,55101,37430,29334,27028,9357,59204,56898,56898
18,Train,False,231676,96018,77183,115838,57426,38591,28959,28482,9648,59005,58528,58528
19,Train,False,237536,103418,84570,118768,61133,42285,29692,29419,10571,63173,62900,62900
20,Train,False,232937,101024,84151,116469,58948,42076,29117,27391,10519,64476,62750,62750
21,Train,False,234379,102141,83596,117189,60343,41798,29297,28994,10450,61823,61520,61520
22,Train,False,233981,102730,84178,116991,60641,42089,29248,29075,10522,62537,62364,62364
23,Train,False,230750,97470,78879,115375,58030,39439,28844,28451,9860,59835,59442,59442
24,Train,False,236016,99905,81409,118008,59200,40704,29502,28672,10176,62879,62049,62049
25,Train,False,232049,98146,79578,116024,58357,39789,29006,28515,9947,61114,60623,60623
26,Train,False,232128,97822,80041,116064,57801,40020,29016,27786,10005,62367,61137,61137
27,Train,False,231148,98966,80566,115574,58683,40283,28894,28471,10071,61536,61113,61113
28,Train,False,230808,97823,79382,115404,58132,39691,28851,28364,9923,60826,60339,60339
29,Train,False,230151,94754,77424,115075,56042,38712,28769,27008,9678,60463,58702,58702
30,Train,False,232300,99863,81801,116150,58962,40901,29037,28286,10225,62991,62240,62240
31,Train,False,233416,102679,84387,116708,60485,42194,29177,28840,10548,62935,62598,62598
32,Train,False,235221,98684,80452,117611,58458,40226,29403,28289,10057,61074,59960,59960
33,Train,False,232224,102122,83786,116112,60229,41893,29028,28809,10473,64004,63785,63785
34,Train,False,232785,101752,83660,116393,59922,41830,29098,28550,10457,64306,63758,63758
35,Train,False,237982,103185,84868,118991,60751,42434,29748,28926,10609,63740,62918,62918
36,Train,False,235627,104706,86232,117814,61589,43116,29453,29252,10779,64167,63966,63966
37,Test,True,235397,102835,84218,117699,60726,42109,29425,29144,10527,62971,62690,62690
38,Test,False,229885,96787,78677,114943,57449,39339,28736,27945,9835,60080,59289,59289
39,Test,False,229485,98426,79842,114743,58505,39921,28686,28564,9980,60505,60383,60383
40,Test,True,236904,101344,82737,118452,59975,41369,29613,28949,10342,61720,61056,61056
41,Test,False,236126,104768,86742,118063,61397,43371,29516,28869,10843,65447,64800,64800
42,Test,False,235647,100773,83251,117824,59148,41625,29456,27929,10406,62722,61195,61195
43,Test,False,234040,104273,86344,117020,61101,43172,29255,28722,10793,64207,63674,63674
44,Test,False,233406,101969,83440,116703,60249,41720,29176,28959,10430,62072,61855,61855
45,Test,True,235452,103794,85709,117726,60939,42854,29432,28799,10714,63795,63162,63162
46,Test,False,236054,101835,83355,118027,60158,41678,29507,28900,10419,62357,61750,61750
47,Test,False,234239,102225,83791,117120,60330,41896,29280,28908,10474,62637,62265,62265
48,Test,True,235520,101240,83062,117760,59709,41531,29440,28561,10383,62474,61595,61595
