Subject,Split,InVal,Fr_Track,Fr_Search,Fr_Search%,Fr_T:S,Ev_Track,Ev_Search,Ev_Search%,Ev_T:S
1,Train,False,30487,493,1.59,61.84,50109,11856,19.13,4.23
2,Train,False,30822,523,1.67,58.93,51825,10869,17.34,4.77
3,Train,False,29848,1583,5.04,18.86,49187,13677,21.76,3.6
4,Train,False,30092,446,1.46,67.47,46416,14666,24.01,3.16
5,Train,False,30227,501,1.63,60.33,48381,13081,21.28,3.7
6,Train,False,30669,449,1.44,68.31,53170,9066,14.57,5.86
7,Train,False,30493,202,0.66,150.96,51423,9967,16.24,5.16
8,Train,False,29726,1478,4.74,20.11,50024,12386,19.85,4.04
9,Train,False,30942,209,0.67,148.05,51042,11276,18.09,4.53
10,Train,False,30636,835,2.65,36.69,51988,10953,17.4,4.75
11,Train,False,30707,805,2.55,38.15,52090,10935,17.35,4.76
12,Train,False,30587,391,1.26,78.23,50995,10970,17.7,4.65
13,Train,False,30811,248,0.8,124.24,52256,9861,15.87,5.3
14,Train,False,30664,906,2.87,33.85,51106,12038,19.06,4.25
15,Train,False,30501,686,2.2,44.46,50565,11814,18.94,4.28
16,Train,False,29644,788,2.59,37.62,51537,9332,15.33,5.52
17,Train,False,28837,2306,7.4,12.51,47453,14834,23.82,3.2
18,Train,False,30291,477,1.55,63.5,53820,7719,12.54,6.97
19,Train,False,31233,273,0.87,114.41,52411,10605,16.83,4.94
20,Train,False,29201,1726,5.58,16.92,46848,15012,24.27,3.12
21,Train,False,30826,303,0.97,101.74,55120,7139,11.47,7.72
22,Train,False,30883,173,0.56,178.51,52182,9934,15.99,5.25
23,Train,False,30260,393,1.28,77.0,51332,9978,16.27,5.14
24,Train,False,30482,830,2.65,36.73,52681,9943,15.88,5.3
25,Train,False,30322,491,1.59,61.76,53091,8541,13.86,6.22
26,Train,False,29587,1230,3.99,24.05,49703,11934,19.36,4.16
27,Train,False,30272,423,1.38,71.57,144905,18490,11.32,7.84
28,Train,False,30168,487,1.59,61.95,50200,11112,18.12,4.52
29,Train,False,28809,1761,5.76,16.36,48819,12329,20.16,3.96
30,Train,False,30099,751,2.43,40.08,50654,11047,17.9,4.59
31,Train,False,30656,337,1.09,90.97,50178,11811,19.05,4.25
32,Train,False,30091,1114,3.57,27.01,51657,10766,17.25,4.8
33,Train,False,30620,219,0.71,139.82,51984,9703,15.73,5.36
34,Train,False,30359,548,1.77,55.4,50697,11122,17.99,4.56
35,Train,False,30736,822,2.6,37.39,50833,12293,19.47,4.14
36,Train,False,31061,201,0.64,154.53,50377,12153,19.44,4.15
37,Test,True,30953,281,0.9,110.15,52437,10040,16.07,5.22
38,Test,False,29760,791,2.59,37.62,49915,11194,18.32,4.46
39,Test,False,30372,122,0.4,248.95,51397,9598,15.74,5.35
40,Test,True,30757,664,2.11,46.32,53543,9300,14.8,5.76
41,Test,False,30684,647,2.07,47.43,50651,12014,19.17,4.22
42,Test,False,29739,1527,4.88,19.48,47395,15142,24.21,3.13
43,Test,False,30738,533,1.7,57.67,51508,11036,17.65,4.67
44,Test,False,30766,217,0.7,141.78,49936,12039,19.43,4.15
45,Test,True,30607,633,2.03,48.35,52280,10205,16.33,5.12
46,Test,False,30709,607,1.94,50.59,51757,10881,17.37,4.76
47,Test,False,30715,372,1.2,82.57,51434,10744,17.28,4.79
48,Test,True,30371,879,2.81,34.55,48591,13910,22.26,3.49
