Subj,N_E,N_EV,R_S,I_S,R_T,I_T
37,44683618,247624,10.5,26001,89.5,221623
38,52668591,238080,10.7,25475,89.3,212605
39,46547696,242976,13.6,33045,86.4,209931
40,50344861,246056,23.0,56593,77.0,189463
41,52573384,245472,16.1,39521,83.9,205951
42,85043266,237912,23.9,56861,76.1,181051
43,47844546,245904,7.3,17951,92.7,227953
44,51619213,246128,21.4,52671,78.6,193457
45,63716012,244856,26.8,65621,73.2,179235
46,53021018,245672,15.1,37096,84.9,208576
47,55195586,245720,17.4,42755,82.6,202965
48,55674402,242968,10.7,25998,89.3,216970
