Subject,Split,InVal,n_saccade,win_dur_s,orig_frames_40ms,interp_frames_5ms,added_frames,interp_x,events_in_win,syn_ev_per_5ms_frame
1,Train,False,42,14.71,368,2942,2574,7.99,0,0.0
2,Train,False,13,5.2,130,1040,910,8.0,0,0.0
3,Train,False,52,18.03,450,3605,3155,8.01,0,0.0
4,Train,False,29,11.6,290,2320,2030,8.0,0,0.0
5,Train,False,12,4.8,120,960,840,8.0,0,0.0
6,Train,False,6,2.4,60,480,420,8.0,0,0.0
7,Train,False,10,4.0,100,800,700,8.0,0,0.0
8,Train,False,11,4.4,110,880,770,8.0,0,0.0
9,Train,False,8,3.2,80,640,560,8.0,0,0.0
10,Train,False,27,10.8,270,2160,1890,8.0,0,0.0
11,Train,False,10,4.0,100,800,700,8.0,0,0.0
12,Train,False,24,8.64,216,1727,1511,8.0,0,0.0
13,Train,False,5,1.6300000000000001,41,326,285,7.95,0,0.0
14,Train,False,12,4.42,111,884,773,7.96,0,0.0
15,Train,False,22,8.72,218,1744,1526,8.0,0,0.0
16,Train,False,1,0.4,10,80,70,8.0,0,0.0
17,Train,False,44,17.23,431,3447,3016,8.0,0,0.0
18,Train,False,19,7.24,181,1448,1267,8.0,0,0.0
19,Train,False,3,1.2000000000000002,30,240,210,8.0,0,0.0
20,Train,False,70,27.27,682,5457,4775,8.0,0,0.0
21,Train,False,20,8.0,200,1600,1400,8.0,0,0.0
22,Train,False,16,6.4,160,1280,1120,8.0,0,0.0
23,Train,False,26,9.02,226,1804,1578,7.98,0,0.0
24,Train,False,43,16.4,411,3282,2871,7.99,0,0.0
25,Train,False,13,4.84,121,967,846,7.99,0,0.0
26,Train,False,53,19.47,487,3895,3408,8.0,0,0.0
27,Train,False,7,2.8,70,560,490,8.0,0,0.0
28,Train,False,12,4.76,119,952,833,8.0,0,0.0
29,Train,False,161,58.99,1475,11798,10323,8.0,0,0.0
30,Train,False,28,10.52,263,2103,1840,8.0,0,0.0
31,Train,False,11,4.4,110,880,770,8.0,0,0.0
32,Train,False,11,3.7,92,739,647,8.03,0,0.0
33,Train,False,50,17.689999999999998,443,3540,3097,7.99,0,0.0
34,Train,False,36,12.7,318,2541,2223,7.99,0,0.0
35,Train,False,32,12.799999999999999,320,2560,2240,8.0,0,0.0
36,Train,False,8,3.2,80,640,560,8.0,0,0.0
37,Test,True,7,2.8,70,560,490,8.0,0,0.0
38,Test,False,12,4.800000000000001,120,960,840,8.0,0,0.0
39,Test,False,22,8.8,220,1760,1540,8.0,0,0.0
40,Test,True,12,4.8,120,960,840,8.0,0,0.0
41,Test,False,49,19.29,482,3857,3375,8.0,0,0.0
42,Test,False,42,16.42,411,3285,2874,7.99,0,0.0
43,Test,False,11,4.4,110,880,770,8.0,0,0.0
44,Test,False,1,0.4,10,80,70,8.0,0,0.0
45,Test,True,4,1.6,40,320,280,8.0,0,0.0
46,Test,False,8,3.2,80,640,560,8.0,0,0.0
47,Test,False,4,1.26,31,252,221,8.13,0,0.0
48,Test,True,30,11.71,293,2341,2048,7.99,0,0.0
