Subject,Split,InVal,Fixation,Saccade,Smooth,Blink,Total,Fixation_%,Saccade_%,Smooth_%,Blink_%
1,Train,False,19562,319,10607,493,30981,63.14,1.03,34.24,1.59
2,Train,False,19428,244,11150,523,31345,61.98,0.78,35.57,1.67
3,Train,False,18800,490,10559,1583,31432,59.81,1.56,33.59,5.04
4,Train,False,19245,407,10440,446,30538,63.02,1.33,34.19,1.46
5,Train,False,19485,231,10511,501,30728,63.41,0.75,34.21,1.63
6,Train,False,19735,493,10441,449,31118,63.42,1.58,33.55,1.44
7,Train,False,19668,272,10553,202,30695,64.08,0.89,34.38,0.66
8,Train,False,19374,243,10109,1478,31204,62.09,0.78,32.4,4.74
9,Train,False,19403,430,11109,209,31151,62.29,1.38,35.66,0.67
10,Train,False,19313,350,10973,835,31471,61.37,1.11,34.87,2.65
11,Train,False,19128,399,11180,805,31512,60.7,1.27,35.48,2.55
12,Train,False,19165,455,10970,391,30981,61.86,1.47,35.41,1.26
13,Train,False,19377,383,11051,248,31059,62.39,1.23,35.58,0.8
14,Train,False,19231,301,11132,906,31570,60.92,0.95,35.26,2.87
15,Train,False,19059,569,10874,686,31188,61.11,1.82,34.87,2.2
16,Train,False,19227,183,10234,788,30432,63.18,0.6,33.63,2.59
17,Train,False,18643,277,9917,2306,31143,59.86,0.89,31.84,7.4
18,Train,False,19891,40,10360,477,30768,64.65,0.13,33.67,1.55
19,Train,False,19900,221,11112,273,31506,63.16,0.7,35.27,0.87
20,Train,False,17968,603,10632,1726,30929,58.09,1.95,34.38,5.58
21,Train,False,19626,30,11170,303,31129,63.05,0.1,35.88,0.97
22,Train,False,19478,360,11046,173,31057,62.72,1.16,35.57,0.56
23,Train,False,19518,227,10516,393,30654,63.67,0.74,34.31,1.28
24,Train,False,19689,299,10494,830,31312,62.88,0.95,33.51,2.65
25,Train,False,19511,453,10358,491,30813,63.32,1.47,33.62,1.59
26,Train,False,18888,494,10205,1230,30817,61.29,1.6,33.11,3.99
27,Train,False,19338,483,10453,423,30697,63.0,1.57,34.05,1.38
28,Train,False,19413,378,10377,487,30655,63.33,1.23,33.85,1.59
29,Train,False,18381,506,9923,1761,30571,60.13,1.66,32.46,5.76
30,Train,False,19158,510,10431,751,30850,62.1,1.65,33.81,2.43
31,Train,False,19350,279,11027,337,30993,62.43,0.9,35.58,1.09
32,Train,False,19323,110,10664,1114,31211,61.91,0.35,34.17,3.57
33,Train,False,19350,606,10667,219,30842,62.74,1.96,34.59,0.71
34,Train,False,19072,728,10560,548,30908,61.71,2.36,34.17,1.77
35,Train,False,19091,593,11055,822,31561,60.49,1.88,35.03,2.6
36,Train,False,19467,408,11188,201,31264,62.27,1.31,35.79,0.64
37,Test,True,19646,275,11035,281,31237,62.89,0.88,35.33,0.9
38,Test,False,19143,255,10365,791,30554,62.65,0.83,33.92,2.59
39,Test,False,19750,96,10529,122,30497,64.76,0.31,34.52,0.4
40,Test,True,19625,130,11002,664,31421,62.46,0.41,35.01,2.11
41,Test,False,18963,693,11029,647,31332,60.52,2.21,35.2,2.06
42,Test,False,18597,233,10910,1527,31267,59.48,0.75,34.89,4.88
43,Test,False,19124,453,11163,533,31273,61.15,1.45,35.7,1.7
44,Test,False,19587,168,11013,217,30985,63.21,0.54,35.54,0.7
45,Test,True,19072,382,11153,633,31240,61.05,1.22,35.7,2.03
46,Test,False,19604,103,11004,607,31318,62.6,0.33,35.14,1.94
47,Test,False,19444,304,10968,372,31088,62.55,0.98,35.28,1.2
48,Test,True,19327,108,10937,879,31251,61.84,0.35,35.0,2.81
