Subject,Split,InVal,S_state,S_state_raw,S_frameperiodic,S_refresh1s_lowconf,S_lockloss
1,Train,False,1553,3460,29172,2583,1417
2,Train,False,1309,2470,29533,2413,1233
3,Train,False,1637,3125,29561,2633,1452
4,Train,False,1888,4001,28743,2926,1777
5,Train,False,1589,3012,28916,2664,1508
6,Train,False,1132,2269,29312,2292,1121
7,Train,False,1228,2188,28887,2376,1222
8,Train,False,1419,2550,29390,2416,1241
9,Train,False,1189,2498,29339,2335,1162
10,Train,False,1376,2881,29661,2492,1307
11,Train,False,1338,2473,29703,2415,1228
12,Train,False,1308,2737,29168,2402,1236
13,Train,False,1204,2347,29247,2372,1203
14,Train,False,1777,3141,29758,2715,1526
15,Train,False,1584,2933,29376,2623,1449
16,Train,False,1416,2415,28621,2390,1246
17,Train,False,2574,3795,29334,3030,1858
18,Train,False,1246,2141,28959,2278,1121
19,Train,False,1165,2432,29692,2346,1159
20,Train,False,2619,4421,29117,3362,2198
21,Train,False,1096,2159,29297,2175,1004
22,Train,False,1000,2152,29248,2141,972
23,Train,False,1283,2539,28844,2427,1274
24,Train,False,1447,3244,29502,2489,1310
25,Train,False,1066,2400,29006,2209,1050
26,Train,False,1984,3824,29016,2885,1725
27,Train,False,1331,2869,28894,2481,1326
28,Train,False,1521,2942,28851,2627,1474
29,Train,False,2243,3853,28769,2898,1748
30,Train,False,1534,2772,29037,2584,1424
31,Train,False,1300,2614,29177,2405,1239
32,Train,False,1039,2555,29403,2181,1006
33,Train,False,1536,3547,29028,2659,1499
34,Train,False,1701,3597,29098,2839,1676
35,Train,False,1579,3062,29748,2641,1452
36,Train,False,1422,3042,29453,2539,1362
37,Test,True,1266,2505,29425,2383,1207
38,Test,False,1367,2639,28736,2378,1230
39,Test,False,1474,2925,28686,2586,1440
40,Test,True,969,1831,29613,2018,834
41,Test,False,1928,3848,29516,3023,1843
42,Test,False,2033,3389,29456,2753,1576
43,Test,False,1496,2631,29255,2617,1448
44,Test,False,1268,2378,29176,2365,1199
45,Test,True,1531,2849,29432,2563,1387
46,Test,False,1488,2631,29507,2544,1365
47,Test,False,1238,2253,29280,2390,1220
48,Test,True,1659,3106,29440,2641,1464
