user,InVal,events,frames,dur_s,nvox5000,fr_per_vox5000,voxdur_ms_5000,ev_rate_kHz,n5ms,ev_per_5ms
37,True,44683618,31237,1249.48,8932,3.5,139.89,35.8,249896,179
38,False,52668591,30554,1222.16,10530,2.9,116.06,43.1,244432,215
39,False,46547696,30497,1219.88,9306,3.28,131.09,38.2,243976,191
40,True,50344861,31421,1256.8400000000001,10065,3.12,124.87,40.1,251368,200
41,False,52573384,31332,1253.28,10510,2.98,119.25,41.9,250656,210
42,False,85043266,31267,1250.68,17005,1.84,73.55,68.0,250136,340
43,False,47844546,31273,1250.92,9563,3.27,130.81,38.2,250184,191
44,False,51619213,30985,1239.4,10320,3.0,120.1,41.6,247880,208
45,True,63716012,31240,1249.6,12739,2.45,98.09,51.0,249920,255
46,False,53021018,31318,1252.72,10599,2.95,118.19,42.3,250544,212
47,False,55195586,31088,1243.52,11035,2.82,112.69,44.4,248704,222
48,True,55674402,31251,1250.04,11130,2.81,112.31,44.5,250008,223
