Subject,Split,Motion,N,Mean,Median,P95,P99,IoU_Mean,IoU_Median
37,Test,Fixation,19583,1.5404635761926997,0.818291187286377,5.662917184829703,13.188130207061768,0.5331006014490624,0.5769230769230769
37,Test,Saccade,275,1.269243003102866,0.7428321838378906,3.223102998733521,9.821000671386717,0.5581424631048713,0.5882352941176471
37,Test,Smooth,10931,1.067306700289623,0.658585250377655,3.021826386451721,8.841433525085531,0.5617959518116351,0.5873015873015873
38,Test,Fixation,18725,1.8858279549778603,0.9823418855667114,7.438617324829089,14.898021850585936,0.46524443625516443,0.4912280701754385
38,Test,Saccade,214,1.312313920870493,0.7872531414031982,3.507538616657257,8.567279701232923,0.5204890770011333,0.5393518518518519
38,Test,Smooth,10167,1.2799758143900994,0.7458140254020691,4.283391618728636,10.953007678985603,0.5213255842721324,0.5393258426966292
39,Test,Fixation,19695,1.5138426961101106,1.0549819469451904,3.7985617876052853,10.844069938659674,0.548947098454127,0.5753424657534246
39,Test,Saccade,95,1.3834575376620417,0.955292820930481,3.518216609954831,5.087441387176518,0.5590346754002747,0.5862068965517241
39,Test,Smooth,10486,1.175718289328332,0.8553751707077026,2.9839410185813904,6.069026970863328,0.5730778565919957,0.5901639344262295
40,Test,Fixation,19106,2.1521111690987618,1.0140671133995056,10.055870056152344,14.456880378723154,0.3928982333428513,0.4426229508196721
40,Test,Saccade,142,1.9594440439479872,0.8768291175365448,8.189564609527586,12.888600568771366,0.40143521122841613,0.4509803921568627
40,Test,Smooth,10891,0.9991395777034432,0.6335976719856262,2.6340200901031494,11.009704780578641,0.48643077896229997,0.5
41,Test,Fixation,18717,2.6439233723514963,1.0182150602340698,13.137486648559571,22.631861495971688,0.4640783261548404,0.5205479452054794
41,Test,Saccade,656,2.5320897092645214,0.9769819676876068,11.921740293502808,19.46063318252565,0.4598691284172582,0.5030864197530864
41,Test,Smooth,10840,1.6996478733167608,0.7927524149417877,6.331165695190428,18.111521301269534,0.5139160241479233,0.5569620253164557
42,Test,Fixation,17412,2.5046129368031838,1.1218277215957642,11.724553966522217,19.05791818618774,0.40656223061545593,0.4426229508196721
42,Test,Saccade,341,1.7542983434897714,1.0935192108154297,6.584677219390869,11.712697601318364,0.4368131796061932,0.4545454545454545
42,Test,Smooth,10571,1.5018807649113772,0.7982750535011292,4.873109340667725,13.793311500549311,0.4714378080363084,0.490566037735849
43,Test,Fixation,18740,1.7092095287322397,0.8073829114437103,6.499902582168574,13.430698051452644,0.5068196843551633,0.5487804878048781
43,Test,Saccade,434,1.8040068354886798,0.8170403242111206,7.0620275974273605,13.764635839462283,0.5032496462500611,0.5470653377630121
43,Test,Smooth,11034,1.204019489790662,0.652983546257019,4.050511288642883,11.941105499267579,0.5414227113800782,0.5671641791044776
44,Test,Fixation,19499,1.2424433284682175,0.7030605673789978,4.084266090393064,10.46482189178467,0.5278354980589404,0.54
44,Test,Saccade,158,1.318763779028307,0.8010846376419067,3.499189341068268,11.269752264022829,0.5292572227797582,0.5246951219512195
44,Test,Smooth,10910,1.161304541437278,0.6852790117263794,3.34132714271545,10.836856288909898,0.5273503428498808,0.5333333333333333
45,Test,Fixation,18764,1.5509847794925273,0.95090189576149,4.787753462791443,12.69057822227477,0.497431076810008,0.5217391304347826
45,Test,Saccade,333,1.5077822906029474,0.915893256664276,4.821507835388183,13.360310935974132,0.5078694619568747,0.5394736842105263
45,Test,Smooth,11035,1.3746937876670209,0.8602126240730286,3.92933745384216,11.212714824676514,0.5119777979490914,0.5370370370370371
46,Test,Fixation,19303,1.3032767132659753,0.7698532938957214,4.175953912734976,11.776878051757809,0.5532833035631942,0.5869565217391305
46,Test,Saccade,100,0.952442493736744,0.6295935213565826,2.464099001884459,4.615183706283585,0.5805038628992535,0.6202989392478303
46,Test,Smooth,10841,0.9185306997282058,0.641993522644043,2.3006160259246826,6.472668933868417,0.5862616256896881,0.603448275862069
47,Test,Fixation,19366,2.6952104502891037,0.8177144527435303,12.804337739944458,34.101755142211886,0.4603599697313897,0.5
47,Test,Saccade,283,2.092955964416687,0.8058260083198547,10.940425682067863,18.978707199096753,0.4653262151826689,0.5
47,Test,Smooth,10947,1.7812902971662772,0.678945004940033,6.742851352691643,24.05431915283158,0.5049648016754182,0.5370370370370371
48,Test,Fixation,18865,1.4820913433619614,0.7586784362792969,5.699972915649411,12.994929428100592,0.529213824689454,0.5698924731182796
48,Test,Saccade,145,0.9406879578941855,0.5806854367256165,2.5779700756072943,6.032276687622078,0.5659203403605897,0.5882352941176471
48,Test,Smooth,10651,1.1214459004380253,0.6444162726402283,3.3478610515594482,11.071087837219238,0.5504982548539425,0.5753424657534246
