model,package_status,split,metric,mode,value,unit,artifact
HBTXR,complete,test,error_input64_px,mean,1.6473779813545804,px,HBTXR/HBTXR_subject37_48_test_predictions_with_metadata.csv
HBTXR,complete,test,error_input64_px,median,0.8202467560768127,px,HBTXR/HBTXR_subject37_48_test_predictions_with_metadata.csv
HBTXR,complete,test,error_input64_px,p95,5.95558786392212,px,HBTXR/HBTXR_subject37_48_test_predictions_with_metadata.csv
HBTXR,complete,test,error_input64_px,p99,14.960478420257566,px,HBTXR/HBTXR_subject37_48_test_predictions_with_metadata.csv
HBTXR,complete,test,prediction_rows,count,366171,rows,HBTXR/HBTXR_subject37_48_test_predictions_with_metadata.csv
HBTXR,complete,test,joined_motion_rows,count,360495,rows,HBTXR/HBTXR_subject37_48_test_joined_motion_error.csv
Retina,partial,val,val_loss,best,2.8817,loss,Retina/checkpoints/epoch=66-val_loss=2.8817.ckpt
Retina,partial,val,val_loss,final_validate,2.937492847442627,loss,Retina/logs/retina_train_20260630_190348.log
Retina,complete,test,error_input64_px,mean,1.3502512178928525,px,Retina/Retina_subject37_48_test_predictions_with_metadata.csv
Retina,complete,test,error_input64_px,median,0.6270115702585906,px,Retina/Retina_subject37_48_test_predictions_with_metadata.csv
Retina,complete,test,error_input64_px,p95,4.860001236641901,px,Retina/Retina_subject37_48_test_predictions_with_metadata.csv
Retina,complete,test,error_input64_px,p99,12.619713262457996,px,Retina/Retina_subject37_48_test_predictions_with_metadata.csv
Retina,complete,test,prediction_rows,count,366171,rows,Retina/Retina_subject37_48_test_predictions_with_metadata.csv
Retina,complete,test,joined_motion_rows,count,360495,rows,Retina/Retina_subject37_48_test_joined_motion_error.csv
Retina,complete,test,unmatched_rows,count,5676,rows,Retina/Retina_subject37_48_unmatched_predictions.csv
ERVT,partial,val,val_distance,best,8.5869,px,ERVT/checkpoints/best_epoch012_val_distance_8.5869.pth
ERVT,partial,val,val_distance,last_epoch_41,8.605878297239542,px,ERVT/checkpoints/last.pth
ERVT,partial,val,val_p10,last_epoch_41,0.6511962882068474,ratio,ERVT/checkpoints/last.pth
ERVT,complete,test,error_input64_px,mean,7.828474144673707,px,ERVT/ERVT_subject37_48_test_predictions_with_metadata.csv
ERVT,complete,test,error_input64_px,median,7.472867120842257,px,ERVT/ERVT_subject37_48_test_predictions_with_metadata.csv
ERVT,complete,test,error_input64_px,p95,14.850852952425466,px,ERVT/ERVT_subject37_48_test_predictions_with_metadata.csv
ERVT,complete,test,error_input64_px,p99,18.915380753275393,px,ERVT/ERVT_subject37_48_test_predictions_with_metadata.csv
ERVT,complete,test,prediction_rows,count,364860,rows,ERVT/ERVT_subject37_48_test_predictions_with_metadata.csv
ERVT,complete,test,joined_motion_rows,count,360384,rows,ERVT/ERVT_subject37_48_test_joined_motion_error.csv
ERVT,complete,test,unmatched_rows,count,4587,rows,ERVT/ERVT_subject37_48_unmatched_predictions.csv
