record_kind	source_path	target_path	mode	blob_id	disposition	detail
mapping	common/src/EvEye/dataset/**	dataset/src/eveye/dataset/**	-	-	move	implementation owner
mapping	common/src/EvEye/utils/scripts/**	engine/src/eveye/engine/tools/**	-	-	move	operational tools may depend on dataset/model
mapping	remaining common/src/EvEye/utils/**	utils/src/eveye/utils/**	-	-	move	low-level implementation owner
mapping	common/src/EvEye/callback/**	engine/src/eveye/engine/callback/**	-	-	move	lifecycle owner
mapping	common/src/EvEye/logger/**	engine/src/eveye/engine/logger/**	-	-	move	lifecycle owner
mapping	common/src/EvEye/model/model_factory.py	engine/src/eveye/engine/model_factory.py	-	-	move	factory owner
mapping	common/src/EvEye/model/DavisEyeEllipse/EPNet/**	event/src/eveye/event/models/EPNet/**	-	-	move	event-only owner
mapping	common/src/EvEye/model/DavisEyeEllipse/ElNet/**	event/src/eveye/event/models/ElNet/**	-	-	move	event-only owner
mapping	common/src/EvEye/model/DavisEyeCenter/TennSt.py	event/src/eveye/event/models/TennSt.py	-	-	move	event-only owner
mapping	remaining common/src/EvEye/model/**	common/src/eveye/common/models/**	-	-	move	shared or uncertain owner
mapping	common/configs/**	configs/**	-	-	move	common config owner
mapping	common/tests/facet/**	tests/common/**	-	-	move	active FACET name retired
mapping	common/scripts/facet/**	common/scripts/**	-	-	move	launcher flattening
mapping	common/scripts/facet_main.py	common/scripts/sagemaker_launcher.py	-	-	move	semantic launcher name
mapping	hybrid/src/pools/losses.py	hybrid/src/loss/losses.py	-	-	move	API preserved at domain owner
mapping	hybrid/src/pools/optimizers.py	hybrid/src/optim/optimizer.py	-	-	move	singular requested name
mapping	hybrid/src/pools/lr_schedulers.py	hybrid/src/optim/lr_schedulers.py	-	-	move	API preserved at domain owner
mapping	hybrid/src/pools/runtime_schedulers.py	hybrid/src/runtime/runtime_schedulers.py	-	-	move	API preserved at domain owner
mapping	hybrid/src/pools/heads.py;hybrid/src/pools/__init__.py	-	-	-	remove	existing model owner; no facade root
mapping	hybrid/src/optim/pool.py	hybrid/src/optim/pool.py	-	-	preserve	optimizer experiment feature
compatibility	common/src/EvEye/** consumer-proven module paths	import-only EvEye wrappers at original module paths	-	-	wrapper	no business logic; retire at zero maintained and required external consumers
preserved_blob	algorithm/analysis/RESULTS/(Done) JETCAS_REPLY_TABLES (HW).xlsx	algorithm/analysis/RESULTS/(Done) JETCAS_REPLY_TABLES (HW).xlsx	100644	f7d354c3850b88bb75a58088da126fb988008923	preserve	baseline ebe862b11506e819c5bd5abc925299fc5fbb6f1a
preserved_blob	algorithm/analysis/RESULTS/(Done) JETCAS_REPLY_TABLES (Q).xlsx	algorithm/analysis/RESULTS/(Done) JETCAS_REPLY_TABLES (Q).xlsx	100644	c557027eaf4e593242acd45080831736e47cd69c	preserve	baseline ebe862b11506e819c5bd5abc925299fc5fbb6f1a
preserved_blob	algorithm/analysis/RESULTS/(Done) JETCAS_REPLY_TABLES (Velocity-Distributions).xlsx	algorithm/analysis/RESULTS/(Done) JETCAS_REPLY_TABLES (Velocity-Distributions).xlsx	100644	f9abfe8d75a3012f11d850f3ee77284d037ca961	preserve	baseline ebe862b11506e819c5bd5abc925299fc5fbb6f1a
preserved_blob	algorithm/analysis/RESULTS/BRAT/BRAT_package_notes.md	algorithm/analysis/RESULTS/BRAT/BRAT_package_notes.md	100644	8aba0aa318c62de08a600abd6562f789aecc6e06	preserve	baseline ebe862b11506e819c5bd5abc925299fc5fbb6f1a
preserved_blob	algorithm/analysis/RESULTS/BRAT/BRAT_subject37_48_dropped_blink_predictions.csv	algorithm/analysis/RESULTS/BRAT/BRAT_subject37_48_dropped_blink_predictions.csv	100644	e375ae933dd1176fd7907cb715720c33d5fcf502	preserve	baseline ebe862b11506e819c5bd5abc925299fc5fbb6f1a
preserved_blob	algorithm/analysis/RESULTS/BRAT/BRAT_subject37_48_error_distribution_by_subject_motion.csv	algorithm/analysis/RESULTS/BRAT/BRAT_subject37_48_error_distribution_by_subject_motion.csv	100644	822194544713db1e83d264baf315e8b74b00cef7	preserve	baseline ebe862b11506e819c5bd5abc925299fc5fbb6f1a
