path,zone,language,extension,bytes,git_blob,sha256,lines,code_lines,blank_lines,parse_status
.agents/handoff/2026-07-15-hbtxr-follow-up-prompt.md,docs,Markdown,.md,481,0587276c50c4e4cc0441db5a80908b60dd60b3a3,fa895d12a4500cb52559387c0c7fcfe04e4b00be81b736e9cca7026062f30c47,5,4,0,text
.agents/handoff/2026-07-15-hbtxr-follow-up.md,docs,Markdown,.md,3828,39d828197b5e761f98416826ac23534097bca29f,24e1990490b3469e366ed262daac3c38dc603e695011163d7e9591074b411c79,66,45,6,text
.agents/plans/2026-07-14-hbtxr-commit-handover-analysis.md,docs,Markdown,.md,14263,5c79891ff3288d6d20b5eca359aa35757a716ac8,77d949412e5ea2091711a6dbc35893e1d97f90aaf1358dba6823145276a3f6f2,308,205,70,text
.gitignore,maintained,Other,<none>,2745,9d31e59550ba2e746f524588a86b09bf19e8179b,161990a8353d4bfc0c772e2b9d0624a7cd4f073d00c3fe0ac7875b5c16a85044,71,47,8,text
README.md,docs,Markdown,.md,894,9515866912f5e77a1c0ab32d7233580a27c9f44f,9dbd7280810542e7247047d78ed0a1b34dcbfeb2cc5e035c52a68b4c53068f2c,21,12,6,text
algorithm/README.md,docs,Markdown,.md,742,d4cbd7528d17db6bcfac49919b0ad5dd471cf421,8d1993ad231d3950ae50da6059b69bba4f50dcd9671c309cb369383b583d119b,17,9,5,text
algorithm/analysis/RESULTS/(Done) JETCAS_REPLY_TABLES (HW).xlsx,artifact,Other,.xlsx,16297,f7d354c3850b88bb75a58088da126fb988008923,1769dda858f733c33ce8d0887b6ff933eb81d47908cf6b7d67e20114e70ebb1a,0,0,0,not-text
algorithm/analysis/RESULTS/(Done) JETCAS_REPLY_TABLES (Q).xlsx,artifact,Other,.xlsx,13696,c557027eaf4e593242acd45080831736e47cd69c,55707cc988d775064e919f5d48f634681d69d481bc04ee814cd10884e708d391,0,0,0,not-text
algorithm/analysis/RESULTS/(Done) JETCAS_REPLY_TABLES (Velocity-Distributions).xlsx,artifact,Other,.xlsx,48239,f9abfe8d75a3012f11d850f3ee77284d037ca961,1e5dba53e2d0288f5a9513823ce2bc14d59c9e221c886ffb92504fcb430fe87e,0,0,0,not-text
algorithm/analysis/RESULTS/BRAT/BRAT_package_notes.md,artifact,Markdown,.md,499,8aba0aa318c62de08a600abd6562f789aecc6e06,7d89448e82cbf71f485a3bc4dadfd398ca71b826fb993395021dc2d235d2efbb,8,6,1,text
