path,module,line
algorithm/analysis/annotation-analysis/scripts/01_analyze_dataset.py,os,14
algorithm/analysis/annotation-analysis/scripts/01_analyze_dataset.py,csv,14
algorithm/analysis/annotation-analysis/scripts/01_analyze_dataset.py,argparse,14
algorithm/analysis/annotation-analysis/scripts/01_analyze_dataset.py,sys,14
algorithm/analysis/annotation-analysis/scripts/01_analyze_dataset.py,evlib,15
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,os,18
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,csv,18
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,argparse,18
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,sys,18
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,glob,18
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,evlib,19
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,h5py,25
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,numpy,25
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,math,119
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,os,16
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,csv,16
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,json,16
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,gzip,16
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,argparse,16
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,sys,16
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,glob,16
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,re,16
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,evlib,17
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,os,19
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,csv,19
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,argparse,19
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,sys,19
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,glob,19
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,evlib,20
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,numpy,25
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,numpy,71
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,os,14
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,csv,14
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,json,14
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,argparse,14
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,statistics,14
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,evlib,15
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,matplotlib,68
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,matplotlib.pyplot,70
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,os,23
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,csv,23
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,argparse,23
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,subprocess,23
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,sys,23
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,tempfile,23
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,shutil,23
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,evlib,24
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,cv2,28
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,json,170
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,cv2,114
algorithm/analysis/annotation-analysis/scripts/evlib.py,__future__,16
algorithm/analysis/annotation-analysis/scripts/evlib.py,os,17
algorithm/analysis/annotation-analysis/scripts/evlib.py,re,18
algorithm/analysis/annotation-analysis/scripts/evlib.py,json,19
algorithm/analysis/annotation-analysis/scripts/evlib.py,glob,20
